Country,SP.DYN.LE00.IN,NY.GDP.PCAP.CD,SE.PRM.ENRR,SE.ADT.LITR.ZS
MDA,68.4581219512195,1631.5358317953198,93.54077911376949,74.15791372669918
GNQ,55.971000000000004,17441.0925450303,87.0697021484375,91.09443593213216
TMP,65.9444634146342,875.8365692712648,116.523651123047,58.3089828491211
TUN,74.60243902439029,4176.61146147134,108.813827514648,79.1305770874023
YEM,62.7687317073171,1310.05383929542,91.99561309814449,94.43254973113618
BDI,54.8291951219512,214.230990840075,135.123107910156,70.08045983285899
CUW,71.71112153985939,11.346195750891638,102.08749613771514,66.97975101907576
CRI,78.73604878048779,7985.951035327321,109.458793640137,81.28719810584174
WSM,72.417,3530.5739943531603,110.755928039551,92.96039739913377
NPL,67.9714878048781,595.427519830012,141.053726196289,76.10259718973843
EAP,73.1884378044482,3980.06881538386,118.945510864258,94.5422568651087
ERI,61.46614634146339,451.426692978846,102.9413176353078,103.76867975682677
QAT,77.825512195122,70870.2265835221,101.1253357305917,96.2837371826172
LDC,61.3439895637901,750.207915295665,102.670570373535,60.08999213402311
UZB,67.858756097561,1377.0821404693802,93.0378875732422,61.32031324164122
CPV,72.59790243902441,3393.92749190379,111.12950897216801,104.5661924597187
MEA,72.2467705797102,7108.70420023458,107.237350463867,80.25994352197259
GRC,80.3878048780488,26841.8554705027,102.873428344727,86.37280690384421
BEL,80.2341463414634,44282.5493214554,104.04486083984399,86.3204028784797
WBG,72.64048780487809,2338.71987682303,90.48065185546879,94.93201446533199
ECS,75.846929030925,23416.3128251682,101.97020721435499,98.98703164954641
ARB,70.0030169216615,5955.0647563846605,99.2714080810547,76.9520441593503
AGO,50.654170731707296,3928.8245135436296,123.83676147460899,62.51070755942111
OSS,60.8012548080483,4229.45116572159,109.43887329101601,75.3942460570198
SLB,67.0656585365854,1276.34851310464,95.03208907348812,72.2972724123213
STP,65.8546829268293,1142.18231129529,128.647384643555,59.67155928170523
BTN,67.8924146341463,2201.2930777893603,110.489433288574,75.3374158388984
COM,61.830512195122004,739.897790576235,100.64079340421671,66.40976091712876
BEN,58.7297073170732,732.9536227266742,116.28954315185499,91.98010709231598
