Country,LEI,GDP,EI,HDI
MDA,0.6145801125703568,0.6491847770941586,0.6871147095138195,0.6502931997261117
GNQ,0.2536596622889308,1.0193007462746466,0.6038272075158986,0.625595872026492
TMP,0.13426679174484005,0,0.35937031398746533,0.16454570191076845
TUN,0.505700562851783,1.1115629432646448,0.6267828519403547,0.7480154526855941
YEM,0.33146716697936157,1.1258295233287223,1.010717670282528,0.822671453530204
BDI,0.31774971857410944,0.7921530445675095,0.44784939481348396,0.5192507193183676
CUW,0.6022408335986954,0,0.8038950039811097,0.46871194585993503
CRI,0.6877414634146338,1.1713605135459604,0.860293890091393,0.906465289017329
WSM,0.5072232645403385,0,0.5198240539324407,0.34234910615759306
NPL,0.29192757973733535,0.7721714117050961,0.42716482514530635,0.4970879388625793
EAP,0.6006242982211017,0.8772511697591832,0.902185675731908,0.793353714570731
ERI,0.2688727954971862,1.4557509870256347,0.7136252210086453,0.812749667843822
QAT,0.7146615384615385,1.64346321370229,0.9393068088331229,1.0991438536656504
LDC,0.32528780236317517,1.3894528895001197,0.5726814975973947,0.7624740631535633
UZB,0.6031969981238278,1.553624762993031,0.36647250959785227,0.8410980902382371
CPV,0.5034559099437153,1.342707769428955,0.7611460256941947,0.8691032350222883
MEA,0.4910146614072495,1.1777432315686742,0.6604966627852207,0.7764181852537149
GRC,0.7310701688555352,1.3564942045758652,0.8709440500638832,0.9861694744984278
BEL,0.7249193245778615,1.484195400770203,0.8828241315375284,1.030646285628531
WBG,0.7316599901531006,1.4535762708275082,0.8595792336287541,1.0149384982031209
ECS,0.68799167868098,1.33990589330474,0.8651855014996432,0.9643610244951211
ARB,0.4774140197432339,1.1513185382838518,0.5900433849051336,0.7395919809774064
AGO,0.22001538461538464,1.3694338162621384,0.7414540699766268,0.7769677569513832
OSS,0.4184218137034416,1.2843818557598181,0.6140922934952782,0.7722986543195126
SLB,0.5004465290806754,1.0039424507635517,0.37623546425700893,0.6268748147004121
STP,0.5299564727954968,1.4051625554468155,0.9061404441552445,0.9470864907991856
BTN,0.2581936210131339,1.3401705771491075,0.2991548545633718,0.6325063509085378
COM,0.3591219512195122,0.965429892091505,0.5133166326677753,0.6126228253262641
BEN,0.31638686679174455,0.8877430200216807,0.5234302347187402,0.5758533738440551
PNG,0.38367467166979397,1.0434036220080585,0.5098919028388748,0.6456567321722424
UGA,0.374525328330206,0.896447591680958,0.5745715051267795,0.6151814750459812
LSO,0.4043560975609753,0.8000857382253617,0.8020056739922319,0.6688158365928563
MNG,0.4897553470919323,0,0.9752897189512071,0.48834835534771315
KSV,0.5422238317675652,1.311207719001174,0.7921402208766266,0.8818572572151219
COG,0.46271407129455994,1.025480756301973,0.8144295365503695,0.7675414547156343
TGO,0.38580750469043235,0.9193488412781965,0.5303434581341062,0.611833268034245
CHE,0.7659287054409001,0,0.6377370546050223,0.4678885866819741
MNP,0.5578166298373096,1.4127430369558525,0.7257628923369892,0.8987741863767171
LBR,0.2841219512195122,0.9783808606965826,0.5226127800960929,0.5950385306707292
PHL,0.5630705440900569,0.9991887109929338,0.7553313898389412,0.7725302149739773
MNE,0.7238502814258908,0,0.8453651538511319,0.5230718117590076
KOR,0.6046791744840522,1.1296959160840705,0.4140288636982777,0.7161346514221334
PRI,0.7415470919324585,1.3330290376920926,0.7366041228752584,0.9370600841666031
FRO,0.6998891098105035,0,1.087293451924919,0.5957275205784742
DZA,0.44046941838649234,1.1573302737968116,0.7254321256412515,0.7744106059415186
SYR,0.591180112570357,1.1480593435268023,0.844389310647367,0.8612095889148421
CUB,0.7322900562851784,1.2138159523212064,0.6906049913133623,0.8789036666399156
MMR,0.4358318949343339,0,0.6625003893142188,0.36611076141618426
SVN,0.6970356472795491,1.5246064732330291,0.7283332077773785,0.9833251094299856
PRY,0.6357816135084431,1.048175465994719,0.655721634686907,0.779892904730023
SDN,0.44298686679174454,0.9800159603330607,0.6437360210680984,0.6889129493976345
FRA,0.7400375234521583,1.473896460843791,0.730013076858339,0.9813156870514295
BFA,0.2663583489681046,0.8374529464170373,0.34665641947360454,0.4834892382862488
CMR,0.3734435272045031,0.9922826209015535,0.5788925666666667,0.6482062382575744
GUM,0.6634217636022507,1.590618155943723,0.7480781087421087,1.0007060094293607
TJK,0.5612360225140709,1.3561618791892902,0.7662631531378894,0.8945536849470835
ISR,0.7377861163227014,1.363290308866822,0.7327988122166278,0.9446250791353837
FIN,0.7201988742964353,1.4713979789798002,0.6598863342544159,0.9504943958435504
COL,0.5881864915572231,1.0680110980970259,0.9351913492848688,0.8637963129797059
MNA,0.4803613253730001,0,0.6008530488566883,0.3604047914098961
SSA,0.3344281298547262,1.009475966312119,0.5677804064166577,0.6372281675278343
PRT,0.6747842401500938,1.2821526522265967,1.0004077100912896,0.9857815341559935
TCD,0.2859335834896815,0.8867355747351969,0.25277131997136526,0.4751468260654146
NAC,0.7377455264091647,1.512496474994572,0.8275455106491653,1.0259291706843006
ARG,0.6667185741088185,1.2625011656326184,0.9207316266367185,0.9499837887927185
WLD,0.5655598733868753,1.2252726822178643,0.34364585472196213,0.7114928034422339
PRK,0.5967136960600369,1.3787428185574,0.645984252498528,0.8738135890386549
EAS,0.6176338002905908,1.0909267658183142,0.9242420177334245,0.8776008612807764
NIC,0.4916592870544093,1.0764221906123326,0.3339387979210338,0.6340067585292586
GRL,0.5704338742538678,1.4161279745265127,0.550353096479528,0.8456383150866362
LMC,0.4475541690237939,0.9235329289091916,0.7872634601731563,0.7194501860353806
KWT,0.6671906191369599,1.5644197871099421,0.7953528785708255,1.008987761605909
