Country,SP.DYN.LE00.IN
MDA,68.5752926829268
GNQ,56.4468292682927
TMP,66.4918048780488
TUN,74.3439024390244
YEM,63.0535365853659
BDI,55.312024390243906
CUW,77.4731707317073
CRI,78.8901707317073
WSM,72.70126829268291
NPL,68.40663414634149
EAP,73.346098770343
ERI,62.0693658536585
QAT,78.0278048780488
LDC,61.8531512550731
UZB,67.98039024390239
CPV,72.7095609756098
MEA,72.4726974339849
GRC,80.7317073170732
BEL,80.5853658536585
WBG,72.8294390243903
ECS,76.38335085151641
ARB,70.2193474619285
AGO,51.0593170731707
OSS,61.2597491412164
SLB,67.2912195121951
STP,66.0037804878049
BTN,68.3231951219512
COM,62.212756097561
BEN,58.9329024390244
PNG,62.1526341463415
UGA,56.463756097560996
LSO,48.219756097560996
MNG,68.12253658536589
KSV,70.1487804878049
COG,60.085170731707294
TGO,57.9307804878049
CHE,82.6951219512195
MNP,73.08895470748536
LBR,59.86434146341461
PHL,67.89065853658539
MNE,74.53936585365851
KOR,80.96707317073171
PRI,78.3588536585366
FRO,80.84634146341459
DZA,74.07
SYR,74.7705853658537
CUB,79.039512195122
MMR,65.18090243902441
SVN,79.9707317073171
PRY,72.4871951219512
SDN,62.4555365853659
FRA,82.1146341463415
BFA,57.492048780487785
CMR,54.1373658536585
GUM,78.3595853658537
TJK,68.8917804878049
ISR,81.6560975609756
FIN,80.4707317073171
COL,73.4548048780488
MNA,71.9203453330657
SSA,56.96575569922621
PRT,80.4707317073171
TCD,50.33195121951221
NAC,78.88272329593309
ARG,75.64904878048779
WLD,70.7473747971993
PRK,69.1879024390244
EAS,74.26716887602021
NIC,73.90129268292691
GRL,71.0017073170732
LMC,66.39336547410579
KWT,74.258243902439
MHL,61.46592616105499
TUV,77.62312680634619
NZL,80.9048780487805
ATG,75.4660243902439
RUS,69.6585365853659
IMY,64.91688974249517
ZAF,55.2956585365854
GHA,60.808
PAN,77.0516829268293
CHN,75.042
HKG,83.42195121951221
CYP,79.571512195122
NLD,81.2048780487805
MAR,72.9854390243902
CHL,80.5869756097561
MIC,69.8302498639647
BRA,73.55234146341459
BIH,75.9629268292683
TZA,62.6320975609756
FCS,61.041033331129896
MDV,76.3375121951219
MLI,56.6546829268293
PER,73.84497560975609
MYS,74.286756097561
EGY,70.5333170731707
SYC,72.7243902439024
SVK,75.9585365853659
NGA,51.7378048780488
IND,66.9041707317073
KAZ,68.98
IDN,68.33439024390239
GRD,72.7934146341464
SLE,49.034731707317114
HUN,74.85853658536591
KHM,66.87287804878049
MUS,73.26682926829271
KGZ,69.60243902439029
CIV,50.5172195121951
VUT,71.1345609756098
TCA,84.18775661616587
TKM,65.16560975609761
VNM,75.45790243902441
VEN,73.7916585365854
CAN,81.0683170731707
EST,76.2292682926829
SWZ,48.661390243902396
KEN,59.5342195121951
JAM,73.07639024390251
DNK,79.8
LUX,80.9878048780488
MDG,63.8074146341464
PSS,69.3396258431279
ABW,75.0813902439024
USA,78.64146341463409
AFG,59.327951219512215
ROM,74.5634146341464
EUU,80.2996943439496
TON,72.33473170731709
LAO,64.7981219512195
BOL,66.9425609756098
HIC,78.7395070820323
SLV,71.9561707317073
NAM,63.277170731707294
UKR,70.8092682926829
SMR,83.3232150776053
BLZ,69.8436829268293
BHR,76.2678536585366
MOZ,53.7382926829268
SSD,54.205
ISL,82.35853658536591
VIR,79.37317073170729
SEN,64.6953658536585
BMU,81.1526829268293
BLR,70.5536585365854
SRB,74.5365853658537
ADO,64.75781766283372
SXM,61.49390952736323
LCN,74.2525172516323
BGD,70.4719512195122
LIE,81.7926829268293
LBY,71.68326829268291
ESP,82.4756097560976
PAK,65.447
ETH,62.0830243902439
OED,79.6655419587153
GNB,54.159414634146394
CYM,71.8179414257185
BWA,63.951609756097604
FJI,69.565
DEU,80.7414634146342
JPN,82.5912195121951
AZE,70.5512926829268
CZE,77.87317073170729
LAC,73.91266347832291
HRV,76.7756097560976
ALB,77.16321951219508
ZWE,51.6003658536585
URY,76.5411951219512
MAF,78.87073170731709
BGR,74.16341463414629
ECA,71.95186151177991
LBN,79.55892682926829
GBR,80.9512195121951
LIC,59.66711051516021
UMC,73.9332333815759
ARE,76.85119512195119
SSF,56.96685623075
VCT,72.518756097561
NER,59.2045609756098
NOR,81.2951219512195
BRB,75.0081463414634
EMU,81.3030711843089
MRT,62.2924878048781
LVA,73.57560975609759
MAC,79.906243902439
SWE,81.8024390243903
GEO,73.80978048780491
TUR,74.5404878048781
JOR,73.5918780487805
LTU,73.5634146341464
BRN,77.9323170731708
CAF,48.3504390243903
NOC,73.2026161002022
OMN,76.3276341463415
DJI,60.850560975609795
SOM,54.35695121951221
SST,64.3015110970452
SAU,73.8548536585366
ITA,82.1878048780488
ZMB,57.4221951219512
ARM,74.3428292682927
MWI,58.50012195121951
BHS,74.7544146341464
CEB,75.93690749791459
LMY,68.794965367987
GAB,62.7050975609756
