Country,SP.DYN.LE00.IN
MDA,66.1477073170732
GNQ,46.4540243902439
TMP,43.4844878048781
TUN,65.8676829268293
YEM,55.0385853658537
BDI,48.7855853658537
CUW,67.59352795557729
CRI,74.4734390243902
WSM,62.463
NPL,50.1062682926829
EAP,66.9170477942799
ERI,45.0113170731707
QAT,74.1194390243902
LDC,50.2568803647291
UZB,66.7852195121951
CPV,63.5271219512195
MEA,61.8766241683741
GRC,75.0765609756098
BEL,74.520243902439
WBG,66.14885882576297
ECS,71.1954656778273
ARB,61.8489042715517
AGO,40.7777804878049
OSS,57.2226357010549
SLB,57.245048780487785
STP,60.9302195121951
BTN,48.639073170731706
COM,53.819195121951196
BEN,49.934682926829296
PNG,54.852268292682886
UGA,47.6906097560976
LSO,56.25263414634149
MNG,58.3813658536585
KSV,66.7975609756098
COG,56.48785365853661
TGO,54.6347317073171
CHE,76.73365853658541
MNP,56.28867572886604
LBR,47.3198292682927
PHL,63.798560975609796
MNE,73.7069268292683
KOR,68.53292682926829
PRI,74.3086829268293
FRO,54.89367704086128
DZA,64.073756097561
SYR,68.2868292682927
CUB,74.5289268292683
MMR,56.863926829268294
SVN,71.35121951219509
PRY,67.2946829268293
SDN,54.7589756097561
FRA,75.3
BFA,49.2512195121951
CMR,52.8447804878049
GUM,70.8065365853659
TJK,63.2769756097561
ISR,75.2073170731707
FIN,74.22292682926829
COL,67.57429268292691
MNA,61.03920444804029
SSA,49.5182493074556
PRT,72.81463414634149
TCD,46.0525609756098
NAC,74.7344828278507
ARG,70.6313902439024
WLD,64.258557291373
PRK,67.427243902439
EAS,67.9382334351086
NIC,60.667829268292714
GRL,63.833658536585396
LMC,57.899265426256505
KWT,71.2034634146342
MHL,62.87066139467813
TUV,67.09257543135698
NZL,73.82926829268291
ATG,69.92851219512201
RUS,67.8568292682927
IMY,60.88225781296902
ZAF,59.9121707317073
GHA,54.1097073170732
PAN,71.80765853658541
CHN,68.34129268292679
HKG,76.4341463414634
CYP,75.68270731707321
NLD,76.28463414634149
MAR,61.4207804878049
CHL,70.3693902439024
MIC,62.434446799723
BRA,63.5625609756098
BIH,71.3515853658537
TZA,50.954170731707286
FCS,53.7148252653988
MDV,57.40814634146339
MLI,43.4808780487805
PER,62.95482926829271
MYS,69.500756097561
EGY,61.788999999999994
SYC,65.07039920578922
SVK,70.73463414634149
NGA,46.3452926829268
IND,55.8609024390244
KAZ,68.5365853658537
IDN,61.5383902439024
GRD,67.490756097561
SLE,40.324804878048795
HUN,68.9721951219512
KHM,50.4381219512195
MUS,68.3706829268293
KGZ,64.91895121951221
CIV,52.5941219512195
VUT,61.0821951219512
TCA,75.18774978780273
TKM,62.2764146341463
VNM,68.85282926829271
VEN,69.1748536585366
CAN,76.3034146341464
EST,69.3804878048781
SWZ,57.37092682926829
KEN,59.5970243902439
JAM,71.0614390243903
DNK,74.4275609756098
LUX,73.5886829268293
MDG,49.7103170731707
PSS,62.6962627905296
ABW,73.09797560975609
USA,74.5634146341464
AFG,45.5770243902439
ROM,69.70682926829271
EUU,73.8772390354312
TON,68.75965853658539
LAO,51.0184878048781
BOL,52.4708048780488
HIC,73.3647016332083
SLV,59.193975609756095
NAM,59.839048780487786
UKR,69.5747804878049
SMR,62.16640704067706
BLZ,71.13136585365851
BHR,71.4278780487805
MOZ,41.7720975609756
SSD,40.417536585365895
ISL,77.60243902439029
VIR,73.0557317073171
SEN,53.904146341463395
BMU,70.18135010439374
BLR,70.9926829268293
SRB,75.0658804602947
ADO,74.87885008735105
SXM,76.74125888995809
LCN,66.0520573731679
