Country,NY.GNP.PCAP.CD
MDA,4435.72314259099
GNQ,180.0
TMP,3022.9289814728245
TUN,1140.0
YEM,11523.039091305009
BDI,240.0
CUW,5276.766376053409
CRI,1820.0
WSM,4179.926164709936
NPL,170.0
EAP,366.500395408405
ERI,-6327.383869348598
QAT,-5152.890096384046
LDC,278.049577172337
UZB,6414.358907829815
CPV,510.0
MEA,1357.9327795936792
GRC,5350.0
BEL,10210.0
WBG,6505.335995717937
ECS,5226.228330917321
ARB,1810.39699827052
AGO,-3108.3314902147176
OSS,942.96353935172
SLB,6773.405503802629
STP,5384.822947720267
BTN,350.0
COM,360.0
BEN,270.0
PNG,710.0
UGA,250.0
LSO,390.0
MNG,1350.0
KSV,8231.468852557467
COG,970.0
TGO,250.0
CHE,20340.0
MNP,2442.541552340208
LBR,350.0
PHL,540.0
MNE,5178.947344444056
KOR,2930.0
PRI,4740.0
FRO,802.3718050341913
DZA,2590.0
SYR,1480.0
CUB,2390.0
MMR,3983.2365262854264
SVN,4343.597238889966
PRY,-244.333299267244
SDN,550.0
FRA,11350.0
BFA,240.0
CMR,900.0
GUM,2844.944265573238
TJK,3898.761299490195
ISR,6450.0
FIN,13010.0
COL,1190.0
MNA,4011.4748933330125
SSA,495.71517700713997
PRT,3080.0
TCD,210.0
NAC,18695.4490899695
ARG,3010.0
WLD,2816.59935447323
PRK,10014.151951298272
EAS,1575.72278053413
NIC,760.0
GRL,8540.0
LMC,415.179993532746
KWT,16910.0
MHL,4462.1051452520305
TUV,400.9119257327252
NZL,7860.0
ATG,3130.0
RUS,-701.7383680668663
IMY,-1865.3815612428753
ZAF,2360.0
GHA,400.0
PAN,2350.0
CHN,310.0
HKG,7230.0
CYP,5090.0
NLD,11540.0
MAR,730.0
CHL,1410.0
MIC,594.412143391619
BRA,1780.0
BIH,8348.57187063311
TZA,10511.42709541313
FCS,10699.320744486828
MDV,2245.9105014428296
MLI,200.0
PER,880.0
MYS,1840.0
EGY,640.0
SYC,2650.0
SVK,14209.87681105879
NGA,280.0
IND,320.0
KAZ,-1730.6843409295607
IDN,520.0
GRD,1370.0
SLE,190.0
HUN,6672.614331390059
KHM,5414.745321842836
MUS,1250.0
KGZ,13917.237868737826
CIV,720.0
VUT,980.0
TCA,-7093.938311921631
TKM,12599.041337561706
VNM,579.6030679693467
VEN,3380.0
CAN,14380.0
EST,-802.8724451303524
SWZ,5002.533758111944
KEN,340.0
JAM,960.0
DNK,14140.0
LUX,14160.0
MDG,300.0
PSS,1396.43373047456
ABW,2224.5682361064537
USA,19160.0
AFG,10861.945267306164
ROM,17126.411168218016
EUU,7768.721356870291
TON,770.0
LAO,550.0
BOL,740.0
HIC,10050.801565056801
SLV,760.0
NAM,1390.0
UKR,2679.1707452201194
SMR,14963.57004750748
BLZ,1340.0
BHR,7450.0
MOZ,320.0
SSD,3662.847539157061
ISL,14170.0
VIR,9850.0
SEN,500.0
BMU,21170.0
BLR,7997.91241153195
SRB,8989.332118520988
ADO,8700.0
SXM,4556.888612345492
LCN,1823.2189911375895
BGD,240.0
LIE,22890.0
LBY,4404.011034440458
ESP,5410.0
PAK,370.0
ETH,230.0
OED,10732.437446198901
GNB,150.0
CYM,4196.551725622356
BWA,1050.0
FJI,1790.0
DEU,11260.0
JPN,13650.0
AZE,8592.891833370257
CZE,14710.707019837724
LAC,1593.5604343078699
HRV,1149.6517218783065
ALB,720.0
ZWE,690.0
URY,1780.0
MAF,4633.243626140062
BGR,2200.0
ECA,6002.658963832368
LBN,3935.107927291846
GBR,9520.0
LIC,261.507774645407
UMC,771.273227369585
ARE,3341.553911067289
SSF,495.709053516513
VCT,1460.0
NER,250.0
NOR,17550.0
BRB,4950.0
EMU,9186.42964348
MRT,400.0
LVA,4476.85071547342
MAC,5010.0
SWE,15330.0
GEO,8915.743969962883
TUR,1440.0
JOR,2120.0
LTU,7544.79740603229
BRN,2863.8152524091684
CAF,330.0
NOC,857.2335455913853
OMN,5930.0
DJI,2582.805463723442
SOM,4278.036612891903
SST,1449.11707244587
SAU,8550.0
ITA,9350.0
ZMB,250.0
ARM,8062.185360820646
MWI,150.0
BHS,9600.0
CEB,8464.54948771861
LMY,566.777078080899
GAB,3830.0
DMA,1460.0
FSM,-821.9763076584354
HPC,350.846642298173
GTM,1040.0
LCA,1730.0
MKD,9143.729639793375
SUR,2340.0
RWA,300.0
AUS,12190.0
GIN,-874.9680309689829
ECU,1780.0
IRL,6370.0
ZAR,260.0
HTI,15570.334453365203
AUT,10780.0
MCO,43370.0
OEC,12016.6043215825
MEX,1940.0
LKA,410.0
MLT,4000.0
SAS,314.241645830629
POL,12631.077248727988
GMB,310.0
PYF,10350.0
CSS,2453.43591113525
IRN,3700.0
THA,830.0
IRQ,3050.0
SGP,7320.0
TTO,5090.0
CHI,8403.486696383537
GUY,530.0
KNA,2930.0
HND,830.0
NCL,6170.0
PLW,8304.986067864873
ASM,972.4133655147489
KIR,550.0
DOM,1000.0
