Country,SP.DYN.LE00.IN,NY.GDP.PCAP.CD,SE.PRM.ENRR,SE.ADT.LITR.ZS
MDA,67.2556829268293,14453.490841714547,113.40453718287115,46.19905794972941
GNQ,47.4492195121951,283.605265326123,85.1789902947326,29.057180814044827
TMP,46.78434146341461,12027.28174285607,95.11572023773847,43.116901916290914
TUN,67.6079024390244,1284.90486013057,113.62308,27.645307024535605
YEM,56.8963414634146,2190.7653170309095,90.43547613918108,31.754813165901883
BDI,48.62641463414639,204.838717333417,66.36270999999999,37.52313415910744
CUW,80.89313595190427,-2370.6543800449117,118.76341407033722,43.90016478276513
CRI,75.2628780487805,2059.30915676005,101.75832,36.31728188211837
WSM,63.998951219512215,824.016662083289,114.56998337988075,59.175344179012015
NPL,52.5000243902439,195.18406080604802,93.47434,40.650683307827656
EAP,67.7314063269895,371.1492998881311,123.58602905273399,28.228011887033205
ERI,46.803146341463396,16136.745158073754,115.58037370248206,37.16652502196945
QAT,74.7520487804878,13562.772171228702,103.32992,46.21746839185183
LDC,51.1713604400929,298.358830496975,69.4233474731445,52.461756253965774
UZB,66.9683414634146,-4931.755608936446,60.52524961744403,45.0871348658972
CPV,64.8015365853659,803.707767978414,114.81102,44.4677226832779
MEA,64.38931813421661,1676.4742307608701,92.1455764770508,36.84238200490627
GRC,75.90065853658541,7598.02805334994,100.60606999999999,27.495186452102185
BEL,75.5658536585366,16478.8471704714,100.86076,55.432331552845916
WBG,56.37880447344757,7332.387697777598,105.73643655733301,45.55431747398279
ECS,72.01731603519191,8478.216675593729,104.338310241699,45.548140124017394
ARB,63.629588759971895,1467.5361080435098,82.802848815918,45.182571974858504
AGO,41.0377073170732,633.9073336855059,88.35969,36.89372294367123
OSS,58.4080306330268,1206.68110057946,100.771430969238,50.73888153814383
SLB,56.2772926829268,1053.30270919469,92.73964866353711,38.38237755839036
STP,61.43295121951221,-6406.52747552891,135.88916,42.17839874989022
BTN,50.8984878048781,548.971959845385,55.90746,36.84400682554515
COM,55.58092682926829,530.450149641231,99.22748,34.12728122977098
BEN,52.09673170731711,345.80926495261,61.27506999999999,34.84892651628559
PNG,55.2028048780488,923.170548488177,61.06952,39.52069260605585
UGA,46.0931219512195,401.09814490108704,73.97870999999999,27.059607568700297
LSO,58.086951219512216,278.22452295836604,112.65826000000001,38.991931480553326
MNG,59.649048780487796,1533.4435715985599,100.58644,39.158858610250064
KSV,67.39756097560979,10270.686334487436,113.70762486433668,53.22519391749322
COG,55.8294634146342,977.918331495359,132.0843,37.01243605516885
TGO,55.5518048780488,385.207888692951,87.17278,33.30743119605713
CHE,77.2265853658537,31664.159285318397,84.44702,31.439380532979023
MNP,72.33031791284733,8322.741165096839,115.26307759533267,36.57475786156761
LBR,47.211756097561,478.385349235588,88.10604459349229,40.585810908512755
PHL,64.7916341463415,643.824906932147,107.3908,46.46761687563183
