Country,NY.GNP.PCAP.CD
MDA,2140.0
GNQ,12460.0
TMP,3940.0
TUN,4120.0
YEM,1180.0
BDI,240.0
CUW,11198.564103777033
CRI,9040.0
WSM,3860.0
NPL,690.0
EAP,5053.68420278767
ERI,9400.466027442053
QAT,80340.0
LDC,766.715879256873
UZB,1730.0
CPV,3470.0
MEA,8218.19779253481
GRC,23760.0
BEL,47090.0
WBG,3070.0
ECS,24943.892438154904
ARB,6966.523214306851
AGO,-16478.736933181164
OSS,4534.870524615801
SLB,1520.0
STP,1360.0
BTN,2320.0
COM,770.0
BEN,790.0
PNG,1820.0
UGA,630.0
LSO,1460.0
MNG,3670.0
KSV,3780.0
COG,2510.0
TGO,490.0
CHE,84590.0
MNP,39528.13160165137
LBR,340.0
PHL,3000.0
MNE,7000.0
KOR,24640.0
PRI,18420.0
FRO,130.38906907309592
DZA,5200.0
SYR,37879.560132366954
CUB,-13204.788222761934
MMR,1629.7467776777266
SVN,23300.0
PRY,3430.0
SDN,1650.0
FRA,43030.0
BFA,640.0
CMR,1230.0
GUM,25492.902400494433
TJK,890.0
ISR,32470.0
FIN,48670.0
COL,7140.0
MNA,4533.65464392501
SSA,1542.5944396966102
PRT,21150.0
TCD,960.0
NAC,52388.846339643496
ARG,13060.0
WLD,10381.3581409173
PRK,-1323.5951029796724
EAS,8956.00387932551
NIC,1700.0
GRL,27211.75257399038
LMC,1867.84592789838
KWT,49600.0
MHL,3940.0
TUV,5650.0
NZL,15836.997645519281
ATG,12850.0
RUS,12730.0
IMY,8317.778199180044
ZAF,7640.0
GHA,1570.0
PAN,9170.0
CHN,5870.0
HKG,36320.0
CYP,28890.0
NLD,52500.0
MAR,2960.0
CHL,14350.0
MIC,4175.83049471008
BRA,12160.0
BIH,4610.0
TZA,780.0
FCS,1525.7655379138
MDV,5930.0
MLI,600.0
PER,5650.0
MYS,10200.0
EGY,2810.0
SYC,12200.0
SVK,17450.0
NGA,2470.0
IND,1500.0
KAZ,9780.0
IDN,3580.0
GRD,7160.0
SLE,520.0
HUN,12850.0
KHM,880.0
MUS,9010.0
KGZ,1040.0
CIV,1260.0
VUT,2950.0
TCA,23167.722933615005
TKM,5410.0
VNM,1560.0
VEN,12500.0
CAN,51020.0
EST,17040.0
SWZ,3460.0
KEN,1090.0
JAM,5200.0
DNK,60680.0
LUX,73980.0
MDG,430.0
PSS,3236.14470192432
ABW,-1456.1833393825773
USA,52530.0
AFG,720.0
ROM,8750.0
EUU,35287.6968647874
TON,4210.0
LAO,1300.0
BOL,2280.0
HIC,37582.0035508173
SLV,3730.0
NAM,5450.0
UKR,3500.0
SMR,28022.679220690872
BLZ,4260.0
BHR,19470.0
MOZ,520.0
SSD,820.0
ISL,40530.0
VIR,357.3321504922933
SEN,1040.0
BMU,106080.0
BLR,6400.0
SRB,5700.0
ADO,41010.0
SXM,21816.387401742715
LCN,9713.055090807371
BGD,950.0
LIE,7789.4496326283115
LBY,10860.0
ESP,29850.0
PAK,1260.0
ETH,410.0
OED,38404.0370809369
GNB,580.0
CYM,-21639.252517157107
BWA,7190.0
FJI,4020.0
DEU,46680.0
JPN,47830.0
AZE,6290.0
CZE,19270.0
LAC,8959.91698985396
HRV,13460.0
ALB,4360.0
ZWE,770.0
URY,13910.0
MAF,-10689.570769175909
BGR,7270.0
ECA,6485.2520208119495
LBN,9410.0
GBR,41010.0
LIC,561.064987102204
UMC,6948.99353317302
ARE,40130.0
SSF,1552.78226467078
VCT,6350.0
NER,390.0
NOR,99100.0
BRB,15310.0
EMU,39241.2919712049
MRT,1290.0
LVA,13790.0
MAC,61920.0
SWE,58680.0
GEO,3290.0
TUR,10800.0
JOR,4660.0
LTU,13950.0
BRN,37320.0
CAF,480.0
NOC,17794.179051837902
OMN,16640.0
DJI,4996.19972015983
SOM,35285.76007358412
SST,5434.72669422656
SAU,23690.0
ITA,36000.0
ZMB,1650.0
ARM,3760.0
MWI,320.0
BHS,21430.0
CEB,13050.0449151524
LMY,3803.04716923041
GAB,9460.0
DMA,6760.0
FSM,3220.0
HPC,787.877623040384
GTM,3070.0
LCA,6960.0
MKD,4760.0
SUR,9070.0
RWA,640.0
AUS,59810.0
GIN,430.0
ECU,5410.0
IRL,42160.0
ZAR,350.0
HTI,750.0
AUT,49830.0
MCO,17492.48117965305
OEC,43659.3371750486
MEX,9560.0
LKA,2920.0
MLT,20000.0
SAS,1413.3847989265396
POL,13290.0
GMB,520.0
PYF,-1910.100194811046
CSS,8794.962963182359
IRN,7010.0
THA,5610.0
IRQ,6130.0
SGP,51390.0
TTO,15390.0
CHI,31022.308217625563
GUY,3600.0
KNA,13070.0
HND,2200.0
NCL,-5540.498115908527
PLW,9920.0
ASM,-14721.403553860564
KIR,2420.0
DOM,5680.0
