Country,SP.DYN.LE00.IN,NY.GDP.PCAP.CD,SE.PRM.ENRR,SE.ADT.LITR.ZS
MDA,64.7556585365854,1580.2136835455526,124.90095641759085,70.91648124020148
GNQ,43.7592195121951,229.563612673105,93.88855380902031,77.43699386952258
TMP,34.4259512195122,-556.2909142487697,89.47194635268178,91.43242764203748
TUN,62.02451219512201,1369.52611185947,104.35885999999999,81.48775767034482
YEM,50.5595365853659,445.28504299985616,152.459779415346,81.47437236314713
BDI,47.26282926829271,222.880615514258,25.98935,80.88108552702903
CUW,63.22907605568028,7172.777238736835,104.452410958289,52.61614818526027
CRI,72.1301951219512,2022.1106492352399,105.08908000000001,81.01860083333324
WSM,59.969512195122,16996.061973310523,98.53181,82.40872682951905
NPL,46.5118048780488,130.68543509056602,93.72097,92.31290811524858
EAP,65.3616956380511,279.100512382686,111.185493469238,85.59581453906748
ERI,43.31992682926829,-7.8624697778341215,100.55549342268282,69.01491748662849
QAT,72.7916585365854,34995.8405750035,120.64918,86.2212797970858
LDC,48.180128882543706,293.09186661650904,70.1098175048828,85.91899798727155
UZB,65.2723902439024,9597.760275724482,113.23487005651378,57.20705445380665
CPV,60.5849756097561,498.06503361957,112.69247,94.92759179845828
MEA,58.8609424046091,2148.94046336552,86.0953826904297,81.23997831569216
GRC,73.6471463414634,5893.66180979161,100.18633,91.54298835184852
BEL,73.2070731707317,12932.8728254257,105.67152,102.86083868092152
WBG,71.99603199262387,5886.330512964809,67.24266018747419,67.28284040792462
ECS,70.2045575069063,5728.595491682261,102.783157348633,66.7034086320399
ARB,58.48573829057771,2046.4865003518696,77.2132873535156,99.37533530924179
AGO,40.159243902439,5304.017400555258,162.61688,67.2368300406269
OSS,54.60006953483,1166.9896548035902,96.13253784179692,86.89817801425687
SLB,58.8907317073171,731.5919809600972,75.10601,78.1448916611553
STP,60.5117804878049,5399.3411709337315,159.16891,72.205241472268
BTN,44.96170731707321,328.807849422011,46.61958,93.17121083990372
COM,50.596000000000004,400.319142962533,119.1055541611793,47.91923
BEN,47.234585365853704,377.95663604705396,57.76021,56.319795858646586
PNG,52.8837073170732,791.788669975813,55.61083000000001,86.01496829721583
UGA,49.1827804878049,99.18986298265007,52.24113,74.17563417675075
LSO,53.6683170731707,330.07625210896,97.23125,105.20472603846073
MNG,56.925512195122,2416.3412291017494,103.2765,88.48544604581483
KSV,60.140810908245406,13546.276771984762,109.82216717773316,85.26232149915808
COG,56.090878048780496,946.7770499368112,131.73991,91.53179382200577
TGO,52.3044146341463,417.668767492859,107.84127,65.56049167015578
CHE,75.4592682926829,18785.0364373183,82.38429000000001,82.51709711618079
MNP,64.2540485466505,13555.474012714521,90.22473401217634,99.43231883669316
LBR,46.02207317073171,451.623990966585,48.94458,79.57149009104566
PHL,62.154756097561,684.651391820482,108.3467,83.31723000000001
MNE,72.8721951219512,8154.205376614814,159.520753198006,60.540222465878145
KOR,65.8092682926829,1778.48024024935,105.24205,95.30187044761871
PRI,73.7022926829268,4502.8384279476,106.48137061381262,86.74606
FRO,49.94446093992087,-3283.22337805028,79.61370263933276,79.37906916727835
DZA,58.1640243902439,2189.77571918256,93.98384,83.26563819477707
SYR,65.8158048780488,1458.4852055875,95.05214000000001,68.10431669891543
CUB,73.831756097561,2024.6600349270104,110.36205,81.87017461348864
MMR,54.941512195122,6208.357376075007,86.15995,102.17735042105988
SVN,71.10487804878049,-3676.10270585708,106.70848898110911,64.95265159764813
PRY,66.7710975609756,1287.4220085138,101.78138,90.20408556592403
SDN,54.24112195121951,398.404111732972,102.77008219154786,52.57258218056381
FRA,74.05121951219509,12712.601399471101,107.81781000000001,57.246178946438505
BFA,45.9975609756098,282.685785453146,17.29205,109.40600386596591
CMR,51.2070243902439,754.6648207317239,91.92095,88.71159313080554
GUM,69.3905365853659,-639.9601238159698,82.54820599977415,96.42065
TJK,62.2339024390244,7458.250145696787,85.73821997844743,91.14178812820583
ISR,73.87560975609759,5616.54684015441,102.28842,75.63565699072936
FIN,73.44,11232.274564422,97.26918,99.57179503080849
COL,65.4781707317073,1204.15410230297,118.18943999999999,84.43217355429081
MNA,58.03939793309879,4749.287607723228,87.4271392822266,91.74129363152599
SSA,48.163329506416595,709.237804079714,77.447998046875,98.37312310557067
PRT,71.2146341463415,3368.6983695763,121.27869,71.47768585929435
TCD,44.674975609756096,228.90523540852797,79.82766895176489,85.72437604149468
NAC,73.7968447454703,12452.939576063201,99.12246704101558,97.9722246765802
ARG,69.5144878048781,2738.28462575754,106.09817,93.91286
WLD,62.913616789699795,2514.18598567779,97.38275146484379,93.89960360215878
PRK,65.7454146341463,-6397.837517397633,52.020242713135694,84.76485062327095
EAS,66.394162859792,1156.03631854599,110.493690490723,78.15284911923382
NIC,58.4970975609756,659.80288875085,85.64175999999999,79.33141799612758
GRL,63.449756097561,9483.10296840521,110.85063878439793,78.44606130190417
