Country,IQ.CPA.GNDR.XQ
MDA,5.0
GNQ,4.499153410120195
TMP,3.5
TUN,2.7272651550093854
YEM,2.0
BDI,4.0
CUW,2.9707041669872645
CRI,2.983564938302079
WSM,3.5
NPL,3.5
EAP,3.36363636363636
ERI,3.5
QAT,2.647604365395668
LDC,3.21428571428571
UZB,4.0
CPV,4.5
MEA,2.25
GRC,2.353851873802599
BEL,3.857207106607027
WBG,3.7450319358188917
ECS,4.375
ARB,2.7
AGO,3.0
OSS,3.45
SLB,3.0
STP,3.0
BTN,4.0
COM,3.0
BEN,3.5
PNG,2.5
UGA,3.5
LSO,4.0
MNG,3.5
KSV,3.019186916652081
COG,3.0
TGO,3.0
CHE,3.2776136417925508
MNP,3.501026954233426
LBR,2.9699058276210097
PHL,3.559146644787456
MNE,3.36858835133573
KOR,3.381914635842297
PRI,3.6213039988830733
FRO,3.978025876563004
DZA,4.1599290667554785
SYR,3.838053597111746
CUB,3.0115259393584592
MMR,2.336726342947934
SVN,1.8906237706892797
PRY,3.218632854251707
SDN,2.0
FRA,3.981469234736235
BFA,3.5
CMR,3.0
GUM,1.7175761600840522
TJK,4.0
ISR,3.1866517211992043
FIN,3.471087330200487
COL,2.724459464206427
MNA,2.25
SSA,3.22972972972973
PRT,3.953685234572627
TCD,2.5
NAC,3.4662436383007935
ARG,4.127117975191485
WLD,3.43333333333333
PRK,3.818457952080466
EAS,3.36363636363636
NIC,3.5
GRL,3.4113589739289942
LMC,3.5131578947368403
KWT,3.5341837513628365
MHL,4.156160661881372
TUV,4.041696376993711
NZL,4.86179041916961
ATG,4.157626857183111
RUS,3.5612720285000625
IMY,4.271673337407934
ZAF,2.806554296404422
GHA,4.0
PAN,3.1295579205382618
CHN,2.7025742891212388
HKG,2.384516734688825
CYP,3.169719788131068
NLD,3.825503699517567
MAR,3.610827129637247
CHL,4.39181005432925
MIC,3.5729166666666696
BRA,2.899537704162051
BIH,4.5
TZA,3.5
FCS,2.95454545454545
MDV,4.0
MLI,3.5
PER,3.387120132235755
MYS,2.9542398978723856
EGY,3.269294145167763
SYC,3.378821542625575
SVK,2.7079105001366894
NGA,3.0
IND,3.5
KAZ,3.263163257017788
IDN,3.5071926073554907
GRD,5.0
SLE,3.0
HUN,4.183711414692853
KHM,4.0
MUS,3.3729862404084066
KGZ,4.5
CIV,2.5
VUT,3.5
TCA,3.1177786415767037
TKM,3.9093000960105897
VNM,4.5
VEN,3.1170101664213057
CAN,3.721283081164036
EST,3.5621569115003915
SWZ,3.1970675230466084
KEN,3.0
JAM,3.0947444752855047
DNK,3.4465636206114416
LUX,3.9923045695887156
MDG,3.5
PSS,3.1
ABW,3.8218251283579296
USA,2.3209504301513295
AFG,2.0
ROM,3.6065822684820406
EUU,3.1642384297088437
TON,3.0
LAO,3.5
BOL,4.0
HIC,2.9281754181577986
SLV,3.582318597398915
NAM,3.61070314424303
UKR,3.1548822253677216
SMR,3.5796463796664693
BLZ,4.932717494878153
BHR,2.8526681252236634
MOZ,3.5
SSD,2.9858203830442918
ISL,2.900363570099752
VIR,3.6051613549013934
SEN,3.5
BMU,3.386262780423108
BLR,3.4425365836247472
SRB,3.807185079263625
ADO,3.299027029722785
SXM,3.096822084374915
LCN,3.8333333333333295
BGD,4.0
LIE,2.8237569978905235
LBY,2.453511345711908
ESP,2.7364989563352817
PAK,2.0
ETH,3.0
OED,2.9053654778690388
GNB,2.5
CYM,2.5744465189531422
BWA,2.9531543638193964
FJI,3.629033236590344
DEU,3.1380165613884055
JPN,3.0416206118698264
AZE,4.0
CZE,3.6749686635803
LAC,3.8333333333333295
HRV,2.992789592213221
ALB,3.847205620303183
ZWE,2.5
URY,3.614227418247749
MAF,3.235760925039723
BGR,3.016463994204211
ECA,4.375
LBN,3.44546718973076
GBR,3.701150095167381
LIC,3.18518518518519
UMC,3.8
ARE,2.3555993339448635
SSF,3.22972972972973
VCT,4.0
NER,2.5
NOR,3.4755498880371936
BRB,3.6837773231319266
EMU,3.4019478641075183
MRT,4.0
LVA,3.790576002783713
MAC,3.856499770505254
SWE,3.8380553740948056
GEO,4.5
TUR,2.8720325532497064
JOR,3.800102435472778
LTU,3.954773028880615
BRN,5.5072067825805595
CAF,2.5
NOC,3.4266505565611283
OMN,3.747607541819337
DJI,2.5
SOM,2.906740800778317
SST,3.5
SAU,3.4103021553578614
ITA,3.8530493170332756
ZMB,3.5
ARM,4.5
MWI,3.5
BHS,3.6043499368321656
CEB,4.169460614064108
LMY,3.43333333333333
GAB,2.365822234120296
DMA,3.5
FSM,3.896774653819377
HPC,3.2432432432432403
GTM,3.7442121198763916
LCA,3.5
MKD,3.815422020452403
SUR,4.533849109656143
RWA,3.5
AUS,3.2543452915070517
GIN,3.5
ECU,3.639400403516564
IRL,2.165431604436251
ZAR,3.0
HTI,3.0
AUT,3.7476395880454505
MCO,2.40032470034447
OEC,2.873661186923081
MEX,2.7294148346526916
LKA,4.0
MLT,3.1007939529055424
SAS,3.375
POL,3.29977423915441
GMB,3.5
PYF,2.617435679704279
CSS,4.0
IRN,3.279980118291439
THA,3.8600413168589753
IRQ,2.9617270295209046
SGP,3.128796590426534
TTO,3.6355620676849023
CHI,4.213093655671554
GUY,4.0
KNA,2.980821174217156
HND,4.0
NCL,2.155617742432047
PLW,3.8144295126591814
ASM,3.2943062394626526
KIR,2.5
DOM,3.5093827751218454
