Country,NY.GNP.PCAP.CD
MDA,1990.0
GNQ,9710.0
TMP,3630.0
TUN,4000.0
YEM,1060.0
BDI,220.0
CUW,16610.41971537621
CRI,7980.0
WSM,3590.0
NPL,610.0
EAP,4322.686111230109
ERI,480.0
QAT,71850.0
LDC,712.913520684938
UZB,1510.0
CPV,3540.0
MEA,7292.128413287329
GRC,24980.0
BEL,47010.0
WBG,2560.0
ECS,24705.3267454913
ARB,6033.6167754668995
AGO,16108.057172165665
OSS,4154.79578688021
SLB,1120.0
STP,1260.0
BTN,2170.0
COM,770.0
BEN,770.0
PNG,1520.0
UGA,610.0
LSO,1370.0
MNG,2600.0
KSV,3640.0
COG,2230.0
TGO,460.0
CHE,79290.0
MNP,32078.800099688524
LBR,320.0
PHL,2640.0
MNE,7240.0
KOR,22620.0
PRI,17320.0
FRO,17347.27898165738
DZA,4590.0
SYR,-4609.214628416157
CUB,5880.0
MMR,-12535.641181448584
SVN,24590.0
PRY,3250.0
SDN,1410.0
FRA,44220.0
BFA,610.0
CMR,1210.0
GUM,12636.259635475959
TJK,790.0
ISR,31190.0
FIN,49910.0
COL,6180.0
MNA,4070.33812960639
SSA,1336.47552674592
PRT,22660.0
TCD,890.0
NAC,50126.7430807175
ARG,11840.0
WLD,9806.55779376241
PRK,-3367.6407091595247
EAS,7995.61951664322
NIC,1600.0
GRL,9864.541018682954
LMC,1666.02651478218
KWT,42860.0
MHL,3880.0
TUV,5080.0
NZL,31890.0
ATG,12370.0
RUS,10820.0
IMY,19982.537816932574
ZAF,7050.0
GHA,1410.0
PAN,8240.0
CHN,5000.0
HKG,35690.0
CYP,31490.0
NLD,54120.0
MAR,2980.0
CHL,12350.0
MIC,3699.51732811451
BRA,11010.0
BIH,4700.0
TZA,740.0
FCS,1262.5886008448801
MDV,5850.0
MLI,610.0
PER,4870.0
MYS,9080.0
EGY,2590.0
SYC,11060.0
SVK,17210.0
NGA,1720.0
IND,1410.0
KAZ,8190.0
IDN,3010.0
GRD,7180.0
SLE,500.0
HUN,13050.0
KHM,810.0
MUS,8320.0
KGZ,880.0
CIV,1150.0
VUT,2860.0
TCA,-1792.2406889649574
TKM,4660.0
VNM,1390.0
VEN,11790.0
CAN,47090.0
EST,15880.0
SWZ,3010.0
KEN,1040.0
JAM,4790.0
DNK,61490.0
LUX,75650.0
MDG,420.0
PSS,2899.49842479164
ABW,5462.516489029662
USA,50450.0
AFG,570.0
ROM,8610.0
EUU,35694.4643894478
TON,3830.0
LAO,1120.0
BOL,2010.0
HIC,36156.2043335863
SLV,3600.0
NAM,4970.0
UKR,3110.0
SMR,24234.184044821486
BLZ,4140.0
BHR,17860.0
MOZ,480.0
SSD,910.0
ISL,37590.0
VIR,26220.308983460996
SEN,1030.0
BMU,107530.0
BLR,6130.0
SRB,5910.0
ADO,40580.0
SXM,19679.8077414348
LCN,8825.65640399162
BGD,870.0
LIE,16607.756198686835
LBY,4660.0
ESP,31140.0
PAK,1150.0
ETH,390.0
OED,37254.7551217625
GNB,590.0
CYM,47319.80006440544
BWA,6510.0
FJI,3610.0
DEU,46480.0
JPN,45190.0
AZE,5530.0
CZE,19400.0
LAC,8137.163642685659
HRV,14050.0
ALB,4390.0
ZWE,690.0
URY,12010.0
MAF,6945.488560078076
BGR,7080.0
ECA,6118.37800451322
LBN,9070.0
GBR,40190.0
LIC,524.9264857777999
UMC,6125.5882968364
ARE,35250.0
SSF,1344.4122603473402
VCT,6070.0
NER,360.0
NOR,90270.0
BRB,15740.0
EMU,40117.964756655696
MRT,1200.0
LVA,13140.0
MAC,55400.0
SWE,56090.0
GEO,2850.0
TUR,10490.0
JOR,4370.0
LTU,13020.0
BRN,49123.913070198534
CAF,480.0
NOC,15848.793128211299
OMN,15160.0
DJI,-16136.431521445156
SOM,38750.00792936216
SST,5038.31044095407
SAU,20450.0
ITA,37690.0
ZMB,1400.0
ARM,3420.0
MWI,370.0
BHS,21290.0
CEB,12890.694792497901
LMY,3376.4948756971003
GAB,8890.0
DMA,6890.0
FSM,3050.0
HPC,737.491273752752
GTM,2830.0
LCA,6900.0
MKD,4820.0
SUR,8430.0
RWA,590.0
AUS,50130.0
GIN,400.0
ECU,4900.0
IRL,43100.0
ZAR,310.0
HTI,700.0
AUT,50310.0
MCO,24751.87072395934
OEC,42346.5396615714
MEX,8870.0
LKA,2520.0
MLT,20100.0
SAS,1318.52476379726
POL,12940.0
GMB,520.0
PYF,601.0901981841889
CSS,8286.45813479822
IRN,6730.0
THA,5000.0
IRQ,4800.0
SGP,48330.0
TTO,14160.0
CHI,42625.00831676684
GUY,3190.0
KNA,13010.0
HND,2090.0
NCL,24338.753516980414
PLW,9530.0
ASM,503.65376666617885
KIR,1940.0
DOM,5430.0
