Country,Average,Stdev
CPV,1.32653061224,0.792509707712
PRT,0.489795918367,0.759227560724
LBY,0.408163265306,0.697469693495
FSM,0.571428571429,0.808122035642
GEO,1.08163265306,0.876838818732
PAK,1.38775510204,0.750953856856
CAF,1.65306122449,0.517096304462
GRC,0.489795918367,0.759227560724
NER,1.67346938776,0.510612081763
BEN,1.71428571429,0.451753951453
GRD,1.57142857143,0.638876565
ARB,0.34693877551,0.656242252686
LAO,1.63265306122,0.560388988479
FRA,0.0816326530612,0.273804242143
MDA,1.02040816327,0.868726394032
DNK,0.142857142857,0.451753951453
PER,1.55102040816,0.671921536047
SVK,0.673469387755,0.817855710592
LAC,1.04081632653,0.727286925763
FIN,0.244897959184,0.590074787543
SLV,1.65306122449,0.517096304462
BGD,1.63265306122,0.560388988479
EST,0.428571428571,0.728431359085
ATG,0.836734693878,0.88863432886
IRL,0.285714285714,0.638876565
JOR,1.4693877551,0.702823483989
SMR,0.428571428571,0.728431359085
SSD,0.591836734694,0.806057863597
KWT,0.326530612245,0.651145148308
LDC,0.612244897959,0.803470191226
MWI,1.69387755102,0.460881215944
SSA,0.775510204082,0.814794480722
COM,1.61224489796,0.564830714412
WBG,0.755102040816,0.869684724598
ISR,0.448979591837,0.730144645714
DOM,1.69387755102,0.460881215944
CIV,1.51020408163,0.673778531397
HIC,0.408163265306,0.531396594543
CHI,0.326530612245,0.619010240331
THA,1.38775510204,0.750953856856
ROM,1.34693877551,0.770661534224
NPL,1.69387755102,0.460881215944
SGP,0.367346938776,0.629021837038
DZA,1.48979591837,0.673778531397
VNM,0.897959183673,0.862954061709
LBR,1.44897959184,0.730144645714
LKA,1.63265306122,0.560388988479
ARE,0.30612244898,0.645362787789
VEN,0.734693877551,0.875412677124
BWA,1.63265306122,0.560388988479
AGO,1.16326530612,0.841450127677
MLT,0.591836734694,0.806057863597
USA,0.367346938776,0.595694674258
MIC,1.22448979592,0.544557716903
MDG,1.69387755102,0.460881215944
MNA,0.326530612245,0.651145148308
TMP,0.551020408163,0.784056029073
NZL,0.30612244898,0.645362787789
IRN,1.04081632653,0.781395498738
BHS,0.755102040816,0.845893133717
VIR,0.510204081633,0.759227560724
WSM,1.57142857143,0.638876565
GUM,0.469387755102,0.758678787569
MRT,1.65306122449,0.517096304462
LBN,1.44897959184,0.730144645714
GIN,1.55102040816,0.640829325229
LIE,0.224489795918,0.544557716903
AZE,1.12244897959,0.872075943642
MNE,1.59183673469,0.603336550983
NAC,0.265306122449,0.485525602178
POL,0.34693877551,0.68663689148
GAB,1.61224489796,0.599875039049
SWZ,1.59183673469,0.603336550983
BGR,1.22448979592,0.814794480722
FRO,0.530612244898,0.758678787569
CZE,0.510204081633,0.78564802265
MCO,0.30612244898,0.612924792558
MLI,1.65306122449,0.517096304462
MDV,1.34693877551,0.770661534224
ERI,0.959183673469,0.879684165806
NIC,1.67346938776,0.510612081763
CRI,1.65306122449,0.555162061581
