Country,x1,x2,x3,x4,x5,x6,x7,x8,NY.GNP.PCAP.CD
MDA,-43.0649478984368,7.316716372135033,20.72257774017157,36.83970126894978,8.090967671504531,23.29417704547599,5.255697914181378,-10.310642765981719,890.0
GNQ,2.6367589238659006,-42.06089196324241,-24.350453504117997,-12.156665312496534,-1.5342980220726223,-18.924937401533686,22.764699244677978,-19.827513454901197,4660.0
TMP,-1.9258278163912377,-22.669716604948782,-1.4854796873573517,34.05038056530828,15.260635238701525,-3.8223265626677856,1.8667397522813636,-7.362996421063487,910.0
TUN,-29.147576263785524,-9.834928312839917,31.043535737749952,16.63944745004851,8.300161699968683,13.78725546619478,4.663413929383675,-15.73344416352733,3190.0
YEM,-51.30413292508257,-29.55571911182302,-45.55214764478019,31.07598007177489,17.372099456380532,7.847352888290506,2.4056058335201302,2.0798204163811373,690.0
BDI,-6.536168637788263,-28.544546085222663,-57.44481885689542,-19.21631959989537,4.529481281072741,-8.503673043684575,-3.1041890851090614,-20.11003561957256,130.0
CUW,-8.595195319387718,-4.33076965176991,-14.884456739565676,-5.9182437647287705,-7.4055855574107055,-1.6273567942485108,6.456081012690629,4.50389600542067,27410.570581229324
CRI,-45.84244253730137,-4.367540446466379,23.16654548155601,1.7343870049895613,-3.064647564130852,-1.605838633240525,-6.29086140744962,0.8597500137639197,4890.0
WSM,-37.99736744877865,-2.6705828215796683,10.104358980344067,0.9894078228821441,-9.679243239167228,28.164447010848658,3.722383106963057,9.978626539558698,2370.0
NPL,-36.75136025051556,-22.128681865701367,-19.54353057371079,-33.31833397507244,-5.893142558061402,-1.7152530013667417,10.7274926320524,-12.532663809472464,310.0
EAP,194.40321971445908,5.109955032381978,-1.7061398631602387,-6.926231881806494,-16.3204895820501,-15.468419416475644,18.142794213059588,-3.361961637365972,1640.5314201656101
ERI,-57.25362240003754,-23.891660798546475,-4.64131079496688,-30.78374604949652,4.984726590757577,-29.35669764500894,-15.619613994370638,-7.375963915818453,260.0
QAT,1.29457130258763,13.571994237794607,15.90189546791857,-10.874212871154883,-7.034076934209687,-18.382736512701193,3.772458819854374,-0.6852447775935596,39560.0
LDC,63.86121069313816,-22.673718302018983,-39.238778710513564,-2.328606960817018,13.400757955911697,-3.86553287012697,-19.535114655013913,17.69311408249626,405.207116388313
UZB,-44.37569184799292,9.706860840366447,1.356758382000406,5.469916109805516,17.10259806433485,-25.184179876270782,14.975757587051001,-4.667297782748552,530.0
