Country,LEI,GDP,EI,HDI,NY.GNP.PCAP.CD
MDA,0.612711069418386,1.4148824227917773,0.9027907920964369,0.9767947614355335,6490.382661814199
GNQ,0.26898198874296464,1.358250796973115,0.7574485956282992,0.7948937937814596,3770.6416940300537
TMP,0.11756510318949383,0,0.6291357962126872,0.24890029980072703,8830.77515232389
TUN,0.5383459662288939,1.1499001391020516,0.911611472775177,0.8666191927020408,940.0
YEM,0.36228630393996325,1.37964156941468,0.7740505659297858,0.8386594797614764,-2337.3428879400826
BDI,0.3309767354596631,0.8375696371254641,0.5200396814933055,0.5628620180261442,150.0
CUW,0.5794114440268343,1.2650025419209694,0.6199175709102309,0.8214438522860116,-3002.796284407093
CRI,0.7064510318949339,1.2260904276256503,0.6163552256876528,0.8496322284027457,1480.0
WSM,0.5226078799249538,1.4509276067513224,0.6753287798213907,0.8829547554992223,520.8529931788912
NPL,0.31078348968105063,0.7816742369981182,0.7825921101241711,0.6250166122677799,120.0
EAP,0.6109061816511921,0.8922326900043346,0.7132037908470554,0.7387808875008607,241.825401205117
ERI,0.27564277673546,1.3809476168990655,0.4391364468464216,0.698575613493649,-448.3047701093524
QAT,0.725513696060037,1.6618497540183452,1.0428820813428836,1.143415177140422,3658.786970414407
LDC,0.3413100005829848,1.3969400516723605,0.634147214938345,0.7907990890645635,252.31438441580002
UZB,0.6107388367729831,0,0.8561847118556587,0.48897451620954724,4790.023481140557
CPV,0.5256161350844275,0,0.8255081631696355,0.4503747660846876,1224.675183272062
MEA,0.507756615969614,1.2026077799668409,0.8923623395238898,0.8675755784867816,5367.059615042807
GRC,0.7389395872420261,1.4108727297848298,0.6970046391839195,0.9489389854035918,4590.0
BEL,0.7338161350844277,1.5428280383217408,0.9994875127970657,1.092043895401078,9610.0
WBG,0.6864031944304635,1.6135142075650022,0.7830419496747578,1.0276531172234078,-759.3358302768283
ECS,0.692023661274554,1.3918545920844372,1.0058213184332219,1.029899857264071,3907.42715847496
ARB,0.49629443848282906,1.181236731697845,0.8959020815556962,0.8578110839121234,1366.9715815879
AGO,0.22793621013133247,0,0.6714488502279516,0.2997950201197614,1708.642242461964
OSS,0.43588759286973233,1.4815312493507649,0.9129791437033077,0.943465995307935,3217.1482200068567
SLB,0.5136870544090062,1.0408528581836758,0.7372200685073858,0.7639199937000226,150.61367857121365
STP,0.5410915572232647,1.4014552901666817,0.7212884820561769,0.8879451098153744,4910.974102642071
BTN,0.28316923076923084,1.3666183453669096,0.477445904318995,0.7090778268183785,4210.414581364665
COM,0.37521838649155687,1.3151957309454956,0.7150207143624814,0.8018116105998446,-2146.0808277618385
BEN,0.32966041275797375,0.9274740830870595,0.373956950232303,0.5436971486924455,250.0
PNG,0.4060532833020646,1.0770138570199106,0.7502850816701029,0.7444507406640261,630.0
UGA,0.3742367729831138,0.8844694887435922,0.6883629454997116,0.6490230690754726,2574.600122501136
LSO,0.4222120075046908,0.8925891432447403,0.8180023222532713,0.7109344910009008,340.0
MNG,0.48996547842401533,1.4757684465548908,0.5780431357543271,0.8479256869110777,6846.1494084085125
KSV,0.2761363518301474,1.4374347862501684,1.068818935319908,0.9274633578000746,8174.3295649727825
COG,0.47098311444652924,1.0413277424379086,0.9624139487016222,0.8249082685286866,480.0
TGO,0.4032559099437153,0.9602947623096,0.7587245761304313,0.7074250827945822,330.0
CHE,0.7721125703564724,0,0.734268792136988,0.5021271208311535,1321.4402403629374
MNP,0.5096691475227879,1.4304741211174745,0.9072163331694074,0.94911986726989,-3861.4906984565537
LBR,0.30567166979362154,0.999761324926342,0.5824527557052382,0.6292952501417339,470.0
PHL,0.566,1.0377378089183713,0.8664748744665893,0.8234042277949869,500.0
MNE,0.7302776735459661,1.2858686761460134,0.526232227644098,0.8474595257786925,13432.887868233618
KOR,0.6150168855534708,1.2164921572818619,0.6474809173965757,0.8263299867439694,1250.0
PRI,0.7462131332082553,1.36500841932487,0.24115384645389118,0.7841251329956722,2980.0
FRO,0.7843902439024386,1.4406683331445185,0.8124620537810079,1.012506876942655,2178.9766574240903
DZA,0.4718082551594753,1.2141419089625787,0.7246077557461912,0.8035193066227483,1350.0
SYR,0.6101906191369616,1.1695104041392175,0.8506147849656953,0.8767719360806248,1170.0
CUB,0.7430127579737339,1.2540594996499208,0.769095839721385,0.9220560324483466,1790.0
MMR,0.4483583489681046,0,0.7830825335822087,0.4104802941834378,5025.335362624602
SVN,0.7031144465290801,1.5992538692383222,0.7851142698375322,1.0291608618683115,-1331.6166841176787
PRY,0.6392270168855538,1.110497946648879,0.823780039940481,0.8578350011583046,-1368.311693275451
SDN,0.4469088180112571,1.019738458687573,0.6081899231200775,0.6916123999396359,420.0
FRA,0.747729831144466,1.5241202227040402,0.5029191129225309,0.9249230555903457,8810.0
BFA,0.292919699812383,0.9012293433357397,0.5708503664913671,0.5883331365464967,200.0
CMR,0.38905290806754306,1.043398792541054,0.8546426020955247,0.7623647675680405,500.0
GUM,0.6734690431519708,1.4236894656293997,0.6438397361400885,0.9136660816404863,8484.270467030161
TJK,0.5670431519699816,0,0.5701031973989727,0.37904878312298473,5553.565982305271
ISR,0.7416510318949339,1.370672335355004,0.9973398835925631,1.0365544169475003,3910.0
FIN,0.7368780487804877,1.492093788489849,0.8676833881506856,1.032218408473674,7910.0
COL,0.6049073170731707,1.130300373395911,0.8548638082536877,0.8633571662409232,830.0
MNA,0.49632346756374,1.151454152265224,0.8536417044891098,0.833806441439358,6160.4925072958085
SSA,0.3458424949173046,1.035038384521786,0.7415385391010701,0.707473139513387,483.344085272031
