Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,NY.GNP.PCAP.CD
MDA,1.3313730987458228,2.3277953128617286,4.740042270699099,0.1648998272709363,-2.731918781647095,-2.3134147441775763,3.0496116467528025,0.800278737743795,0.7191103533195835,-5.060533912138554,-1.3149923486468573,5.260866898175147,-3.8845821896487602,-0.35064571422225027,4.6332989632458,0.7709607445136204,-0.3977226627254217,-0.5960456218522892,0.7233147648533975,-0.4589076273467666,-1.2833618768535215,5.430264894842205,-1.4624647753054458,0.49895275798733285,2486.766125599923
GNQ,-0.19754753700805894,-10.411926676173389,-1.628935918801027,-0.08907832257639102,-7.250591661941511,0.5839528610535287,-1.0622810587590834,0.1791629154733484,33.94192543532287,-12.558411674813957,0.05254366514046378,-3.554748247770384,-3.5657291054832263,-2.6810111342563583,-5.617011041637524,0.39162694245046115,1.7110970169281103,-1.2629911878421527,0.5569650931231355,2.403097626403409,0.3910289344271314,-1.4820400307690542,0.7556353396569845,-0.8455161462984058,2742.3332131653133
TMP,1.122593393607283,4.910018614673569,4.901157802878387,0.8340523631326768,-8.173370021597751,1.2974967619368296,-3.921267173734979,0.7803787551291788,2.5932214488830274,-7.8709362037433035,-0.08748251923202632,0.029488015953652136,1.376614895482723,3.6451035302621966,1.7309826254101468,-5.711851081439843,-0.42940187211714065,0.0769111858561124,2.3878058310833135,0.4466544263680716,-4.035150600402562,-0.8177615948403065,1.8642998883443431,2.1462094771389295,3222.8936781213492
TUN,0.2814046776831446,-4.343374992467787,-14.69537272958517,0.026302908051386128,-7.668250023720954,-0.007574646448367611,-1.1510957200562038,-2.3356479786116613,-42.850878618917555,-2.0728619093560567,-0.6865887988838536,-0.1032949223396436,0.13417013997942195,-1.8590155226381768,-0.30996797497416145,3.2167621045724095,-0.9610341704062746,-1.7505122338901313,-0.09307802434654544,0.13466372449888758,-0.838271239918409,-1.2261996507309956,-0.8104544684619671,0.05778014624646302,610.0
YEM,-2.866770690915983,-1.6344694699432847,5.363973179377172,0.43678244151497825,-16.249892479102737,-2.9834422832660863,-6.369611503577429,-6.556336015715248,-45.147615050655496,5.028179106578013,1.5385800343886589,-0.9188265293465,-3.176951908652664,-3.6629799423300575,0.7004519524700864,3.369891988753462,1.0352693033195008,-0.976943099369745,-2.218984362279056,1.4166208542652499,-0.27115752022902584,-0.4568094017026232,-0.8260620532206207,0.9060583930586955,-674.5783634114396
BDI,2.832809355556383,-0.35643142352013624,-11.668949370558625,-0.7183096295041009,-35.022723861724344,1.6612003901787737,1.7888955980710266,0.26806098262678024,-41.02740851338045,0.6861069032440048,0.6096281330733241,0.27038525545755143,-9.920152358656514,-7.298224443728396,-4.63217350526156,5.148286134611966,0.5082653486081951,-3.229193685656814,-1.7810382702519214,0.3893998239274247,-0.8354294953602986,-0.780042984273575,1.5149508163058796,0.24048037805708508,100.0
CUW,-0.789978783560813,-2.5155283908293327,-4.862251327719612,-0.024242073051667725,-2.4949959143013167,0.7657878894129808,-5.5497086480994815,5.9347795044948795,-20.70517309186723,-5.078702747264789,0.20435486133532507,1.1676852392732573,-5.602980259960298,-3.1384065390019327,5.177586491526982,-1.9495528997573852,0.34363952039600976,-3.2043429106294408,-0.9762037072184293,-0.26416315895561715,0.39800084973437155,1.0176566680743835,1.2437802098000865,-0.776591410415598,2592.7989427672874
CRI,1.15044953873498,-12.847076176447102,-10.316787851699749,0.26818642255703723,13.738459378289438,-3.937056027100172,-4.837518932083125,-3.749541276784449,-41.477661357922344,-1.8601086063305028,0.2538969056750806,-2.4182653706559005,-2.9786960550164423,-4.378037718714692,1.6111112126422995,-1.0065338803882249,-0.8204430627034505,-1.6465677187222343,-0.9608946185316379,-1.143536440548405,-1.0774601631849134,-0.7892210825312873,-0.8106891184419076,-0.7220870834037819,880.0
WSM,-4.673043099092867,11.13814295020586,7.925967526039216,-0.07950094611863497,-1.191812834241186,3.8957476869162355,-1.9253786529894872,-4.085405996925866,-35.47540985378384,-0.5807669214938128,-1.130893110272918,4.51747152937173,-1.728389306956985,-6.372344420538978,-1.125884243703699,2.5004525153730133,-0.9578433418276989,-3.415748129562442,0.6638957015230869,1.3117270871039337,-1.0336096825065217,-0.7847858085618306,1.595581873842218,0.7259715176421934,-284.85863547222834
NPL,-1.2989173406058754,-7.800018392471851,-7.8598042053214705,-0.820655153301298,-28.448215449384037,-1.6334423938726146,-5.311893753334432,-5.350308862622953,-46.93853697679698,-0.1419823258921766,0.4587625362118391,-4.068161444414757,-11.110727110258518,-4.545267425861671,0.19846160372569388,-2.569878983592233,-0.7715409242729875,1.5849395913571258,0.3494668937253733,-0.27858902884908254,-0.11156858174561557,-0.33798375083744525,-0.8162447496958717,-0.9886897089587382,100.0
