Country,x1,x2,x3,x4,x5,NY.GNP.PCAP.CD
MDA,-9.282456722224087,-8.574116433961363,-24.069535932784817,4.378948412488822,4.579921681091223,15074.93713304917
GNQ,-24.89567536964992,3.953801462059254,-6.336776818307577,-27.60796731663683,-29.47307914241839,290.0
TMP,-8.366152254943598,-4.292038311380161,8.82072464060417,8.937956157874977,-0.38460654693173335,7094.445921841252
TUN,46.2115650654092,-1.809747348375235,-7.318001069302717,4.490353540293151,8.621335544722584,1430.0
YEM,51.338580455964404,4.154245104607578,-15.852700418151777,17.893754913417393,12.54801218396236,7415.1971995498825
BDI,36.113589388405806,-29.898496537522938,52.255884733327925,-32.62008174041662,-25.681928680108623,210.0
CUW,-18.908434013091412,2.5902342933805658,-1.4307304431706576,8.090273099015258,9.453087644416021,-6214.40551124774
CRI,55.37679592386276,-14.714061519075058,-14.810035775979264,11.560034550898996,5.578260765710228,2320.0
WSM,44.85539325320375,-7.793196034452758,-1.5579731161971502,4.741660808077121,2.384964486205937,-1689.1852175872336
NPL,52.08203034390781,-20.298206158832887,14.19162558612379,-11.699292311367444,-12.788905365135301,210.0
EAP,-244.46503118073318,-2.9296098831518638,-4.574984366791054,-5.216249818306897,-18.415807473566336,425.16077172775596
ERI,-1.209231309224977,-6.267237169653862,-0.3672204587342857,-25.51515371420044,-8.861622219523074,-2115.072839670527
QAT,0.08667212038191391,15.23179592408457,-3.0043944643023925,2.7079339082128455,-9.429000989492307,4216.149237290905
LDC,-30.439497831390817,-40.076160214891324,58.16658572178227,-26.20009481015224,13.792026269588765,309.186321902332
UZB,0.2412967600729419,-6.204830152193324,-7.862838116473396,-10.19050594623476,-0.15405105872043068,4939.675231870595
CPV,47.00585692988118,2.0415192657528833,-8.784013014544783,-25.834459342799185,-19.111813583929077,890.0
MEA,3.415389753858993,4.28971162056715,17.480478882336698,20.656078926037505,12.93496016961251,9567.841345774457
GRC,-4.065505616297327,-10.956138220309716,-20.561210144533863,6.474062649912421,14.733168920969618,9000.0
BEL,26.573874442835585,4.081498458019085,-25.532548393015745,13.730733546697856,22.07286353415655,19400.0
WBG,-16.36293622299527,12.425775517581734,-5.89398248211566,8.861567361190655,17.666139443245395,-8984.802206977987
ECS,-12.415042110592532,72.0404507205148,-18.472143509548644,2.3153685194354865,4.274164904131099,9711.17499619392
ARB,-19.85004712021497,-18.236191583601894,22.195620872584634,19.386511496793815,9.38957699448957,2072.72429138147
AGO,57.75243009385909,-38.55935463847955,1.63514863031379,-8.649058508436932,4.035086532992693,550.0
OSS,-19.946878064395623,-9.122096459071656,18.110828912679196,3.6376416926511563,-4.929002000345047,1492.48547031734
SLB,51.87463419453398,-23.455802662927073,9.50273725398337,0.7255470173660173,7.754530068239021,9425.884047935819
STP,41.35505873050753,-0.08639262170088641,-7.109403088038438,13.260455032473072,12.56069277144069,-4437.464578521947
BTN,71.29156766217402,0.22633932376990876,0.9355454118761681,-7.5229910907683895,-7.7828888144635,580.0
COM,56.61019529410942,-12.42669904505298,-2.7753714823654265,10.385951114335304,21.25586102031431,560.0
BEN,51.77615605558208,-26.28114787571318,49.96498678480716,-2.243053242751969,-14.548159076913203,360.0
PNG,45.88718149958772,-24.392178635180642,24.245992835823763,-5.015776489917296,-6.482972430110864,820.0
UGA,26.02246904682499,-26.54954666448706,15.723136175284482,-8.096829218539618,-8.022019953767591,320.0
LSO,48.02036619992149,6.1999593156761,1.2260906752651906,-7.541249531908731,-5.334897011606628,550.0
MNG,3.325486957871517,-14.562684879282495,5.638964573719311,11.142583784855447,11.669562867563828,1430.0
KSV,18.27936011801625,10.131996482232452,-13.881528312723107,-0.29867696941294014,4.785327463112275,13319.989063829398
COG,36.984559854315876,-3.816587892869464,-17.904361631191332,9.681616643021728,0.2284343822028312,920.0
TGO,51.19880672225277,-28.748799167602225,28.356204836514994,-9.161857737930305,-9.896819076954579,400.0
CHE,-15.917681501582408,5.790921424301339,-7.993215892969084,0.3175020319221486,-1.4636221824376,36900.0
MNP,-12.620633350014483,-2.949574239133971,3.476584033735474,-15.845751053036345,-11.90626757778307,4789.5001312175555
LBR,50.70889332029048,9.785429009417,-4.298956969973367,-2.3421452797100546,5.300777883398103,15061.473142378738
PHL,7.657583893986971,-7.926512872804927,-30.843090880766923,1.5180457933452591,4.992776834149469,720.0
MNE,71.20795042628716,13.683353144469075,-13.66814573642142,2.6023148763856527,14.51208497195813,22284.659292785484
KOR,-9.355314144060268,99.49002641368348,28.7673400005684,61.207195215342075,-24.60751020924008,6480.0
PRI,15.919479205748186,3.6589258921438996,-16.816294239320243,11.895377680289817,15.000571292834119,6150.0
FRO,0.4202558430379441,-6.714583137915353,13.90290803352861,0.08534062869399033,-4.45884590248709,6275.347906485265
DZA,23.349941944907677,-13.766649395239112,-1.420320035006097,18.818418477704125,9.925204330160927,2360.0
SYR,45.33646196138922,-4.166756335809127,-9.71574812450357,10.397753805687966,16.330567482131045,910.0
CUB,0.7260091283405451,-20.850326286397365,-17.453754278050337,-2.1677265668890957,4.619878807062825,2660.0
MMR,48.71184247484647,-15.185370452329476,8.626375164161093,9.898275808231844,4.385018073425805,5365.898509564864
SVN,12.134058907266546,-11.541656241941586,-4.120222713198523,6.6321337885613305,4.9627355606856955,5742.142525985306
PRY,50.079311884062285,-11.639301573692356,-5.695141153254028,-6.069374857357319,-31.276729059866305,-4205.493725366156
SDN,22.859956566104728,-34.440388520984925,-17.032087668013222,10.547981473718304,9.868087310711026,530.0
