Country,x1,x2,x3,NY.GNP.PCAP.CD
MDA,-3.2875602473597234,2.197100476763409,6.198467681377227,1972.0573361357751
GNQ,-5.18435961443742,-5.502337958428465,-5.022288638137945,1217.0088635045245
TMP,-6.7471876543866856,14.746834673402455,-10.831509172481818,2139.545268783849
TUN,27.119316258452944,8.002617850620766,20.433043771800918,270.0
YEM,17.552185748747604,-9.962346694297596,-1.095814586293961,248.29733945880062
BDI,56.43603016388358,5.834859732665012,-12.15991951398225,70.0
CUW,-5.962808892974246,4.015970586171707,2.8474958237951626,1225.5103682265176
CRI,34.775968549292585,6.864489232173372,14.080429921072007,520.0
WSM,52.61962763885664,-3.601130047416721,5.452443680338769,707.9325059762632
NPL,67.6375682557714,23.714462025616726,-23.592711033843475,70.0
EAP,-81.96564240101294,1.525192100949628,1.1260610757259546,121.22747618861601
ERI,-20.00793976843377,4.0850782615193575,3.8546480771490916,2065.9555634291037
QAT,-7.960329027669642,-17.630609989554216,7.210132009038387,-346.84708599787814
LDC,-26.417314942423427,-0.7016518513778047,-29.247159380168014,1177.2533747531318
UZB,13.75061740613776,-3.6375642454228734,-4.185141940717841,567.2009355672576
CPV,8.763422790426679,11.889696190971781,-1.8288652315113205,-149.93405249463171
MEA,25.421511652513956,5.609292863890477,-31.15683868575514,1671.5700602166994
GRC,8.635081922117452,16.606817491503318,7.443475582235761,1500.0
BEL,-1.978084506206533,-0.8394083825538332,10.45987388079784,2800.0
WBG,-25.30993092886837,-8.70582271806795,-1.3479267966338946,2272.8583551053957
ECS,5.643157597317873,-58.587247942493335,30.642453998851074,1349.9804307423599
ARB,-17.32298834282972,2.642367312385697,-25.97397940640113,282.439403008704
AGO,24.205597773088563,3.540981094276102,-18.320269450332773,-451.2101492683346
OSS,29.706751637199073,4.626831528430126,-1.978341547158673,-1115.2799873059794
SLB,1.0428516166247788,9.259295553688656,-21.736259923228477,1737.0754113167816
STP,3.405690359994777,-11.435021914283352,-4.114972011866469,689.5876697474464
BTN,25.996969357034306,21.335034643251994,-52.00431571555419,592.3834815857424
COM,75.02340193100473,-8.441378060246995,-12.305785492123254,1026.433822794209
BEN,53.55111064065997,18.617320590940952,3.3820818079816033,120.0
PNG,32.485965215216225,7.723664431198549,-20.51661441057484,260.0
UGA,53.61185950646615,14.551548283088183,-17.726262984095957,490.86776078012326
LSO,50.3839665176545,13.693264885420628,9.424992773807322,90.0
MNG,-8.757203918246857,3.5349967281936503,-12.134414818337728,396.29139008267293
KSV,35.34757386149804,-7.763235394617023,9.60467549228143,-196.16427513699819
COG,37.220404590203245,6.209815623599754,3.052492822341984,220.0
TGO,52.37429757021343,10.502975853058153,0.28270336533649343,130.0
CHE,17.79379651163261,5.767663394170956,15.703482732969377,2236.2036915886415
MNP,-25.628949778137887,-11.80199677250533,-5.964927572026756,716.7006750587998
LBR,44.9365967835814,4.009321472384497,-26.160974320975388,250.0
PHL,23.037034945721484,26.817672016731965,-8.147007806128515,220.0
MNE,82.13829914845269,3.245781050988875,4.616619564209836,-117.44347958485378
KOR,7.193007305782356,-8.12146163198012,11.919998397397416,260.0
PRI,-8.576509897544794,-5.883313525317153,-3.345054922245118,1750.0
FRO,17.008902683965093,-1.7333077174919795,-4.153449570551182,2027.993863873182
DZA,38.21739100674819,1.0978048262055218,2.078799269540808,330.0
SYR,50.35109840548472,9.307439863953295,4.284029680786462,360.0
CUB,18.713695484712233,11.592714697288248,0.37594372934684017,1127.0867328876825
MMR,59.49068969557004,17.34946546519863,1.313974529914949,488.78690820232055
SVN,17.656779388332897,17.379583471140077,1.9761246678664055,1387.630149763983
PRY,38.195026234571074,6.84205220305639,-1.118841265635635,349.0291072530986
SDN,39.44101899053462,20.62466333778068,7.12015477889534,150.0
FRA,-5.432283085317974,-9.909712395445732,-0.4084994286264543,3010.0
BFA,52.30131919167035,23.80316453620036,10.764964323867417,90.0
CMR,48.825515525644505,23.124784848298532,15.061653021559017,160.0
GUM,2.457098124355741,4.455332405571676,10.029557649622834,1217.642705831347
TJK,-14.65401207760276,7.976283067494651,13.472287699326694,510.28594223546907
ISR,-25.06209393809981,-0.3299083887931874,-8.506019716100264,1750.0
FIN,-19.989410253663173,8.880896259535849,0.2531875618454291,2470.0
COL,2.261549923126284,9.778523330039887,8.08110317117661,320.0
MNA,-23.76252923222691,17.30776286670685,-36.720984641893736,708.5744045899023
SSA,-95.87640086139834,12.24006857355405,-6.478427733659992,207.57118734619
PRT,0.9757659340326786,20.68893558162038,-11.893281031164872,950.0
TCD,70.5919109055439,10.015116855142908,-0.7689930480050342,140.0
NAC,9.962309132068428,-34.585603881729185,3.0852518438497643,5225.08960683284
ARG,-14.599911653029901,24.63932274036908,30.25476533975737,1320.0
WLD,-107.49939160730142,-153.1378813226017,22.043492683907758,802.2158394558211
PRK,11.952191568516682,4.011979393267237,-4.130818961856661,2107.5604015996223
EAS,-21.595531014293783,-12.473459667820256,-2.9287222063661775,300.469398532281
NIC,39.80505784663671,33.68444691575049,-25.139621526428442,310.0
GRL,-8.796603355796144,-7.196664451670016,-7.3175966494068545,1504.8476051762339
LMC,-398.1316883595595,25.506699913049566,-2.7238819441290594,143.585326332009
KWT,-3.222630856159174,6.809434734543572,-9.82239251018288,3310.0
MHL,-9.35238450827834,-3.285207214267133,-1.2803171383838394,24.626085971211523
TUV,-32.60991717174545,2.892429994142756,-0.16027013952109892,1073.2597762324176
NZL,-6.157539407710203,17.10101491591263,24.971384703380807,3499.9394037333923
ATG,9.970585243443939,-4.54695357463235,0.2752299959638935,945.9538995456637
