Country,LEI,GDP,EI,HDI,IQ.CPA.GNDR.XQ
MDA,0.668586491557223,1.2341641064292606,0.8061886885572261,0.9029797621812365,5.0
GNQ,0.47647692307692313,1.6300388975677214,0.8975285800423394,1.001348133562328,2.507795731940556
TMP,0.629914821763603,1.1299253394443731,0.7771387227376307,0.8456596279818689,3.5
TUN,0.7631144465290814,1.3913380040146568,0.890249938964842,1.01490079650286,2.624085199281142
YEM,0.5810574108818015,1.1974204323512367,0.9362023752013895,0.9048934061448093,2.0
BDI,0.45891069418386465,0.8921565158193722,0.9176134252529133,0.7562268784187167,4.0
CUW,0.7186326390747598,0.3184884195359051,0.7868233272528888,0.6079814619545179,3.6755775968618654
CRI,0.8267084427767353,1.4996103641036738,0.9067772995060682,1.0776987021288258,3.749718169136525
WSM,0.7294923076923077,1.363257757264321,0.9889224094593951,1.0272241581386745,3.5
NPL,0.66109981238274,1.0651010832535768,0.9775297352525529,0.9012435436296233,4.0
EAP,0.7413605816068953,1.3832839359098463,1.0267667486482512,1.0504704220549976,3.36363636363636
ERI,0.5610176360225138,1.0184753976317962,1.0349289238298711,0.8714739858280603,3.5
QAT,0.8127001876172616,1.864075238820767,0.9789760336527538,1.218583820030261,3.1303221376116714
LDC,0.5591383009813862,1.1039359230295402,0.7428351821386041,0.8019698020498435,3.2441860465116297
UZB,0.6593654784240154,1.2057773749720757,0.7189283801884155,0.8613570778615022,4.0
CPV,0.7322754221388371,1.3566608316519713,1.0675396463053513,1.0521586333653865,4.5
MEA,0.726873393534003,1.4801768674232025,0.8925241250260405,1.0331914619944154,2.5
GRC,0.8521200750469046,1.702012263918425,0.9187301405080515,1.157620826491127,2.840102029854852
BEL,0.8497560975609754,1.785580449195385,0.9222855553226779,1.185874034026346,3.266133138492293
WBG,0.7329305816135091,1.2944060499077694,0.9344822692871093,0.9872729669361293,2.8297617401485198
ECS,0.7822604466296154,1.6792207354738056,0.999814235044826,1.1537651390494157,4.27777777777778
ARB,0.6923541064870999,1.4506008787333653,0.8439183213325177,0.9956244355176609,2.9
AGO,0.3946795497185738,1.3811185315311172,0.829527255311504,0.8684417788537316,3.5
OSS,0.5507885355084353,1.3934386196770496,0.8674245513501853,0.9372172355118901,3.5
SLB,0.6471639774859292,1.1930545349811312,0.7987554463271025,0.8796579862647209,3.0
STP,0.6285335834896815,1.1744467332752606,0.826635010689885,0.8765384424849423,3.0
BTN,0.6598833020637893,1.2842779837724354,0.8705475498879027,0.9382362785747091,4.0
COM,0.5666232645403385,1.1016118832162198,0.7782010507949142,0.8154787328504909,3.0
BEN,0.5189185741088185,1.1000281359362334,1.0008325244549565,0.8732597448333361,3.5
PNG,0.5691512195121956,1.2107896083457623,0.8245004943197185,0.8681471073925588,2.5
UGA,0.47441013133208304,1.0688402171088751,0.8795727539062493,0.8076077007824025,3.5
LSO,0.34589868667917384,1.1662989562174348,1.009612491268435,0.8406033780550146,4.0
MNG,0.655443527204503,1.3153222662765338,1.0739626312255848,1.0149094749022072,3.5
KSV,0.6907692307692308,1.3511177078179273,0.7920578682729953,0.9446482689533844,3.5
COG,0.5252787992495307,1.333410030160718,1.0571257291870575,0.9719381861991021,3.0
TGO,0.49663939962476616,1.0345098924042129,0.921600597574582,0.8175832965345204,3.0
CHE,0.8807129455909956,1.8719123111636888,0.901841833931918,1.218155696895534,3.745508591402347
MNP,0.7816142826920596,1.729275678791424,0.791555781707554,1.100815247730346,3.977652245545243
LBR,0.529866041275797,0.9637959511594127,0.9176392654733043,0.8037670859695047,2.5
PHL,0.6582048780487801,1.2799637979124774,0.7353554320675533,0.8911747026762703,3.996769707475768
MNE,0.7602574108818015,1.469845182376024,0.9622570961523675,1.0641198964700642,3.4312994715953717
KOR,0.854634146341463,1.6699488671277871,0.8662565456203936,1.1302798530298812,3.898713915137173
PRI,0.8181883677298307,1.6994671892618045,0.9289085642496739,1.1488547070804365,3.7765747632901974
FRO,0.8560600375234525,1.796871254732651,1.0273170145381771,1.2267494355980937,3.9901804354973254
DZA,0.7508315196998121,1.4028111684984235,0.8430440499525796,0.9988955793836051,3.385245882110726
SYR,0.767194371482177,0,0.9157716416107412,0.5609886710309727,3.41315353658437
CUB,0.8297789868667923,1.442956267525732,0.9128623776299102,1.0618658773408114,3.6533051034988673
MMR,0.614115196998123,1.8764690720037547,1.0261678318279766,1.172250700276618,3.8415016735221803
SVN,0.8372607879924955,1.6793814456206169,0.8927411542183115,1.1364611292771414,3.0906521579672805
PRY,0.7277121951219507,1.3481583543569056,0.950729217529297,1.0088665890027178,2.4198313903555535
SDN,0.5698859287054416,1.2110972549422627,0.9092393872361558,0.8967408569612867,2.5
FRA,0.8717448405253275,1.771522106963614,0.9396840640721185,1.1943170038536868,3.590561327044544
BFA,0.49309831144465227,1.0590696550046426,0.7939899117923443,0.7820526260805465,3.5
CMR,0.4414589118198877,1.1751874900110704,0.8287314605712893,0.8151259541340825,3.0
GUM,0.8169365853658539,1.348897481121264,0.9376071381140818,1.0344804015337332,2.711755374337936
TJK,0.6702060037523462,1.1025833150174422,0.8546990369096796,0.875829451893156,4.0
ISR,0.8708067542213891,1.7246287287081323,0.9190991355953516,1.171511539508291,3.3032487992594195
FIN,0.8441651031894937,1.7926747512169077,0.9452305253173023,1.1940234599079012,2.927113911364618
COL,0.7427362101313323,1.4586925061288842,1.005528004964194,1.0689855737414702,3.108269653391952
MNA,0.718301505787946,1.3882759838815575,0.8797662454925419,0.9954479117206818,2.5
SSA,0.482077942798877,1.2218173230385883,0.7300923121234639,0.811329192653643,3.25
