Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,NY.GNP.PCAP.CD
MDA,-15.888800847424266,-14.602080828723135,-0.8882942343859518,0.24844914637438223,1.5759812098508632,3.714841830247531,-11.740698274175573,-0.14641684794749743,-12.892614845693616,-3.2904003346186705,-6.18787135052862,2.310440422129583,0.9823393012457089,-3.4760691562903836,0.4199861831777043,-2.422794662416664,0.6976194469646058,-3.0079053173547807,0.14662514155641038,-0.4360936171390273,0.5945183115317392,308.5273003984439
GNQ,-5.168349045923841,5.709727186811692,2.114152702177133,4.535142824450022,-0.8453069057898956,-2.3494356946232093,1.5324708455601006,-8.725785470679359,-3.896015635963008,-3.851892564356877,-1.1975162940701973,-3.095941072477677,3.966150039569104,-0.6740193661091058,2.60236860189163,3.7515663662650702,-0.7476507089580183,0.26207828810364403,-0.7064214634610151,0.5228668302096072,-2.018589169675548,87.22488422577749
TMP,-5.729256089648194,-11.370538169472924,1.0365765295261475,-0.3860637161659608,0.9213067931585608,-3.8051083524754974,-6.187952566267218,-0.0018660833511153774,-5.307018816596146,-4.967012839325356,3.753314557971013,2.9835133846603865,-1.847272292194839,1.0623706987717634,0.6896751543060554,1.7167423876502002,-2.125714325314239,0.6094665415116581,-1.5682053917236047,1.752853310952436,-1.10402942171979,-212.55786979235813
TUN,-7.422418906861266,-16.591996185854235,-0.333448007157222,-0.692330527186647,-0.49001243602964706,-2.452128697421507,-0.8991844321336847,-6.45035327813895,-2.879712083881145,-1.2603947517129965,3.804132689703219,-0.45509757613289636,-1.280329398829158,-1.8079418468650164,-0.923679150254403,2.649627035849022,-0.6661862281126184,-0.4392829711779578,-0.8951806518178443,0.3761778779356408,2.47635357015589,250.0
YEM,9.231475137407664,5.322463975568642,-0.5526579273772159,-0.4319628477511612,-0.5702577113819972,-6.434317298964827,-5.798592910235998,-5.1988105143801215,1.6508862089705343,3.8258286901875507,-1.788711507654908,0.20966713225398936,-4.585778208910745,0.9693947547584101,-0.06915357656962856,2.5285235995630866,-1.143652477589168,-0.49467574168280565,-0.8550222145898738,-1.2490700286913723,0.9083181446626936,2274.509661890736
BDI,-13.88537091252423,-17.895704844180884,-0.8743486143733123,1.6333388226844194,-0.8810761512857512,1.957036552875233,0.00303693333405608,1.77615496854333,-1.7047081699691156,1.4930238673731098,-1.0926349712139232,-3.576832752652991,1.0338367999814897,0.8190207335096504,1.0890743270354093,2.2876973567125884,-1.1551317606343128,0.04808482919501352,-0.9500141228271133,0.07369589946787959,-1.3601700322856176,50.0
CUW,9.152958796368031,2.369079357575851,1.842165828831578,-4.591953409441374,0.9329012956028617,-0.6880265657710802,3.546223166725321,-4.735447287483493,2.7557877936485284,5.877520719693564,-7.150999914996215,1.3970352424450971,0.8217317152242607,2.8929593958105597,0.47067614176004485,-3.468922330871651,3.5634473833165026,0.7655602694794194,0.6551135574137109,0.3672144286519387,-2.3981373281772016,1382.2204854339914
CRI,-5.7626356412096955,-8.780722146658135,0.25878217060126113,-2.368316341113179,-1.0353980003070284,-5.094059688315302,-1.4597647339200441,-4.574282977274334,0.9656236360437322,0.24408175210438365,0.6224952011760121,-1.684035997967213,-2.5385122190040494,0.05477850330252099,-0.782514491313256,-1.7817973101674043,-0.2677788329636176,-0.2106836551358694,-0.9080192923396475,1.5172401751223379,-2.2815015208079874,470.0
WSM,4.99866332522886,-2.603264016438006,0.22386406008253226,-1.4533460391642596,-0.992061577956513,-0.32677042419459007,-0.21133254353076902,-0.4021010961759449,-1.4961559174946657,1.4056371330423474,-3.65580454001244,2.7880951404981085,3.652129710255031,-0.1564969965014848,-0.9191417479577906,0.6165484475778016,2.837353899899561,0.20423880009848885,-0.9547444566579258,0.24612268915124635,-0.9499221014656279,804.7543891830064
NPL,-6.975210320231165,-17.795500878158744,-0.8717457146360651,-4.616742163923073,-0.4039504159892918,-5.476268925937585,-3.106823881631353,-6.658559725329997,-5.3425096149705515,-1.3506726742232753,-4.195170141862349,4.357712019156381,-4.6441797927325394,-2.8256578760899136,-0.7015183755172538,-2.8520287688510058,-0.551764305005386,-0.4405618567304882,-0.8037401636503492,-0.7522914897571183,-0.8989849026962531,70.0
EAP,-1.9096022969085888,2.7819117651823437,-1.0439273894300363,2.7124355001620137,-0.3600850834731142,3.15313793945236,3.8190798307591693,11.858917634415045,7.499458677942647,5.306023073354282,4.424677886926197,0.6489973862748576,0.30697974810812634,-0.8489932806977191,-0.7825936884609128,-0.5507189394299161,3.5689144511555115,-2.0479675238481785,0.32097910787557427,1.6298847706801258,-3.1826599189258316,108.211160393691
ERI,10.06206858420732,0.7334436948531791,-0.987427585598173,0.4661320797745538,-1.7335827973803968,5.332271450253601,-1.106845373686937,5.773075495115895,1.8201282994249819,-1.0101776886204634,8.859030592420012,2.919838814152978,1.2309819172813934,1.923596931839994,1.0232858601698833,-5.586295114722702,-1.8668556164367414,0.7886016227944365,-0.5966731527374113,-0.6041150746194145,-0.6743736806083802,-863.6880771909175
QAT,-2.1136083301995234,-6.091687498061679,-0.4908068739057645,-0.635056138053415,-0.3260261917993958,-8.406832130697572,9.020719841738575,9.924108128982377,2.180611287820125,-1.0340356706341831,-4.401760150392589,5.0552018610172915,6.986224579156216,-1.324112710262272,-0.8256298815101546,-2.4700276878263105,2.199920814632186,-0.48368654577728515,-0.9020607762480362,0.8238104169637409,0.2420522943540921,1215.2015450649128
LDC,6.879089493912374,6.768864011469282,-0.4470161719300673,8.942165541210047,-1.753300631767706,1.503646720925719,-1.8956990875931672,-6.687545309706466,10.917305371212649,4.055957519169164,2.205945628273142,-2.629510133459506,-1.7936382669371618,-0.7924017163316995,-2.240995586415373,-0.6459565309201989,0.2393920319051981,0.3605633107821463,0.3285494168557589,0.8258173981518852,5.319298959101827,1072.3266515080682
UZB,16.452171259520235,8.32170197443851,-0.12756710899704535,-9.783056941657506,1.7802286621990917,-3.674200292786805,1.9926168806084892,1.7047855475407636,-1.0160301198881234,5.796596190039365,-2.9953286036436193,-0.8227503137609997,6.050817531785771,-3.151775776951131,0.9110980122135709,-1.3824882438093236,2.9837324922002453,-1.9842484594225398,-0.4190162870403722,-0.41330506836086467,3.157477704986314,515.3738003173739
