Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,NY.GNP.PCAP.CD
MDA,-2.856263062158757,-3.0325397574743342,-5.575310739054737,8.551689779561112,-2.6262258338303206,-0.4658259716514864,-47.5959346276318,1.2460099635429236,-13.302546553114217,2.004402006405171,-43.67911429615672,-11.05964707605395,-1.578476466181714,0.6258882743051164,1.7839745440504247,3.6366637818741454,0.34229783008575176,-0.11218911955969602,-7.050506361716845,-4.378130277049479,23.089319864959734,-3.7421601951202077,-1.9293885557634838,-0.6722318066347104,-1.6051734161794253,-2.111442329513641,-0.5735033588526552,0.20588172116985137,-7.62961766920919,1.7222821124502148,-5.775938588865544,-1.8422285855186462,1.943775528158288,-1.200956727040052,2.9251751315027072,-2.098484083280283,-2.4464371463918755,1.5160102871360863,-0.7709030699043806,-2.1137150905268913,-0.4662690787391029,-3.087242044340162,0.5034413945425191,-0.848235079681712,-2.347556215363078,-0.4957615627769404,-0.07136441743245885,-0.9961126754627335,-0.5391479556764961,-0.27104434833222024,0.9653860121704007,0.20971423125784172,1160.0
GNQ,3.3256571741650927,4.67422639593039,-5.535432534307833,-2.257727605360221,38.366453111744455,-3.303966384471943,33.69367122780708,-5.065447412742175,11.703683039646698,-0.31962841355273675,-36.940891716677044,-0.08086470869507845,5.356549493878761,-2.256556389606075,0.9751556368809909,6.50349480015341,0.951270328793926,-4.812210578597144,2.541149647986121,-1.6546984831467428,-5.325967625341785,4.35985123007262,-0.5220533500929168,4.837391602511727,0.7869749714661097,-4.016393534685593,-5.252595214343562,-1.5299805617923303,4.668601651690229,-0.20153962872889036,-2.3879191994798648,-2.7109637991994022,-1.895755661784461,1.9579456626790603,-6.871590194400913,4.638678011229715,2.064844149464906,-2.36008726444581,0.683688649075259,-0.08869267697221173,1.7522172512524257,-0.9066767339894046,0.08427490037469879,2.437242304399838,0.3394442359109031,-1.0611046822988492,1.774955396755966,-0.9402321999363062,-0.3732422192205963,2.0172570235500027,1.1037251215606692,0.9290907390437446,12110.0
TMP,12.52650756420884,-3.074930562530246,-0.0652331157013061,-30.470066049375387,-4.652546238753068,-7.108045460399209,-44.31321389149706,21.02764426512634,20.46617648423493,-4.00245245577828,30.07039244213412,5.545237916400732,3.163270016607127,-3.788008060014844,3.069436768827993,-1.3934631300733846,-2.343108564447707,1.240323186952977,-3.180799305154949,-0.7978099882832158,-37.93061725239289,25.623599208098288,-2.9140935367348986,10.965673365210316,-2.1787326613791316,-6.055417516671936,-1.9035171178902124,0.8039712601058167,-9.738673514498108,-4.001117660144936,3.8556185216918863,-0.44633295991157884,-0.9086623744490396,1.4817546149074696,2.4835962024009266,2.4295745479435102,-2.6368020806086245,1.6112300504628376,2.4604945483290703,0.9836470294952886,-1.0673396096330616,0.6428919294881256,1.4809843102593954,0.03423028989872645,-0.8721465702466928,-0.5140082377407881,0.26582533214775605,-0.458651856876655,-0.5784907956369697,-0.9155418523486054,-0.8542875594213146,1.6722833308080909,1860.0
TUN,-1.7137844553144024,-2.5379360286373323,-5.4140194243025155,39.08542914834926,5.97629645878478,-3.4688832286588505,-22.832055298560554,-10.560935813463068,-9.067673460542295,2.4441093644011076,-29.84866057449843,-8.092389515915304,-3.6085445675064234,-0.20205980555014402,4.550186174135796,-7.774159302835565,-5.486489269964119,-3.1091678761713024,-7.525377207243796,-3.395983644399089,4.152681910391799,4.352174190323536,-1.7853567161963169,-0.05996776370087839,0.13366155052305567,-2.540735260738092,-0.43039086471128996,-0.09865705390181545,2.00098377278219,-0.9742637149593545,-0.9807378384423444,-1.7930480292281794,2.7448719984405807,-1.0240010548423635,3.435995262938037,-2.1118015307145126,-2.337660120683563,-0.3638763789852845,-2.7644316620200624,-3.221786697203859,-0.31194228329448453,-1.3306259651196226,0.758976837289286,-3.63632639571096,-3.0647267454157197,-0.49325406519047815,-0.02094697127538181,0.5166106497980417,-0.33889148891126114,-0.6105951363214478,0.3692740972418727,-0.2518998172242493,3560.0
YEM,5.3237387079397855,-1.7819699283318455,-10.377359416800193,-20.062140473920767,-6.705439672192644,-4.005481476010414,-29.34340054010794,-3.5604602335894393,-12.095818063975882,-0.7574322633889166,-48.81450777680247,1.1984956055867078,2.1834029785835267,-0.3075672324705354,0.6730455637628212,-3.0461379891391647,-5.978568545957887,-3.622691692487215,-5.295020200116064,0.37083462357433494,-7.014802832697715,-13.357460694925976,-3.1136144937253167,-0.2053738075342117,-0.08789023950718705,-4.92848056051015,-1.00756285410755,-0.3226013450510877,-5.904605985764944,-1.6786600436878576,-2.185246821574794,-2.2405317488681114,2.0688705778873153,-0.21860096007051413,-2.022659117448261,-2.135188851450736,-3.8404319097351323,-0.4908859721602953,-1.6307518472513327,-0.9768894283634375,-1.146230930794307,1.7023761483412811,-0.4712791279106183,-3.0575850579430495,-1.7357010285242156,-0.4277708346693274,1.9856548131113527,0.6775418947277851,-0.41709784487898777,1.1456159527403917,-0.31835822061261765,-0.6019985473837287,930.0
BDI,1.985416895986863,-2.9465808916539347,-3.397016323845885,-43.99127278198894,10.01619266582092,-2.5335783324816163,22.577197217914794,-12.459575511073773,-8.858027074458168,-3.5823584312972225,-20.485534392659098,1.3747773735440927,-1.1339917970113154,-3.865235758917008,2.6327628568248147,17.737062707816797,-4.835625302128775,3.089162826378337,-8.996264715704962,0.8402782976885069,-19.259722130355605,4.616688082135759,-0.34034052898874667,-0.5438584269255899,-2.823879782245336,-6.50210856153607,-2.2121400810470253,-0.08972883717521146,-4.603865727456637,-3.708174617392678,-1.4414712207007412,2.029447547799788,0.1249025418687083,-1.1604611709709993,-8.889644236160242,-5.055649845015729,-0.7432679696123643,-1.6747462323989866,2.466142761995693,3.1174191128039848,-0.9085879120553169,2.5747531244564072,-2.423721463578747,8.260939264848666,1.0822180235184422,-0.20318950317610646,-1.3841763142236851,-1.2024405850987596,-0.5974177207447234,0.24593263566368706,-0.9971893445606175,-0.38731102978261045,160.0
CUW,0.4675205132699398,0.9949035767810923,3.646945404181979,-8.226287537394658,-8.48636624672788,3.3402799386027375,-11.874644631528014,8.931945770274151,-12.85550195465251,0.4388395804149958,11.396975669700845,1.3989774645983029,-4.106265180281831,-0.4062132285973873,-0.03748866312783683,-2.87479034323929,-1.292755462771758,1.189400282323851,-1.8575334526645937,-4.163949000126025,-0.18164564802177036,15.831952820737296,-1.9209529317950842,-2.3541556016700667,-1.4020469602469123,4.0071114476543475,-0.8311901056880086,-1.7200522975243295,-2.039604363529634,-3.145752581316438,-9.176793585394723,-0.0439906211631762,1.9791420134630535,-3.0676737312889406,-6.158288312256444,1.53958825147486,1.4947881747922556,-1.0308121382933688,-0.7557092056058521,2.819155930403937,-0.3294848591760598,-1.7242720748017728,-0.9559316978849808,-0.8226404220002318,-2.0493417842712525,0.27285703796961436,0.4449985967694834,0.6199420389083917,1.1013313595999434,-0.7984432740962062,0.982291740870226,0.21147930545393784,43494.66159612549
CRI,-0.5296460618189115,-2.614450000308363,6.601159999995763,23.50368309966497,-12.01350740053888,-4.6832106827083875,-2.3661422705606125,-9.710847337250426,-14.742790666573164,2.632036863116523,-51.51215456720973,-0.7026833719141186,2.2200345495268867,-0.46932579418534687,2.308827538754345,-0.5685385835906793,-6.197759750446907,2.803818161819501,-3.340846813384141,-0.7329549523940029,4.95846970145615,13.870421889265888,-0.06768729232641614,-0.4129782318668293,1.2594761718108378,-1.7164535797649603,1.1176807938470559,0.13253230632444513,-2.4731645695601907,-0.7401752559074378,-1.3515831564621625,2.0963037359331755,-0.8943202850221739,-1.0651875387897072,-0.031558844570191716,-1.4137328460884888,-0.21278601901724314,-1.1532834452388263,-0.4335388912850711,-2.4211799584293976,-0.6989327865560084,0.6007280386537195,0.2770311149897877,0.0893052750189468,-1.6947818953046865,-0.46934440055732235,0.1098295614298877,-1.3811583881892846,-0.2179811345402429,-0.8023559895913468,0.2924055219948807,0.08071205032338541,5640.0
WSM,0.01392646708320966,-3.1633389869581774,-2.1003815505552823,3.9909142658598817,-8.605679501505037,-0.36461855738016236,-19.8862635514629,1.248702504660383,-12.939521595936327,-0.9204567141846207,-40.474186109199195,-1.1971731925874227,-6.518658087141987,2.314954905535945,-1.061290280864474,-9.038011676346207,-5.030328278668415,-9.245149202110131,-8.352086840492458,-4.600260096342215,21.378974159780697,-6.055186594560214,-1.220009560370784,-0.33523582228568616,-0.993823440609165,-4.9011476498588,0.023409111771534596,1.168505136922272,1.239340679802099,1.300511558639754,-4.111294270671596,-2.4281699863618105,0.9971405751847999,-1.2290297504593197,-2.6269234155589163,-1.083578685964665,-3.0264494128578225,-0.9796620932211079,-0.06308519904766915,-2.724187328175824,0.7392467392579422,-2.1419440259805187,-0.8452465058862917,-1.1733790581223493,0.8000989295257792,-1.3359847689663424,-0.6755638073087129,-0.842398382783893,-0.3972525978233885,-0.6445592235413158,-0.18509379329185857,0.6174967163143644,2850.0
NPL,2.2357432397781514,-4.519917101415629,-6.961589055154807,-9.170777548520277,22.547653981336502,-4.647467661196014,25.755180776470997,-18.441901249184852,-14.694717505113225,0.197465851311466,-26.90922753387161,-3.919817007606501,6.17937766976097,-3.895439744353318,-0.33996476638525674,-5.155420501012099,-3.1312883345258204,2.229155890257318,-5.667513252604721,-1.3301533764548839,2.9892961860930667,-7.758492712008176,-2.2454085445409713,-0.0006655404971361301,1.526013914661809,-5.383126319689538,0.806885003972178,1.8096480744834076,-5.875471717290816,1.7766205658655498,-2.2073040374855437,-0.5627922709941635,0.11901912955550376,-0.6661569344830847,-1.1395760971154552,-2.3985562678391004,-0.5935925324518125,-1.9432407192791352,-3.437417819249846,0.05280005230679574,-0.31561062967708975,-3.18436744809212,-1.110675280024605,-3.219190347139129,-1.2028699975479062,-0.6931383930907399,-0.6700448932610351,-0.9353597703839653,-0.5887823883138962,-0.9252803182571635,-0.7526859589090963,-0.5312867098393027,380.0
