Country,x1,x2,x3,x4,x5,x6,NY.GNP.PCAP.CD
MDA,46.6389732205781,-5.462796109732709,12.640677977290762,-42.29765011491306,2.1556716311299557,30.34205424787449,2470.0
GNQ,15.03945276223298,-1.5252634005060866,-11.795651181006484,30.386525302768757,8.212261825480617,-19.118131867047296,11890.0
TMP,8.852888342770914,-21.956271593928555,-6.975663309006025,-35.75256275987308,-7.349688413111402,-14.848136337103451,3680.0
TUN,36.587041226161034,-11.922380524102408,14.354942626591727,-12.874302640851266,0.5879533365147374,5.478520461592426,4200.0
YEM,60.55119604377942,-9.608795708687142,-51.565475853908566,-12.227102629689687,2.953772315962724,-4.872203491730878,1300.0
BDI,39.96773686190703,-3.854331872530141,-4.494620842072137,30.2871343626832,2.549572946212919,-9.165366213886061,250.0
CUW,11.712651176464423,-1.9101402153903804,27.999392229713195,8.99083983049075,0.896436398721016,-0.015063582046355753,9324.346971107907
CRI,37.17921848988887,-13.385410198197357,24.33682686217587,-6.527676183610247,-2.2610526871665027,4.290876307715751,9780.0
WSM,57.59490466417416,-2.4905212122205462,-7.767412412507047,-11.507197256179253,-3.005718260494791,38.632323342246515,3960.0
NPL,39.03559863703907,-2.966846694211523,-8.803170946978867,41.385437614932606,3.9819152695544546,2.4042181624139154,730.0
EAP,-201.06961393310684,24.926604632339814,7.032921058148112,18.662649207978582,13.436937928721521,-13.085176137739335,5686.732683116321
ERI,68.43435784874394,4.660880731961134,-18.016871350204024,1.9677089400461987,-5.561184437609755,-51.472290492303166,34313.10466711339
QAT,-23.93947029225644,-2.912398470922889,17.591805894786198,16.003096519903465,17.428493908967823,-10.863702583708513,89210.0
LDC,-47.121695199329665,-8.24467390408047,-39.01023128915813,4.695021856417038,-45.065402809508676,1.1027199121435631,812.063408286646
UZB,43.761015195318436,23.3482534858334,7.125061076082924,0.09386129362141694,7.315442183158187,-7.275421310510194,1940.0
CPV,33.715736254395395,-4.178086979713838,33.74612477347403,33.45008144185037,-0.4964763264398533,26.455782315948316,3530.0
MEA,-4.47420340756436,11.49323816244768,-4.016684352581305,-26.213975031483372,-6.2917989027620145,-6.525603156761838,8697.75521068087
GRC,-26.22647450668087,-38.304614188169296,8.014784431208746,-2.2042861240239406,-5.795132077828899,2.1775636947497325,22680.0
BEL,-16.134214074348172,-9.783700388566375,49.85970400853784,-9.366225941693557,-8.414275660434692,-7.392845413534675,47240.0
WBG,-17.739221706238705,-37.968426135670704,2.9339426197513254,-24.130215745587446,-0.9627266450539802,8.768760051241477,3060.0
ECS,-5.633231744505531,68.98440154074068,9.123612757153198,8.544575863755737,-14.85862275602532,25.837513510145993,25472.8588938577
ARB,-8.658977250076648,-0.6466723601505897,-31.413265037299933,-1.4433320178767226,-3.452230008763087,-10.90353663191221,7429.4476944733215
AGO,45.92953812979569,-1.7872548805496125,-26.02691700748691,6.660320631131818,-0.6264395223372199,-32.790307910130096,15667.910942036495
OSS,1.813069506842646,-9.032501927737712,-29.646753281600457,-4.365647560784789,2.5708658501590684,3.3833297834211993,4659.55940096845
SLB,59.2229122825313,18.516887010839707,-7.7191302940591395,-1.5059119845531332,-0.5297775336877204,-18.229111921717408,1830.0
STP,53.03697055824457,-5.140980460220449,3.840274817320121,-4.613543910037958,-4.470114629912553,-3.933075541955624,1540.0
BTN,43.06124426931227,0.5369895496412895,-13.6070378572194,-0.626235563490926,3.942507168765644,25.688265074287212,2340.0
COM,77.06032086103887,-16.75262506108654,-32.74172051943998,-10.607219936101703,-6.811651648017075,-17.95796070574205,790.0
BEN,47.12500884933905,0.0305965901255487,-8.33427075837808,42.19806708248928,7.248955878148573,6.376614395938281,860.0
PNG,42.42049809940091,-8.43439481022679,-11.203496932568292,-6.598140772908647,0.6909582047610181,-7.8850836681605205,2040.0
UGA,48.46738674492292,-13.374698385021643,-5.156995797903038,47.796122739767775,2.7786443879039804,13.738422970181468,630.0
LSO,52.02127812522625,2.8880607297745073,-29.06815994451332,7.559349336293256,-1.5096935584874147,16.508597358519967,1550.0
MNG,28.56156641765631,16.735486051378057,9.756707940077442,-21.58242868226607,15.28554137096672,-7.842871733547694,4360.0
KSV,55.208783542838596,-10.935707876618586,-1.7964146132343177,-33.19513839939899,-7.234572422923511,0.3111603213193862,3960.0
COG,54.6520713967107,12.692856808202261,-30.05240779986904,-12.224753668119888,0.22450880799779613,-15.87948554308083,2620.0
TGO,60.39970221210978,7.415796319444497,-2.6287802938584997,4.983425442131353,2.058849871253853,-13.271322235090864,520.0
CHE,-26.774380788948665,-2.6992007451429614,18.328378434738106,25.38319604212671,-1.4404523849754345,-6.112781292432544,88120.0
MNP,8.360064516198543,-3.5537465258661673,-5.093117409554163,-21.450123150326213,-4.90985846949786,10.226184482933633,9756.481440073943
LBR,50.873485377056014,1.58789293814093,-7.50722272194768,-16.997922710667833,-5.903856585125339,-7.005185488754109,370.0
PHL,49.263822473692684,-1.6406678903456926,12.687265085485636,-15.969357859570188,2.842221237177562,0.2816377735982853,3340.0
MNE,39.87598793601343,-19.149985023689755,-0.6645187645155873,-11.03135235682821,-0.6206912837420815,9.81647483318555,7330.0
KOR,31.027016740510415,59.89499662040113,30.990491456959305,-38.39613822738273,19.526713307489807,4.744913080026033,25870.0
PRI,-0.4723740145234529,-15.26650642183781,-1.3933492085148145,-23.604715567004384,-3.8192731553832164,4.841106051552071,19310.0
FRO,18.920558342519314,-4.336554660801375,-11.46483286860015,24.850000085198182,-1.4742576687660118,0.07586454999616422,-23890.49455629023
