Country,LEI,GDP,EI,HDI,IQ.CPA.GNDR.XQ
MDA,0.6667969981238278,1.22291824645206,0.9611408620616633,0.9502853688791837,5.0
GNQ,0.46887992495309533,1.5986469386101407,0.9676288177898846,1.0117185604510401,2.8813231522023495
TMP,0.6213538461538463,1.1105313223698936,1.0106742214145275,0.9141864633127559,3.5
TUN,0.7607879924953092,1.3907728961044272,0.8718819284968675,1.0078142723655346,3.832309634954366
YEM,0.5766975609756092,1.1881926343969693,0.8170434511455953,0.8606445488393912,2.0
BDI,0.45155722326454,0.8720091323768396,0.9451230741216123,0.7562298099209974,4.0
CUW,0.7870168855534707,0,0.8807800006677303,0.555932295407067,3.9992879074477052
CRI,0.8245016885553476,1.4664181158649074,0.9673013465166191,1.086073716978958,3.007117812634333
WSM,0.7250874296435276,1.3454392391322882,0.8581952271339515,0.9762406319699224,3.5
NPL,0.6541290806754231,1.0300118196392287,1.0846838576415634,0.9229415859854051,4.0
EAP,0.7389500841020968,1.352290433915579,0.9299241165649506,1.0070548781942088,3.36363636363636
ERI,0.5515924953095692,0.9998293111797962,0.9381845949252883,0.8298688004715513,3.5
QAT,0.8096893058161354,1.8403063781089029,1.0234276631338068,1.224474449019615,3.3562001286988097
LDC,0.5507595380380137,1.088286093012988,0.8394516137446993,0.8261657482652337,3.2209302325581404
UZB,0.6575696060037522,1.1801671859867078,0.7281280582084506,0.8552882833996369,4.0
CPV,0.7303264540337706,1.362632361897576,0.9862993800674871,1.026419398666278,4.5
MEA,0.7230996439675216,1.458228648311294,0.8697083000971608,1.0170121974586588,2.5
GRC,0.8490431519699815,1.7177657482838369,0.9476967096815079,1.171501869978442,3.279871326388167
BEL,0.845891181988743,1.7878195426628423,0.943849611268025,1.1925201119732034,2.8088244502194932
WBG,0.7300469043151968,1.2651303011693789,0.9280427042643231,0.9744066365829662,3.2270357049574017
ECS,0.7777334894468954,1.6758082566246393,0.8609024313593948,1.1048147258103098,4.27777777777778
ARB,0.688827790116594,1.4282462133263163,0.9061668635226847,1.0077469556551983,2.8
AGO,0.3884772983114446,1.364887943790937,0.9935512637390157,0.9156388352804659,3.5
OSS,0.5424647771821138,1.3695207875631408,0.8636551482851416,0.9252135710101319,3.5
SLB,0.6434566604127584,1.1772180789928566,0.8721541484847817,0.897609629296799,3.0
STP,0.625732457786117,1.1758361798918409,1.088622971677934,0.9633972031186306,3.0
BTN,0.6525639774859293,1.2493784889174755,0.7648467990686056,0.8889297551573367,4.0
COM,0.5606799249530954,1.1050036085830681,0.7693652066907293,0.8116829134089643,3.0
BEN,0.5152502814258907,1.107874872441858,0.9516270117196806,0.8582507218624764,3.5
PNG,0.566277673545966,1.1842322222683728,0.9449121440382959,0.8984740132842117,2.5
UGA,0.4643399624765477,1.054034523309706,0.9991723328893206,0.8391822728918581,3.5
LSO,0.33283977485928773,1.1268300227100128,0.8698676554361973,0.7765124843351658,4.0
MNG,0.6473354596622893,1.242716335176279,1.0219540145853985,0.9706686031413223,3.5
KSV,0.6869043151969985,1.347332535373545,0.9860522613844498,1.0067630373183312,3.5
COG,0.5091328330206384,1.3006890009610286,1.0167252958492308,0.9421823766102992,3.0
TGO,0.4866247654784248,1.0385520849033145,0.8080447642008447,0.7777405381941946,3.0
CHE,0.877598499061914,1.8612290324549132,0.8185200054865855,1.185782512334471,3.768137061021224
MNP,0.8105003697791515,0,1.066565019836133,0.6256884632050947,3.4689036686421124
LBR,0.5210101313320831,0.9506838388345401,0.8993656075031053,0.7903531925565761,2.5
PHL,0.6566315196998123,1.2540023031394911,0.9188381785257465,0.9431573337883499,3.2733116736366497
MNE,0.7580206378986859,1.47023958361055,0.9477248220593568,1.0586616811895309,3.799467697664859
