Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,NY.GNP.PCAP.CD
MDA,6.073650744055139,0.7809915030252076,-5.74240235332125,18.432654925229397,-15.216092946922604,-5.727896331946374,0.0068335546204792985,1.3114608077510752,-14.8290893961138,7.668292122682061,-19.846299676878537,1.79198129294702,-2.2032674998254227,-3.3652184625236665,-1.4090310023459796,1.0533590760249438,-2.65139701604455,-4.7791131734670405,2.20606602588144,-2.4288504634261936,-2.7981722294009668,2.3203325084882445,-0.18305663469767453,3.310322714940888,-0.9144141753417445,-1.7815523403946911,-3.3245343461425567,-0.4782099402802699,3.5058550597042224,-1.4138250204188523,0.5605275379120919,-3.654773365186773,3.434487574370345,-1.3934811094536896,-2.3679990722409054,1.5786126444244386,-2.1959522313543784,0.5997425415935542,-0.3176272059123124,-0.6561526389833844,-1.6257773510374898,-0.6731177767741873,0.03955336937000323,-0.5545550770768577,-0.5299069022363188,370.0
GNQ,4.774320271153183,2.0443597585910878,-10.851540908468602,-30.17324706471067,-6.756545752327671,-10.179306702091866,41.429671443406534,23.291392944428903,1.0469005845160164,-0.8604423778828665,-17.88573725253341,2.375486961998933,6.899780826384292,-0.324491574425447,2.167432125181794,3.999473098830266,-3.214080541830736,-2.712156161345378,-1.7488249184875393,-0.4236949709358224,-6.95512708506792,3.675906209416913,-0.34488309892386876,2.079708802734305,-0.056783613336710115,0.3867198847037304,-0.36527141442866184,-2.724037933708799,3.0687009254508837,0.18087773164995807,-3.520656491782709,-0.08804380216864222,-3.163779727197586,-1.013847360977963,1.596986831973894,1.308246870608659,0.8516029231115891,2.0660001796245364,0.4539886384869372,-0.38760328473933114,-1.309419846861177,-1.047101007478453,0.03955336937000323,-0.22060668900123753,-1.345736650712041,880.0
TMP,4.938416902022963,-1.54120378695143,-2.9307445348565015,7.220023147224682,-9.345984030087907,-1.6359061476364596,-23.711096345323657,18.534242087679193,-9.43763860722404,-1.2692619454420269,-19.02433248139438,3.8708432644372857,-16.322349048229935,0.3343056619845476,-12.358811450172267,0.6035163800152653,-7.1450751183456,1.9844093902975508,-2.9415526099245355,-2.3521698277826335,-1.4828332061782534,-1.4345824920105983,-2.1205920478046476,3.286877769253219,1.759702514618758,-0.6602301674107126,-3.331715219234713,1.6999093497058002,-3.842721988397895,0.11549664452239387,2.662729370319081,0.7966982349134963,5.3640972337213055,-1.278708867052101,-0.2819368621604008,-2.925489332862497,-2.7335906970654595,-1.4581074168473376,-0.06828730693526253,1.2254352187452142,0.648317107162933,-1.5460819752601263,-0.4978272763931382,-0.5824449019940339,0.40139007718960823,8284.66745587219
TUN,-2.8964155624825594,0.043520211208368936,-5.602947134269609,16.734217527689086,-0.9055032370177192,-3.912275289542893,-10.276655912132682,-10.481306512453749,-9.091721324733554,1.118717871450934,-18.253557843071974,-5.857454132531829,-3.2118720727561456,1.8194843418580438,-8.192639258136314,1.1141747179926464,-3.501324025920779,-2.5144498416411825,-2.6205916799501257,-1.7522058611537157,-3.803105267973185,-1.0560359530910521,-2.4821955179354225,4.95923386925192,-0.7747782624625442,-1.782713130094131,-0.5992893230764121,0.07032728891049428,0.6486702063678411,-0.8440738166468598,-0.9515947477589264,-1.2696963886985644,-0.6365735473145432,-1.8658907521796042,0.3846193106987521,-1.2929412299599563,-2.0369190777783577,0.7926964722163934,0.8706803204761651,1.6530360048285648,-1.2622714660554626,0.5621895517796385,0.03955336937000323,-0.32419612872235337,0.40128709960969866,2310.0
YEM,1.2303540914947466,0.026366712115367893,-12.130332917579354,11.831271544367194,7.859330850566314,-4.289219726241235,-17.780644885272345,0.15225779271308887,10.918818391730117,-0.6302903035817611,-32.21015290698622,8.292204689626711,3.666406427322537,-2.853028065658556,-9.688992516778999,-2.471542115542337,-6.630996788477984,-2.4298195918477044,-8.66888316359115,0.20707740069842712,2.3888973948595047,-2.9011599361187246,-0.7262419595555303,0.3205486087748145,1.5091431103453254,-1.8059193520551218,-2.1493390936203154,-0.17178659509461158,-3.755375086168552,1.4502412436362326,1.603105409166697,-0.7389551949212957,-3.736813889441116,-1.9924736952998725,2.8453185264643377,-0.31382174774440397,-2.2403110604127363,-0.9543813426024497,0.401357401631537,0.6853722492786029,-3.5887395768794157,1.285668926401575,0.03955336937000323,0.1039769580478876,-1.7215690248334194,420.0
BDI,8.879740828462468,-1.0550722329279798,-4.765607257856177,-75.46411975442872,0.043618263123527456,-2.009496198546306,23.423065529556283,-24.684473783721078,-17.4386471996471,-1.0712106403966595,-14.699191461815621,6.287060192003543,-1.8552454090356985,3.7746233838845487,12.686962685508169,-10.359635003462689,-8.361430037298133,-2.946060973683375,-0.7151851288356685,-0.2599270305706106,-7.769798678418581,-2.6066355580625036,0.21644374638768882,-3.176309254393425,-1.0045520298863586,-0.5372772652302515,-1.9243825801236876,-0.9668273195228297,0.7415115632402427,-0.23817322092194565,-0.5235197678172224,-1.348075077990614,-2.8328349042345873,-1.6076413417735114,-1.664875855449321,-2.2294915611210584,-2.570118121916299,-0.870720893363379,-2.1661417693170635,-2.7044915137406362,3.0237695595134104,0.4596288235925907,0.03955336937000323,-0.6095066358591416,0.4938841804221523,130.0
CUW,1.0912161379952432,0.271714684428589,10.03466611190649,0.6346939441397705,5.8026694094509885,0.6807453076975956,7.935908817213855,6.9879726017806485,11.955203169693025,0.43791269248051995,0.07906011728989826,-12.393412043345524,4.444899480858954,3.672550423119832,-17.61138718978748,-1.0562166563560722,-8.410016509544358,1.8658337886219765,-0.603548111560245,3.045494090318535,-5.672621857553357,-1.2314840886445766,1.1724606464201046,0.18081144906959867,1.1482881740811237,-1.77504205279867,2.3128013896520407,1.1839137331006924,-1.6989500601354988,1.463235249032543,-2.9951488990800845,-2.822063561739588,-2.344668101827614,-1.8249741981525158,3.013874161102586,-0.42474146606426877,-1.7193785457585984,0.42871405206599406,3.0896301122438476,-2.381525343858511,1.2112272691639832,0.38798553052154133,-2.054510657081622,0.28251675934239623,1.809649963441303,16417.483676125576
CRI,-3.3390238723292254,0.2810526033950841,-10.129917427785813,10.566499360617241,-13.161125789235598,-11.363458693993104,-9.33008454714914,-14.2677849786593,-15.07885976385133,-0.3272362025969645,-33.424721503540255,-5.265046788223574,2.3773972272664983,5.074213383735538,4.245944629181139,7.620331215147336,-4.573592805667917,-1.4553859901929953,-2.6694106498588486,0.23949254109497195,-4.210330640778965,2.1943109410851402,-1.8244814120137127,-7.584130006697524,-0.7022516580567499,-2.4011067069714906,-2.2824935445249257,1.0569551345132424,3.340505651438125,-0.8808367143652369,-1.3636456350581205,-1.5435671425714952,2.23960442361361,-1.602234415202707,-0.4189420568100315,-2.004869439721146,-2.109198490073911,-1.1690959886409455,-0.08125170969860751,-0.0803384649107595,-0.698371081323764,-0.28852899158708745,0.03955336937000323,-0.2510361209557534,-2.9498432252219566,3710.0
WSM,-0.3505203546893047,-0.04495944685017735,2.369114620538657,1.8111275731789918,2.1018191015329455,-5.1613773354675025,-13.348979593558317,-5.112101977113764,-8.266525199223969,-0.5152168503871969,-29.764736505651022,-1.8774438321498894,-3.998907155255231,2.044183631472581,-2.3502230621948477,-3.302184299399035,-2.45978274292733,-3.25654462505661,-0.49222521896591565,-1.4219103107802151,-4.469701955708162,0.3709567607654412,-4.38783781459044,2.294013450354397,-0.6211053769154757,0.9392595042933871,-1.5906182706000407,-0.30273793409721006,-1.5744349390659012,0.12775895859500316,-3.6000886024694987,1.8140133517637262,-1.1187509079830775,2.4035218481883973,-2.7624026318571917,0.2727540215734403,-2.167065638118478,-1.024558094905186,-0.21426051802680612,0.8845794818446172,-0.8922271355801346,-0.6461642047351209,0.03955336937000323,-0.37916751380978436,0.7370280049251777,1600.0
NPL,-1.6761580091923336,-0.5473337960446135,-10.141978242023358,-23.065728479392728,18.92836212256146,-7.704928554060789,13.080613611398878,-6.919493489573836,-10.21143903825125,-1.959707960253013,-31.4768847386048,6.7034419463417825,1.0844145820752098,2.3842309503201156,-7.0312748673661485,-3.333760361233036,-7.587921205599765,-3.645466935046472,-5.542631548536854,-2.2936073289827457,0.2203969643776274,-0.5738954858373082,0.3548800624070124,-1.664403869606884,-0.6683128806978911,-1.8079807756229667,-0.3613487227708265,-0.2757460209561965,-0.8676210085468786,-0.6418405498310806,-0.2910187049213485,-3.4619660529567247,-2.1088697769366487,-1.9823439687301427,-3.9113771158270776,-2.353715989309257,-2.179885449422469,-1.2459332285344438,-1.0084158058458232,-0.40725483933216106,-0.26829619385398473,-0.1304249810017045,0.03955336937000323,-0.6028680120826562,-2.208023878969319,230.0
