Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,NY.GNP.PCAP.CD
MDA,1.8983055718586863,0.9869551675189695,-8.630124820722163,13.321758147047008,-13.648157499978657,-2.664154830309186,-20.207796970138865,0.7274095948521458,-4.967804637666025,4.122372343100868,-34.27092286608433,-1.0043987854226315,0.602887359491312,-0.8444631689848916,-1.6677857013362276,-7.207133914303484,-3.6890481510848034,2.318581894482056,1.458618033792558,-2.250246015265235,0.40573820394148774,0.3157013905074474,-0.5600199012872136,-3.9739122364386805,-0.7691530260375193,-0.5970500512064705,-1.903307939783983,-0.22751343534306168,-2.1635900709753697,0.24057255524146587,-2.024118261734668,0.9041669595926628,-4.565458777608301,4.400365211287484,-1.4821650598725709,-3.3092408078915128,0.7973804935733146,-0.04121103621284267,-0.6559206857540409,-0.9299111527784395,-0.7693275006531006,0.4139377784854056,0.7603370499409366,-0.5528295265673587,400.0
GNQ,3.005196850476335,3.0616054996148265,7.137384080678132,-35.44343947358255,22.384599482232012,-4.112308350179267,41.383982727006355,59.21744862364454,37.471795697005874,-2.8591033382908373,-0.2952808279906083,7.150741496229076,12.065611310924947,2.7663790648614786,0.32449826018042105,-9.536312794564628,-2.315944059422767,0.49851703785393586,-2.6165322761425527,-0.6325098524532228,5.750088450152691,-3.628324747141982,-1.79888478584307,-5.419495131532394,0.03444080029722224,1.2227322148270843,0.4318684972589484,0.9627035313483303,-1.1237527831972978,-1.3742358450431145,0.9937224474640154,1.2440245446733338,-2.566308625277223,3.5815912358933493,-0.488116340783015,-0.6865680404760431,9.302242762525175,0.7558956265131438,-1.653269203494639,0.38301314651309126,-1.2742777084747692,-4.253627666753832,-1.0793000909651724,-0.3683001993070369,1040.0
TMP,1.098428559425277,0.9722103295351385,3.0219570274157967,-17.025821713431306,-7.0886550091950635,-1.799912721997281,-19.513458792566134,35.09255586129173,-17.439941778265347,-2.1244417014144656,8.815221276391354,-0.4122376885565314,1.8930218308667215,2.0966477313148677,-2.6162961828050193,-5.031104589239683,-2.6072202255353805,-5.192843583938199,-3.7855512335125243,-1.928787955141521,2.192029431555133,-0.40055641330500913,-2.199226017149542,-13.130317950713268,0.8963686567760588,-0.6341719251023497,-1.0608039867546433,-0.3228341468107256,-5.191773962505855,-0.6770588581926918,-1.800760394285588,-0.31020760325183855,2.5117577847438888,0.15600781124862634,2.72226202461418,2.5649467802479253,0.6784544145405502,-1.6306408620168358,2.1225365466820785,0.5379354559338358,0.00912597093324946,-1.9536664598920883,0.13655353405041704,1.286099804127974,18908.141994152444
TUN,-1.4079621150331696,0.29237967112481283,-3.9494590291866425,18.65682304384999,-6.614312790436451,-1.4014229192387557,-10.82594189183378,-7.3335473074012185,-6.419275498890302,-0.4347602459464393,-16.322377025535467,-4.93053272787602,-2.616210231996842,-3.0754244195812994,-1.8137900772265914,-8.140138822658287,-3.450083209554987,-4.890329881049066,-3.7538370151422447,-1.6270909242763552,-2.2522421094857914,1.8823432835245653,2.8181725863519915,4.9235085867016615,-0.6444608800985931,-0.3903548955367296,-1.9107119341489187,-1.515620934205847,-1.9937308644338163,1.7990797895089505,-2.390900433090656,-0.6834300359550646,-2.6662695598714583,2.1296925475901207,-2.081742772520844,-2.5292008683616616,-1.3211951536211581,-1.2541665644540834,-0.6573788758137257,-1.2023347405225668,0.738640051618753,1.1407881459201161,0.5599897277352821,0.38288432869031164,2280.0
YEM,4.106343675860332,-0.0900687756835984,8.566891531448205,-34.55129681834079,8.724426498074816,-1.9875668217319382,-29.091975577203726,-11.177678841237038,-0.4222128308321411,3.6319450952307353,-42.20075382925018,10.07003937631797,3.597943950692237,-5.316307804837633,-0.4503894392680511,-2.7677795496375475,-3.671851458776404,-7.363073715656564,-3.9292932277017867,-2.822987006750037,-0.05212258747177667,-1.9195630055801185,-0.2543676679137681,-2.501504655752761,1.9137781381016539,-0.6987173440053088,-1.9350103927765738,0.9682315890113464,-0.6382588253465005,-0.43637604713623906,-2.4728525744957595,0.9178563474372359,2.7256404626190296,-2.4929363981600856,3.7574161346020207,-0.9290253346330462,0.10000386011098165,-1.2493228992219687,-0.6208296509808544,-1.6534196460412431,0.40040822890429595,0.7697978569596655,-1.1513951216717668,-0.2380018538610621,470.0
BDI,2.3471937515661905,-1.1572342524123056,11.75340455304816,-46.72573671013264,3.563477598938756,-5.052375727070361,35.55526354803909,-15.01602936162505,-11.993065365736559,-0.10399647557232727,-12.85138976615565,4.219737613538341,-5.198144585164204,1.971402065001314,7.4067822971135735,-7.004348870145354,-4.7152474487964025,-2.389941585733233,2.6629733193057064,-0.14164628935929016,0.625904360561038,1.0281544160535427,-1.8492561853728473,-4.15285994399401,-0.8760719679874778,-0.6600492918196783,-2.866385291295823,2.4626406251945165,-1.0335492356889888,-0.7368022723836399,0.4123941889589502,0.23046326253800997,5.154145588093911,0.25827356554602265,0.6257875887348519,-0.5704980914188904,-1.721891043974086,-0.736105933463105,-0.3102632013118505,-1.6702914406255145,0.5064512431577466,0.2250130012740488,-1.6183544018177125,-1.7278047001342776,120.0
CUW,-3.6539934604680315,0.2300379234772124,6.67277167311965,-1.4888497319778944,1.35132259514902,3.091825877094065,10.276297163376817,8.667181087208423,-15.591714777912177,3.506366199239211,46.16809010407325,-10.443863953412786,7.261306720096989,-3.261000155340037,-2.130086568102798,0.9670259084957484,3.3663663888800195,-4.3699015977813165,-2.291338892629898,4.211609891101226,0.9549216412593423,-1.1675623863033229,5.416445415629692,-2.914707004654339,-0.9869566684686679,0.5140038906070337,-0.031122606086396165,-5.48259824969651,-4.227004661342699,0.06552265522441647,-0.8874398124138301,1.1530746925459703,-4.3878833862134154,-2.7339429129676867,0.9400570117730352,-3.575767789997437,3.156904417185453,1.1603940698924202,3.6343033277164265,0.6053831212602161,2.015972161286515,2.71287470707207,-0.5850574649463898,-3.299649982994215,13469.633114596252
CRI,-7.013414911845878,0.22176522497160456,-3.405824917228926,-1.3607545748041048,-11.860638356013734,-3.887224265567005,-8.975854443053645,-10.110992634804418,-14.985147726755208,-0.18928387955116288,-44.56476478573035,-6.248937239090833,-0.43420016242369025,1.1928824718453215,4.596717109990354,-8.711021273474469,-0.08559397723422213,-1.459463386133026,6.0208870551199025,0.37230219651930097,-5.206710754071612,0.6860841117045411,-0.9127559939962318,-4.148473299476988,-0.5850688978048609,-0.30632297719720275,-1.145981758435642,-1.8478310288146194,-2.0831282503197337,-0.7819875964157301,2.552515317993877,1.2785751240825596,-1.7678344351978434,2.3958467255070186,-4.38643323716463,-1.5587762579316562,-1.794046422888087,-0.08960274636593801,-0.6539747343896702,0.0576136994531119,-0.23335273059327957,-1.4079626593552381,0.1077065014037654,-2.86710986458043,3880.0
WSM,5.30333378183187,0.27910291691844474,-13.06881617383072,13.902572844338728,10.87804183032602,-2.0005718686904235,-3.204700609026303,-0.3811471706683927,-10.903275754643902,6.577219615826389,-31.77978043131057,-1.2742018876920758,-7.563229232205753,2.7349087742203926,0.44667611537688967,4.730816505770345,-3.459820714662326,-0.532940893416437,2.117220941375999,-1.364368458418986,4.754493976541985,-1.5259297824269376,2.1793699324715337,-4.012603968814157,-0.5305636685535229,-0.43071853369450486,-3.6017913569935347,1.3401956731631615,0.12189845125193943,-0.535875713647548,-2.3638043063536243,0.2785041956954875,3.096505463636908,1.1467325698773565,-0.9049069490745907,2.671510985286533,0.10641329184379572,0.43958055897610393,-0.6330432758196214,-0.7423080287777293,-0.7593596659146344,0.019575659186458427,0.20061418702867106,0.5837797512311613,1630.0
NPL,13.857473076234506,-0.705375802921443,-2.9719554773421604,-36.64590947100562,5.7649438380455456,-6.187756024521468,20.478554451353407,-6.384360296109818,-13.677597970513714,2.562706384883303,-38.0060513026048,1.6038190293520163,7.3023040434265925,-10.850082377644352,-1.4325133630775855,-7.313846480063709,-2.2007382620557414,-2.004698691087517,2.6568021030814624,-2.155385318987082,-3.473789291210641,-2.44959059004393,-0.9282696486868152,-2.5107771691774823,-0.49637211100046036,-0.6524766443675825,1.6056614890333092,-3.6885770888503204,-2.1486587218885544,0.7845319464815039,0.5216298754341679,-0.09731598186398142,-1.2317419186650391,-4.126751533677285,2.4149025108402538,-3.6621226688313153,-0.29094343108828213,-0.7828084083144343,-0.5897791671118096,-0.7556803001938139,0.6909844059750414,-0.996916114132463,0.5448214292095043,-0.26489852045765716,240.0
