Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,NY.GNP.PCAP.CD
MDA,0.7699298631509535,-0.9393888249901062,-2.5470303406632997,-4.8229304648234015,-18.325903096782863,10.002972722734429,-3.5935859897659874,-6.131283550778521,-4.540467209343802,4.488148843405151,-1.7690573422784643,-0.09753362140198393,1.7884261031405502,-2.400098675136614,1.5332580382629681,-5.3919423825274295,-1.7082993530963513,0.5766139988935595,1.8050856447921437,0.6889200019574769,-0.7859805778342872,-3.3228540124783583,-0.3300074927337111,1.201454300016355,5.182930380101306,-1.2447021737175563,-0.06349023198565729,5.541361534090486,-1.6197963834684541,0.29849654473550624,1.3314479204279321,0.06533828978689583,-1.7198671363601201,8493.296189127595
GNQ,-0.23453987634479523,0.9117763112842874,7.232523614685307,-3.7044187732925664,7.835311133575549,38.79622658229004,-16.21746978249162,-15.010284903479672,4.845415571257338,4.357441831217849,-0.9940215972067425,0.955111982841579,-1.4957877322792101,-3.838249703813913,2.7422327236584967,-4.081054483527502,0.7051894591110952,-0.3666050032175405,0.4710199648797085,8.538769465712992,-1.2601331382237033,0.22871864834012634,-0.7623094235604764,-5.080095951684177,1.6051262535716668,-0.8874442410225213,1.4123551978635822,0.6517644744869154,2.939844933398271,1.3088979453301888,1.9096647586441844,0.11952965432572327,-0.6133455205545956,140.0
TMP,-4.030999874105315,1.0064604643196444,13.035097097299111,9.342613421603533,2.9241185771044096,-1.5502381275088275,-3.1303511856889923,-0.28510827132274347,-4.72620198635289,2.751664518663697,3.530446706193459,0.030678029394603956,4.040054346157177,-3.9290731463088986,0.8331218324579002,-4.693287815120368,0.91997533057918,-1.7681573144263594,0.6470160279163887,0.8437149409861778,-0.2714883819607318,-1.9531595911736481,-0.0452837875395512,-1.0275327998679196,-4.10550095162804,1.245990416491145,-2.13909087857649,-0.5075514398265387,0.8957793089592236,3.123465740866797,1.0614755010120291,0.07957187795214558,-0.15540222880178498,3168.8837726454076
TUN,6.7687804125720765,0.15982756383413585,-9.75792472539464,-1.8788156962367433,2.645089392703483,-8.663387576552074,-6.831821774171399,-45.35597620210709,-0.49443987637556086,-5.187397316389056,-0.5362245796803145,-2.235847249590931,-4.4750322094566926,-8.075033367776593,-0.9669774052040296,-2.8500343796155736,-0.8980450396444848,-1.7502717394448353,-0.20581685001609884,-1.9521497517110475,-1.1133975534660197,-2.0156517837432215,-0.46260887637524284,-1.0156782169504703,-2.4860513151977894,0.07779872327167903,0.25500911308694535,-2.3568550756468634,-2.3760960511396694,0.01986718926929032,-0.014564465459378862,0.13456458948698427,-0.33358239577034626,1280.0
YEM,-0.6741996632065431,0.4420485395981689,-14.978203363343807,-3.238539280314026,-12.660509278484804,-5.674417094576615,8.068328482785132,-35.83923465039693,10.113735110230664,-0.011753838888996226,-1.3818229880344628,-4.467267618919093,-7.209374097657924,1.5766273184480806,-1.7355778084981173,-7.278030608802143,-0.8192699305807797,-1.621999006034302,0.40638949981542105,-4.867514587382591,-1.2425984148992635,-0.8575671361662942,0.45482154785876405,-0.7988461079949256,1.0783486617892186,-1.0851817737578104,1.4164622470515564,1.4951300200197613,-0.9524465195060865,0.8090816237693279,1.1066986754192314,0.03552336030449046,0.11870076839161574,4137.350584110947
BDI,-5.818776597339133,-0.743108858363138,-91.85760174285544,-4.018564658418691,-13.431365326482297,-9.996201758521115,-11.871661403134288,-51.040071748740125,2.94458298599308,-0.03233277476796522,-1.3515257987966902,2.9201158555699105,-6.79595917906647,-4.821201036304192,0.3134102782483391,1.9061600682568696,-1.0655988658640103,-1.1007140077047435,0.7030547883165628,-0.7725958680021145,-1.2747937320924922,-0.9063435807122591,-0.5355406106340764,0.8539401370722681,0.22203839480254417,1.298728190400443,-3.4748372317023644,-1.0385903044504623,-0.17297785630862728,-1.3698909518108968,-0.013870994330339292,0.009224276849251986,-0.7156739906503098,240.0
CUW,-1.4701941496003101,2.217966929595125,10.924746869434056,2.612164523138833,-4.8487962515169665,3.477373551135189,12.654220827872658,6.082756078645062,-6.3385210500107725,-0.02863296770536583,-1.8081919992766355,5.364822443188597,10.7864363669589,4.4894551792175,1.000900414346729,-4.703724041229359,-2.5045836530653345,-1.7834589245107684,0.2612461345612454,-3.9014463045499577,0.5352913286879892,0.9104850525876166,0.6220338395182579,-1.3616201268054802,-1.0139523912083812,-0.7725181984555644,-1.7564015945140767,-0.9639538423824874,0.923028456633167,-0.3895370926454213,-0.33608551074750753,0.0658649727259333,-0.22763837291281508,-2057.5631377583413
CRI,-9.296770873479996,0.18479601472001614,6.941140900375158,-4.1189674731464425,-14.305791722664072,-20.735319769775558,-15.674959216353693,-33.444795507442564,-1.6633733355297262,-1.7643648527656843,-4.033992207668868,-5.6239721776518845,-3.1737097472539357,-11.376956983392821,-0.43975321654758326,-1.2160506684296222,-1.1355451860803056,1.6809288802712268,-0.8415824055513436,-0.5619521902003517,-0.6834881626806154,-2.0763345193268425,-0.20036014138398078,-1.150306806230416,-0.26633717669010104,-0.21180589275034697,-1.852919025225479,-3.169764898110512,0.6745162817780137,-1.9616137393537068,-0.03291623715570156,0.08583655601758987,-0.19958859545054788,1020.0
WSM,0.5093627305763632,-0.19618848691387802,6.384639372725244,0.3373776721673354,-6.0262950035301905,-7.00109616638447,-4.060336218865504,-57.32958546948037,-4.433319286710509,0.7423497580849107,-5.5119259384567965,3.4219361690888883,-2.787313074126504,1.0335142118127918,-0.9581467746050839,-0.7358106475962651,-1.207199573401964,0.35540828123450896,-0.32571374131452663,5.989563269421342,-1.1031226553208828,1.0173514321039119,1.1101744995012794,-0.512191481417289,-5.184947347750496,0.0365504551552035,-0.6907826279369396,0.6553360227711224,0.5845738154814679,-3.3487626395555035,-0.02789004293872217,0.05931540375033005,0.46748646355224666,10023.842720441424
NPL,4.803146274050935,-0.9775432721918919,-22.609491388656192,-6.355562700960497,7.2907468131349,-11.89876452613341,-5.474769548302285,-48.222819197522874,-0.3811495546003747,16.589788657303156,-2.5426239047661947,3.1718098071199643,-7.1472553545225965,-6.729338649124123,-0.7885684575695959,-5.277343402436019,-0.2986150546257787,-1.1653442747195386,1.5518521414562243,-1.432973507827193,-1.2710668874482955,-3.854577178864985,1.1055643294423507,3.583049172005274,4.021353857980541,1.1467133174016606,-2.4680858066218945,2.1562827577047314,0.3853145376136128,-2.353197633531861,-1.237468030511951,-0.0018389868285877621,-0.7150788235834445,160.0
