EMPTY,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85
 SE.PRM.TENR,-0.0025010014912286993,2.1812926542224415e-06,-2.957329486425798e-05,3.023580665536922e-06,-2.0194817576287775e-05,2.922678883836619e-05,-2.5983511138966478e-05,1.9106696188850997e-05,-2.358818346377689e-08,5.206079212692616e-08,-8.745950714605238e-08,7.862680362217059e-08,-2.7618940897711827e-08,3.9876458021845165e-09,-0.046773223778265316,2.10109817261675e-08,8.6736696939399e-09,-3.337968651484502e-08,-9.331626419500916e-09,6.881337841213586e-08,4.969917815397101e-08,4.689224720371213e-08,-1.0945509373860851e-08,-4.131098301786949e-08,4.691951340646261e-08,-0.009491790172470982,3.3316928065366125e-08,-6.529470954023953e-08,-6.560822502291175e-08,1.4048989769969988e-07,1.2964563878611196e-08,-6.059935241402217e-08,2.6678333313323588e-08,0.2042483526901275,0.17763888347182505,-0.07960533864604505,-0.2537851283316682,0.008517049340792178,0.013304568456558379,0.15462340989356274,-0.31954421018141504,0.15669779806587153,0.03355076131566107,-0.05214892928844052,-2.948307504320631e-07,2.1812926542224415e-06,-2.957329486425798e-05,3.023580665536922e-06,-2.0194817576287775e-05,2.922678883836619e-05,-2.5983511138966478e-05,0.011356499885971594,1.9106696188850997e-05,-8.212269213686563e-06,2.259697929865405e-05,0.02767809442127775,-8.759335790048655e-06,-1.4215329425582447e-05,2.8592327905255926e-06,1.312289142086677e-05,-4.059926941186141e-05,-2.6465318230166866e-05,-2.596141239990732e-06,1.4344670352324333e-05,0.025117803130638064,1.5563248419917138e-05,8.651062080620303e-06,-4.881310121212547e-06,-2.3234239150267746e-05,-0.0033431202223653915,0.014711517757417969,-7.1051036324336694e-06,-1.1082097643823514e-05,3.866625986126068e-05,1.1467223454433156e-05,-0.038322192136337196,-5.1250975610424125e-05,0.038759020277778625,-7.474848036537847e-06,-0.02419241022258946,0.005727479583004744,-1.3865757235767204e-05,-0.05130346408469649,0.022720826985514933,-0.12390493953691037,-0.007074507892264256
 SE.PRM.TENR.FE,-0.00312688459630428,-0.00312800874192387,0.0026878272979096755,-0.013878266795759332,-0.004971159190455166,0.0024419200599697113,-0.008205243048867727,-0.028782060650211983,-0.023522196345012552,-0.0032127830005751652,0.019552522312031733,0.0023155421183280733,0.062489358819461244,0.025475224882389055,-0.04677913440038195,-0.003249192800947242,-0.057924646078026505,-0.02075157803643506,-0.01604189091929012,-0.010635635034788819,-0.021842705501484264,-0.017249611817834753,-0.015539422376619049,-0.016693097286000165,0.02501121769422396,-0.002608916772906894,0.02033834334281672,0.003919927092823991,0.008616732956007235,-0.00757013053965736,-0.02342677450608328,0.012150118573106751,-0.013264693404917417,-0.26007291314952274,0.09637994119289407,0.6250117198700753,0.11525121004616627,-0.4571834565662017,-0.20738123670862402,-0.2182596094274348,-0.05617635142658009,0.010956114314170918,-0.006741440117896886,0.005963946877989194,-0.024291363782071522,-0.00312800874192387,0.0026878272979096755,-0.013878266795759332,-0.004971159190455166,0.0024419200599697113,-0.008205243048867727,0.012987948237977415,-0.028782060650211983,-0.009962296661905503,-0.01842233208150788,0.029529550414548106,-0.0006900036252442592,0.0035780621133870002,-0.007799722133322823,0.01479366434737145,0.025854734621400866,-0.01474217673460519,0.0008296977100322534,0.008098897253350822,0.026965361536593124,0.00027879078277836687,0.014659279449834377,0.012345868738364515,-0.031689987774171965,-0.007438413449046458,0.021506597167278485,0.025881553773539328,-0.012458132505720735,-0.013227673096677783,-0.015550166365711385,-0.030195186991497924,-0.04927375602038368,0.023270676165378867,0.02299481314332661,-0.024251734788669196,0.011822034412324791,-0.05002534511752906,-0.04957831799838078,0.021762592318561647,-0.10018667480410659,-0.0024170184677053397
 SE.PRM.TENR.MA,-0.0030857276711717674,-0.010347035360960403,0.01382858151740249,-0.03660635637626659,-0.017387688641043123,-0.0030051949761350024,-0.016227483310788795,-0.0462445504225655,-0.043213808745934494,-0.005616081216927488,0.0262177754912978,0.04020963159503255,0.029233417011816032,0.01481665960199496,-0.039815343955877214,0.0021372246973109556,-0.05431709362223257,-0.027836607384185776,0.028733002430978836,0.02001928475758939,-0.023958218471883286,4.4755275411889964e-05,-0.026926802237331973,0.002479665661285485,0.02450948911910556,-0.002137898445279292,0.04141077471827577,-0.009791914917542586,0.001425901046001008,-0.0087775761385501,-0.01535404334029506,-0.015855633079726216,0.002395229186296719,0.07067997484527164,-0.019245346435534025,-0.2900212023113955,0.783586156735073,-0.08322090085722118,0.11949687223419239,-0.009008364237989314,0.02713584671662949,-0.03937351820023632,-0.024660730385989055,0.0286309730891577,-0.0201723380627092,-0.010347035360960403,0.01382858151740249,-0.03660635637626659,-0.017387688641043123,-0.0030051949761350024,-0.016227483310788795,0.01027052301603018,-0.0462445504225655,-0.0019960923556660414,-0.010287197536097647,0.016702569572926623,-0.024051702715834705,-0.012258940834324022,0.01759048547336548,0.006620519520168008,0.002192424699605871,0.008707669644872821,0.018235939784697997,0.0072991216744814555,0.014850206748547173,0.003119286860939677,0.013590394484594231,0.021011686200570187,0.011112272708911002,-0.002772742802311611,0.019611517229682518,0.02298774627322885,-0.0018520775777973366,-0.0012902900095422927,0.0040505193748724255,-0.032227423344796446,-0.06079545745208959,0.023063839403318742,0.03208337089685284,-0.006852337461319136,-0.0031946630823048057,-0.04152362713304168,-0.03518186006926674,0.019719628607344733,-0.10701868797328062,-0.020194780907179764
 NY.ADJ.NNTY.CD,-0.02672848557222675,0.0012347050212476402,-0.0001780217881617661,0.0005838675105831208,0.0034916415553143568,0.011966997979276953,0.00991142657998811,0.017039568459486513,-0.001161231818842446,-7.335019706650741e-05,0.008671920267128647,0.004414814068245035,0.00480710268845347,0.001149619038197329,-0.004797686189291425,-0.0020263158621500266,0.001495402723175741,-0.007799725567345759,-0.0025248919100277325,0.012438145602087303,-0.00463309509653166,-0.00505619599110937,-0.012903635582676057,-0.025269948479795135,0.004438356340614658,0.001640672961291112,0.008331322097018328,0.013826794587945043,0.01211404768746527,-0.003976848002198105,0.00932603412873938,0.005454363098987875,-0.011959860584434236,0.041845891470406085,0.034430947896873794,0.10941822936098863,0.12084607664671865,0.16143647781941703,0.2380688653313293,-0.10558547178140996,-0.04840564048644806,-0.24101895956030614,0.05483689782323872,0.03669201777076139,-0.0040700415182169224,0.0012347050212476402,-0.0001780217881617661,0.0005838675105831208,0.0034916415553143568,0.011966997979276953,0.00991142657998811,0.016377996899552993,0.017039568459486513,-0.013150291438999744,0.021866301487784366,0.0032272344582303103,-0.008129282406606554,0.003102144289699813,0.005140821311319421,0.010693637910871764,0.006260563732282831,0.009703645043781258,3.7201732004490604e-05,-0.002244641668722867,-0.023858515741622136,0.0005469367326000114,-0.004846169590557988,-0.0004405919966179035,0.002238857292827589,0.014629762889770827,0.0035687706807902217,0.0021578274713282943,0.008894151448285065,0.0040937462694095265,0.0005941045322644158,0.021603745765976855,-0.009195726352597581,0.013210420029321487,0.005603116747332607,0.001481572594330051,0.01808627256936985,0.00405168318924486,0.00954147804685708,0.024352740636195077,-0.0019809216500631943,0.0023611480454496913
 NY.ADJ.NNTY.PC.CD,-0.0021217681710351726,0.003991511320951116,0.005220215789636866,-0.02106960136775728,0.037497246371553,-0.04535180394488815,0.010983031570096271,0.021026599760372598,-0.0159945322175656,-0.009517564200250092,0.058068552444515115,0.0189043375501019,-0.019939606481693187,0.020108009309545562,-0.07317286945781182,-0.0008169106480872023,-0.004829643057108467,0.0079113543863177,-0.02857527096119225,0.018601885538179493,-0.020202144482095216,0.01597540566304713,-0.017481778190567315,0.0041916862834756674,0.032314720678334914,0.01635844421094007,-0.006821384452218122,0.004119674277989138,-0.007752018928537255,-0.010893925485414015,0.019174205465736865,0.005841621715888013,0.005894628727325158,-0.006552153208470931,0.0613099020320001,-0.14186685487395148,0.009216837697232473,0.029159562014494017,-0.23901831105707244,0.0366009130798971,-0.006432800736671034,-0.1949040495217592,-0.24123090810260134,0.09153245364838133,-0.015799725862145092,0.003991511320951116,0.005220215789636866,-0.02106960136775728,0.037497246371553,-0.04535180394488815,0.010983031570096271,0.09136561767920398,0.021026599760372598,0.008008648687961105,0.022296770253575165,-0.06075911163287451,0.02027515198254467,-0.003373773470198774,0.0056886678457640765,-0.050947480889977845,-6.614942059546958e-05,-0.016816855578259144,0.04971851304817127,-0.02111744984442542,0.01149076980413799,0.003989299895097842,0.0020950526765330917,-0.01114120732797374,0.01642118279859783,0.006913060459399972,-0.019721500430286247,0.012180568625624267,-0.02131702504392448,-0.025381930256329895,-0.0015887158048461332,-0.013518571933578957,0.003761012912113803,0.008245221127960757,0.020882310865358238,0.02500355924506434,0.020016313875705623,-0.004756657669330484,0.02881901101639641,-0.0376856267777298,0.02059921546990723,0.011827950200703959
 NY.ADJ.DCO2.GN.ZS,-0.01292845729844697,0.06351048978595315,-0.1280311853082109,-0.06089875958130629,-0.03201040033215326,0.06757478062550615,0.018236247884912165,0.01423196868699331,-0.0768897015855975,-0.010951166479150447,0.03787960029344031,-0.04598957191369488,-0.04602773167690083,0.003334928146026221,-0.008069476793805142,-0.08414685922128376,-0.0332958833161833,0.01699875467047028,-0.027439432116161205,-0.046194508547832476,-0.04761016880532052,0.02913371262319509,0.10263743349133848,0.0435864436155693,0.09816151914367464,-0.027729057678799518,-0.02426795542210236,-0.013074810441834858,-0.017902031563698333,-0.006954801805916516,-0.015227332705757502,-0.009406850025106814,-0.06841468653857626,0.021288558452976832,0.03296544054271266,0.008978643294277097,0.05849581412027412,-0.01588575907981658,0.0950418780064888,0.008939604926378355,0.025086779846205984,0.04257848955537313,0.2760768212571854,0.08512581088205162,-0.00502984685169206,0.06351048978595315,-0.1280311853082109,-0.06089875958130629,-0.03201040033215326,0.06757478062550615,0.018236247884912165,-0.0673798090515269,0.01423196868699331,0.0275001617550891,0.08928828345683586,0.050756057071258714,-0.060158861370352756,-0.0472293244709507,-0.004294831434635728,0.024473430614985244,-0.034042364840383525,-0.01087284303885588,0.09830875906355896,0.007242857742740765,-0.0557686864322971,0.0980191860298928,-0.05888188856597986,-0.04599345328388936,-0.00233686401846109,-0.07044825320354492,-0.014855462295801258,-0.14969255277514945,0.026815394265530618,0.01252280428910069,-0.016737627956924274,-0.014391716742986005,-0.05890398986852058,0.028638856326818174,0.02318610856415101,0.007453203574551037,0.00933355147583689,0.02721732383583607,-0.017334389284979435,0.025028703686512103,-0.021058450507281355,0.056781130165136036
 NY.ADJ.DKAP.GN.ZS,-0.008212896395124252,-0.15721715032053432,-0.03981856450099172,-0.06014322402066978,-0.02059556045640827,0.022337664236803313,-0.09109937763613135,0.07483930338312737,0.043236816773808175,-0.022070625231862293,0.034879095953593224,0.08323125545796278,0.05374841746740847,-0.028129226574996162,-0.05402050796100928,-0.06870472702887404,-0.06000187821747231,-0.03060428661663198,0.02499556390599115,-0.039318529202035206,-0.08963687294155594,0.03694461922958237,-0.06673018851397947,-0.022089819010010395,0.013646607874815904,0.014974720351267387,0.06800631242307997,0.011208782471861009,0.0967105697053966,-0.06553315221299595,-0.06635073470348472,-0.03006692520722226,-0.07048148074000643,-0.019126917962411463,-0.09894748338396393,-0.025837003352466834,0.02542162582360037,0.04150133656322479,-0.05560419480612868,0.02522779233472733,-0.009481246173889764,0.18721810034668723,0.24335917725400044,-0.012770660040506226,-0.042948075099620654,-0.15721715032053432,-0.03981856450099172,-0.06014322402066978,-0.02059556045640827,0.022337664236803313,-0.09109937763613135,0.04162566272349566,0.07483930338312737,0.020137774407479957,0.03028857668632696,-0.0402087888622365,0.03853401742243215,-0.04630565861089174,0.15073670323631327,-0.022316213298799157,0.010808199687914301,0.07495441824261558,0.008984093068986834,-0.00016576656770441486,-0.012292166876711419,0.02503868901686404,-0.02414328248456097,-0.08661918262811037,-0.03280501653639865,-0.03603205942850071,0.04478310203195157,-0.05158468652010514,-0.05989758679614426,-0.01244247559764084,0.01686509094455851,-0.01798269974233005,-0.021357597269342266,-0.00731237002223975,-0.0304450573464816,-0.057596512164127256,0.01090210336865954,0.08073434465648627,0.026720376776691313,-0.027649640241079694,0.013085580091621696,-0.04538879209025006
 NY.ADJ.AEDU.GN.ZS,0.006161729827339664,0.054908470702496354,-0.06582739929031173,0.00973380213798063,-0.03365217215354856,-0.009869266372812512,-0.0013532532364985334,0.011136545881058274,-0.04168520175427363,0.025257149241512976,0.00022322368440866428,-0.012540781841250154,0.03863346112047794,0.022241801128786782,-0.026386395501134186,-0.09700953893912279,0.08328600730693246,-0.03940404023996383,-0.0020256241246411903,0.018780948091339834,-0.06591224576890498,-0.05351935566709718,-0.014834914467909533,0.005803403855563418,0.021445437840309788,0.008516176094384842,-0.013495213480342947,0.016301447828098118,0.03789281819149461,-0.028919366007807045,-0.03187640431521725,0.0728509144550704,0.046195161454886974,-0.004119468079866878,-0.0019060393142961028,0.04800625683992259,-0.0555889222125713,0.025963202364785554,-0.10345262417496952,0.07911213147317753,0.11088334339765449,0.028215546470454655,0.10978023231584476,0.12565410108983083,-0.013780491796187233,0.054908470702496354,-0.06582739929031173,0.00973380213798063,-0.03365217215354856,-0.009869266372812512,-0.0013532532364985334,0.009445274109091018,0.011136545881058274,-0.027834848334408274,0.0010065382955017476,-0.015091082272975509,0.011455246366973613,0.08628205043366127,-0.010490434375103908,-0.08343378053265976,-0.07709837909506609,0.07277810524732387,-0.034170965768260106,-0.06941796035660866,0.02876144153561999,0.1394284229329699,0.12710700030292993,-0.007863007073891055,-0.04137943200698085,0.0058534785940372105,0.014028990815422693,-0.014743967876512403,0.050459331220229144,-0.03265532593558927,-0.009398530724460761,-0.006637809384259508,-0.07268283047993668,-0.015617819376878601,0.03404926889753751,-0.04564349796804943,0.08941441327504972,0.06270198408332234,0.009275566155718562,-0.03319558631858962,-0.01816407915599838,0.0497280323325722
 NY.ADJ.DNGY.GN.ZS,-0.0011311106813524478,-0.058607823726747645,-0.09544924467443293,0.027160188924678537,-0.04516557172725325,0.04340229815744755,-0.04282697295792543,0.01883003690127091,-0.005055664170711397,-0.03870774989522869,0.006566786546836079,-0.001761806176364413,-0.032576162281256524,-0.011501265335290405,0.008262370364528199,-0.021986159006023298,-0.05070898378609217,0.02471986040817685,-0.05157680085213555,-0.03781362302325075,-0.011046640179195542,-0.011288450304917541,-0.004883690332857067,0.05093286296134878,-0.04452591902607756,-0.008751332711660008,-0.0053294041320898315,0.04696622999470309,-0.005493549919765488,0.03747749832553676,0.006793190203228713,-0.008720280498604828,-0.019286686411784815,-0.023699732128878114,-0.0643962915323485,-0.023461201397217284,-0.003039994780140825,0.0021959411714265464,-0.020571414759548712,-0.04455041906273517,-0.09862510303209036,-0.03481200028366522,-0.09615409240171834,-0.033468580762027814,0.04364685154401412,-0.058607823726747645,-0.09544924467443293,0.027160188924678537,-0.04516557172725325,0.04340229815744755,-0.04282697295792543,-0.007058730063248947,0.01883003690127091,0.023285040740945017,0.01725058459470252,0.007633575099938783,-0.02510774363779916,0.030720785855502298,0.008945601327200991,0.004509573003851587,-0.0021588230210463433,-0.006869977373322634,-0.027667507558780547,-0.026573485275856713,-0.04844913989548616,0.041171106651003916,0.005726676569324567,-0.045081226001233404,0.027729764320455205,-0.017567876099678047,-0.015260330393398053,-0.00984526826698472,-0.014502812814360262,-0.023916714749594822,-0.0290084987935527,-0.09542679832938467,0.03083950100096431,-0.03279653704803315,0.020428753987932022,0.06783498464554133,0.09362584471378521,0.001519069932566066,-0.002571358422798188,0.058283375245719415,0.041938443965092054,-0.011204221572442542
 NY.ADJ.DMIN.GN.ZS,0.003758203403676262,0.12850352347100824,0.023223816394929587,-0.08281228118818756,0.06455867741751817,-0.06614579404531233,0.013515690568970702,-0.014517206153820553,-0.02920886997366605,-0.04037429371095588,-0.002684145346291476,0.028266082531223827,-0.007162825401168501,-0.00043644413585856054,0.03215403590598304,0.017554346861204145,-0.02283838891884885,-0.02445063695674443,0.006888343937835314,0.007859014295396163,0.01766402159043854,-0.05096184054817829,-0.009817263528692182,0.002497615806259359,0.02671096919594997,0.004601726533125319,0.0010578030460706579,0.004541669678595978,-0.002955438690451759,-0.030782889875073067,-0.006049324948903364,0.023198436627482708,-0.015247096694131131,0.0020274414069737026,-0.023744779753450487,-0.066125315258268,-0.002343849814547091,-0.003220038911326137,-0.027853283922260285,-0.08416862898118144,-0.06740116833715973,-0.028276055125905714,0.009181458535550798,-0.04854502699819423,-0.035900902058684424,0.12850352347100824,0.023223816394929587,-0.08281228118818756,0.06455867741751817,-0.06614579404531233,0.013515690568970702,-0.0015086654893411537,-0.014517206153820553,0.010507816447089185,-0.06195575071897144,0.005376054843308678,0.0421383496098484,-0.03785143327489501,-0.02151018123761125,-0.03078914088418724,0.020979470342296715,-0.05485275992942669,-0.02520736389869861,0.040834965916203114,-0.009992567294946603,0.03181165463491837,-0.022974891398963613,0.03478865302824481,-0.010652567500920284,-0.03549414895961453,0.0158654859379187,-0.01105032972530655,-0.013527384415953102,-0.015971564597941978,-0.03435290500772203,-0.010707027853729359,0.018149978112907673,-0.01533990251642428,0.012263451920896177,0.02606214441884186,0.0524134098902236,0.024345423747151065,-0.003208465309302244,-0.004267393560555506,0.08677565602344563,-0.030728714314557287
