Country,Nbr1,Nbr2,Nbr3
ARM,BLR,TUV,GEO
KHM,ZMB,CIV,KEN
LUX,ISL,GRC,HKG
IND,BGD,SAS,MRT
BIH,MKD,BLR,GEO
SYC,KOR,ATG,KNA
SAS,IND,MRT,PAK
RUS,GEO,BLR,VEN
MYS,BRA,EAS,PAN
MNG,COG,VUT,CPV
RWA,NER,BEN,MWI
MHL,CPV,ARB,PER
GMB,SLE,MOZ,NER
SDN,KEN,CIV,CMR
TCD,NER,BEN,NPL
BRN,ISL,GRC,HKG
IDN,LKA,ARB,PER
TUN,ARB,PER,SLV
BHR,ISL,GRC,HKG
MUS,LAC,BWA,BLZ
PRI,ISL,GRC,HKG
ASM,PYF,MAF,NOC
EUU,ISL,GRC,HKG
OMN,CYP,PRI,GRC
ZAF,TON,SST,BWA
MAR,ARB,PER,SLV
KSV,GAB,WBG,MNE
PHL,ARB,PER,SLV
DEU,ISL,GRC,HKG
ADO,ISL,GRC,HKG
NOR,ISL,GRC,HKG
MEX,PRT,ISL,GRC
MNP,ISL,GRC,HKG
ARG,URY,NCL,ISL
BTN,BGD,NPL,SSA
CYM,PRT,GRC,FRA
UKR,GEO,FSM,JOR
LIC,LBR,CAF,UGA
AUT,ISL,GRC,HKG
MAC,CYP,GRC,NLD
HUN,HRV,NOC,TTO
LCN,PAN,LAC,BGR
ECS,ISL,GRC,HKG
IMY,PRT,ATG,KNA
CMR,KEN,ZWE,SDN
GHA,MRT,SSF,SSA
