Country,x1,x2,x3,x4,x5,x6
ARB,-3.3881121516961024,1.3569270208270798,-0.7732989321176909,3.496454958939755,-5.687241775552524,15.175192449841921
CSS,10.840925083704617,11.379518660523198,-5.480349546365438,-24.099491716358973,4.721908075395457,-9.248346310756716
CEB,-7.071750587467162,17.07066197672922,18.30257561030922,-1.7839506038549795,-8.770864329608617,-10.88055397347008
EAS,-3.5648630596335322,-65.90018545423574,-10.067869822060489,-16.952656464784514,-14.707841101644394,-3.0063420645007377
EAP,-193.85741415931412,-29.532222080277386,-7.2821250903638335,-4.31119254565304,17.40702516107097,5.2582974264273945
EMU,-24.74156627971988,-29.47965171166711,4.9765868575936665,-14.04704164030457,-2.4221160119976943,-9.88961102594156
ECS,-8.135362725431976,-79.1515476300778,-0.5939358718893611,-3.216580544918026,-18.384703019899316,-27.185113380009533
ECA,-169.51428158055387,27.738848572598762,9.64202606762689,4.661213936882803,6.87159677532431,-17.753337238768925
EUU,14.489090033596419,-52.203840243108914,4.484621401235173,-4.4405822108099935,-5.92061479612418,-5.88126096549317
FCS,-22.375962149113132,10.972533436892627,-53.03300637050459,36.02050607263602,-18.515636664379706,18.63146656015951
HPC,-31.687682223778857,11.93976372966245,-32.77551415103287,19.237727120772803,-32.78965131342057,3.672009042422556
HIC,-31.53377637599115,-161.9778424866227,-4.478162780598779,18.565089353544106,-0.6049224553057011,-19.773381401509543
NOC,7.197645565417669,-18.988575221695946,21.243618499183608,4.135117669468615,-4.068017158026421,-11.761029971424803
OEC,3.3683469830692676,-152.59665369859894,-2.6974541824138334,2.423056591433528,1.4284144765560487,-10.429053263930792
LCN,25.54774069445714,-10.167309164876164,5.117191354045208,-17.45335414187763,-5.793033770710395,-3.130779051985782
LAC,-277.9830821305367,29.725342669336595,5.532572958928861,-12.029406465424541,23.943050709902174,-12.545100072905528
LDC,-37.33625021198122,8.603804502884232,-42.94853465567185,-1.3133169437620262,-37.21435355472786,14.01446111271527
LMY,-1318.4910931504219,27.79559643190183,-15.414181729966634,-7.166320950186603,-49.096029308664,8.91024675774578
LIC,-142.60362804402305,21.202924988923243,-37.53714603476902,8.18654299260128,-16.840480341266954,12.179493636887141
LMC,-441.8519340964323,21.67058874979039,9.316289289002981,14.301854654464696,4.212323167979979,-0.7321838823518955
MEA,-10.90564975786526,-0.5671093530346778,7.3871461976350155,9.836904030556415,-3.495069095381173,8.650204546296933
MNA,-32.10856099228594,15.849177294919519,14.188890014084329,24.573141393633794,-4.862022461487698,11.903841291974143
MIC,-1090.088919263118,24.869020641384008,-3.023070542561281,13.801601676020393,42.67004187261536,-18.537535419611153
NAC,1.6969694751317044,-60.549097795144,21.331068193822833,-2.8864321249941596,0.5056781664340263,0.37679463398492086
OED,21.59411059602543,-158.1097606936264,-4.493086089839347,-9.737279744954499,-4.518734897625419,-29.69482708503733
OSS,-20.726271835726692,13.333070540666728,-20.79160373860685,-2.5116470326031455,7.704638897292862,2.1737391673628896
PSS,21.921277939605577,7.40294725903013,6.5554889208136515,9.717481490437121,4.911631420932594,7.289561867590446
SST,-12.320313002122962,20.692695416137074,-5.986841697700099,1.5566962964606534,-0.4851548831375458,-2.229936768631936
SAS,-107.79424213827599,1.670665978065141,12.526596618753523,6.578347104036831,0.9597965544101726,-1.3608286784108043
SSF,-48.46793978498712,8.579561584041928,-29.380006291482704,11.083580396492186,-34.91760481698676,15.915381595029675
SSA,-235.3024379348957,24.540064781933285,-36.59693361855851,31.57854571771142,-16.49802447256318,1.9850067908889877
UMC,-597.087752460904,-3.4156604949840155,-8.810374344685433,-22.68833041512331,50.57386752688001,-8.69359560095778
WLD,-153.98163168062595,-286.9685588223525,-9.362543575462047,2.4955559942552044,-170.04926808122565,6.364739279494031
AFG,62.155392853923296,28.24715247222674,-20.69165645885867,38.04633001471959,-13.768338425594944,5.037652867964835
ALB,47.743929462487245,19.30727504013783,1.1682809206918523,-11.367792445594928,-5.373980126849327,-0.6154668070598026
DZA,81.23937454716321,-13.02760017953346,19.879411942448833,21.500880113048282,1.5573904456772227,10.89181959525572
ASM,28.438379830462093,8.106508060791304,-16.01833381237256,0.9670080902322575,13.0924317612034,4.729564511772951
ADO,6.418582077761825,2.124272252539785,1.5665285062913425,11.334277444787496,-11.38296533785552,-12.50395506599084
AGO,50.47125726671836,15.110905922251858,-29.22931124400147,30.23236123547001,1.7461445740998127,28.175016302219824
ATG,-7.2899508345183195,18.53126111080881,-3.950059739424039,-6.359531436249242,-3.3920816107787566,-19.086529824582758
ARG,7.546496276538392,19.335799496083638,-5.815946847443265,13.052922970555981,2.7605588729944848,-4.935269177951453
ARM,26.14544079877836,23.907281025592834,6.079211185261452,-22.533671022837943,4.794257793910187,-27.96581637575184
ABW,-8.84465413535871,2.1999048840467537,18.631160381466675,-0.7175044171893641,-0.4463115781893361,0.6794897147378187
AUS,10.421793376579336,-11.930755678867683,15.232181655234022,-37.730905496842254,0.8265379162224167,22.890154294367647
AUT,14.532427390224477,3.9745850242135754,8.70202184642369,-6.200753638121169,-2.4527375195361705,14.460205119028911
AZE,60.054079971726196,-0.6553168935365211,-11.881685532474695,-21.24753350527417,9.143068486845616,1.4436206348774434
BHS,34.79993299711215,18.571191736302946,-10.117366415747117,-17.56761688338425,-11.25871131441839,-10.807217280007462
BHR,27.26999641219724,0.56958089024227,6.643573870215275,12.713974923402246,1.2664565084004793,7.145133034293165
BGD,16.735496246535575,16.68698376487078,-25.350092036661497,-4.602087559330829,7.61497925762908,3.624118443143377
