Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51
ARB,-17.134221412131016,6.688680564008102,0.6871087317087267,-1.1890033541366014,1.0600343252111175,-0.4008581680677482,0.9253307909978423,0.9290324631524808,-0.9709652272229141,-6.110703060120581,5.279763196933142,-1.169970222628043,-6.843988883683567,-14.646172411943502,2.1420992570248774,-0.3645569285707916,1.8768229656163733,-1.0679069015390508,-15.002483972942954,0.6446179563021408,-1.749927788042165,-0.17572710380134451,-0.4352879601692486,1.2787577592555648,-0.6839760650796867,0.2924486402499507,6.662915942906933,3.88049138064597,1.4643491093511687,-0.2282238529128157,5.835189445140424,4.190196907829193,-0.39664402264599724,-0.03128377973012416,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,1.41512605566055e-17,-9.726519107042132e-16,-1.7649109876158867e-16,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
CSS,-4.773254692589906,-3.560016301310266,-4.062804274919807,-3.555364240294706,-2.5085936707183274,-0.3728884821048704,-4.871007114754613,-1.1273371089398323,-0.3814629622887852,-0.4738595322183311,-0.9047720000490241,-0.647650812638031,-5.414481984598107,16.020833187050663,-1.3447751804026664,-2.166838362503082,-3.6532694156224066,-1.1118326070682427,3.569355713422199,-4.69681774625097,-1.2944775260015504,-0.5880506144687986,-0.14882555290114727,-0.17446788748090447,2.545811796811938e-16,-0.033603997576058545,-6.933259524961439,-4.2514844350221725,-1.3376795968908417,-0.26611754073215227,-0.5562538967937474,-0.2356490173804416,-6.808550040518916e-17,-9.233835437493863e-17,-0.8392145602743417,0.1081006495868809,-1.0982910303810829,2.302058026835085,-9.726519107042132e-16,-1.7649109876158867e-16,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
CEB,6.60585414567533,-5.459841859306265,-1.9794475124019766,-0.6180947053409775,-2.8948024703555033,-0.1999164573945322,0.0379981382118485,-1.1349833063618866,-0.5111623593658141,3.2162895424053284,-1.3270698657222664,2.948160444255816,-3.3544529960763008,0.5567581219367919,-0.9359836826165835,-1.4820341967766661,-3.8860006787856713,4.770187742921344e-16,-15.23715915164821,-3.8766855769012434,2.1458556008758647,-0.5144084694189458,-0.22025239456578397,-1.3565416438396292,-1.263443045518987,0.9186820414489819,-0.2872390192977947,-0.5339873903872421,-0.5732453441125733,-0.07080232206328907,-0.5111992752205192,-0.3673878607584146,-0.2127450929742961,-1.1671904326430167,-0.007156312521907238,0.21326817260528133,0.44341800399381875,-0.4315778691756486,-0.16319853946456866,-1.7649109876158867e-16,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
EAS,20.069888757089334,32.60357610927012,2.6480654938452535,10.49227814605407,9.15405543868494,-0.5188014312696383,22.997225127931568,10.114346072623771,3.188424122837695,-0.8438348934998939,3.399980737029166,-1.6686391793581468,1.0340263592162846,-2.2843628682042727,12.169695817308966,14.87598798547881,9.415380075022492,-0.52682029274845,9.67676980005871,39.725471832103295,11.38659821626311,-0.22503347919107397,-0.36522019160183194,12.3779545037505,6.097427285413155,-0.34823994570924216,12.137849928320554,1.9246973079610952,1.1113762238914748,-0.10299065665803962,0.31061823345124157,2.034266514934516,-0.5360637761695535,16.116309261378934,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,1.41512605566055e-17,1.215368953897401,-1.7649109876158867e-16,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
EAP,15.00229571674473,26.442096823223814,1.0520659236022378,8.50880937099997,4.507826591166427,-0.5280776261112086,17.97106139574063,5.5148134922184635,2.491893876361986,-1.050616678079664,2.252351758490908,-0.5252759717749937,3.034782389539375,-3.110289218240113,4.365381250221398,8.638033808780516,6.847233100156646,-0.48327346557487216,10.473378779502152,22.538794820312468,6.568001273454738,-0.20766153450577685,-0.32867622609899433,4.296040566825522,2.943726720996471,-0.48334424709157325,12.137849928320554,177.65599019593793,1.13717484893828,-0.06486850331318247,0.2920244764971502,2.4456452062024607,-0.6322552666012642,10.679274168208908,-0.01200534680314343,5.524608432269307e-16,9.393537402709833e-16,1.41512605566055e-17,0.5860488740422953,-0.1887370965331312,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
EMU,15.339571855161601,19.03403217665868,3.7475381093901765,-0.3669604789874609,7.269847944812748,1.3167395625486227,6.394726375513229,4.010554342614642,0.013916519338512706,9.243755064831905,0.10923842694250552,0.5019528601710083,-8.583587212412077,2.1117099582089818,15.500228461558136,22.1616873525824,4.27303869339055,4.770187742921344e-16,1.3020349718606035,21.46054271662334,8.890053313377264,-0.5261487803196623,-9.027787035910941e-16,11.798454971151699,0.5510745624276302,-0.031191183799470047,-0.2872390192977947,-0.5864203722523291,-1.4460827172070845,0.9026141716062263,-0.23498526627187227,-0.706186257529858,-0.1778539193772617,0.29455912701992604,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,-0.47126879114982806,0.8344692537011315,-1.7649109876158867e-16,0.017974369908879167,-0.28574937254302907,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
ECS,17.773907760153147,29.51428572864012,3.1119473560964215,6.972470271098282,11.621517387252933,-0.024945644719147352,13.936278544135389,9.411292639288215,1.8293891088300138,5.099306569272346,4.5998249138914105,0.24017466146129998,-3.254818370214949,17.697710922831522,26.33528105099971,35.69772483959924,6.848834855547254,4.770187742921344e-16,-2.0801689228752105,44.288632072076986,11.803538389107727,-0.4811098613409794,-9.027787035910941e-16,24.727908640381788,1.8150524756670772,-0.17012706716759518,9.684243982380194,-2.5741379023618975,-1.3310192922510504,0.4335129058996795,0.4618957675371168,-0.13558066924981538,-0.22497696726326477,3.727765748342259,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,-0.31612099222015977,0.5762284548320867,-1.7649109876158867e-16,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
ECA,5.459889902028771,-6.048403981693222,-3.7688799202673837,3.569086075316754,-1.2636856609393061,-0.30255886761903583,0.7260678303816637,-0.1539259588271525,-0.8996824931377614,0.9676324592907719,0.08251186167941285,1.9944726074480377,1.1962926901498254,18.234846290357343,-0.8813221017337289,-1.2013961034900622,-1.7567276000931238,4.770187742921344e-16,-7.9858261453881365,-2.563359387374646,0.21737419136753305,-0.24952565581307007,-0.19728254914166474,-0.4115751252195146,0.5683822304708397,-0.19426832286845333,9.684243982380194,157.26967415262015,-0.32652317248737917,-0.1699977704107698,-0.10748790248802503,-0.30923824845458486,-0.4518158154006083,-0.09207600021552548,0.11104864040729542,-0.3297972069833363,0.7411348004267011,1.41512605566055e-17,-0.5345711421507942,0.621877353626734,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
EUU,17.37584680662104,24.943623621819174,3.632412639638149,0.5859446356995157,9.039929140633252,0.6241673914657337,9.843334254705614,6.139251424758744,0.35238635728677803,7.841726378006355,0.9972986337914254,0.1455335533656739,-4.724613894180693,1.7025744473893796,20.41461803171185,29.484103592047052,-5.4663697200141135,4.770187742921344e-16,0.5486142616044184,33.77352725622289,10.958692054113797,-0.5236398515571622,-9.027787035910941e-16,18.690307693765757,1.6594956037135167,-0.08759427606444431,-0.2872390192977947,-0.5864203722523291,-1.5208562297335078,0.6560286042645784,-0.07081316771367666,-0.5227318684093342,-0.17524227978165305,1.1167463522244971,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,-0.4685778523041342,0.7508860953005531,-1.7649109876158867e-16,-0.0489634068297198,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
FCS,-39.9472546192842,-3.999484159698234,5.39654185068884,0.673968557524836,0.4059124702310104,2.506766724022064e-16,-0.457707086495616,-0.7656275898947839,-0.6071825911017347,-5.837765962095454,1.4719760760394285,-3.2590243251185806,7.231570859149582,-21.027756959532823,-0.6543199137620404,-1.5935625087778382,2.6396349134242523,0.12422525976559916,-0.8473396500207693,-2.082659171965125,-4.868973983254273,-0.11450034125974805,-9.027787035910941e-16,-1.224478380064419,2.545811796811938e-16,-0.2174970206870867,31.72576674771085,17.142116307799895,0.8425549210409149,-0.39418050389211545,7.518018965776063,2.8400888735415792,-6.808550040518916e-17,-9.233835437493863e-17,1.3957149918800816e-16,5.524608432269307e-16,9.393537402709833e-16,8.280059695002704,-9.726519107042132e-16,0.03487119825459582,-1.2009037973868665e-15,-1.3903163665933047e-15,4.3026098557013357e-16,-5.65845203516808e-17,6.14285835960112e-16,-7.264283737188325e-15,1.855522713920538e-16,2.7755575615628914e-17,-9.71445146547012e-17,-1.734723475976807e-16,3.469446951953614e-16
