Country,x1,x2,x3,x4,x5
ARB,-4.154045933668469,-2.3588840405273515,-11.893761535196138,18.246684727390488,14.919108242530136
CSS,6.102241211247318,8.55034729517299,4.121028542793482,-0.9705681618271766,-10.243672418247577
CEB,0.8927710007633004,5.641227737777438,13.574586166859982,5.947087093045267,9.779224995801206
EAS,-10.650548234929198,-66.18627831425198,-2.3791211960027336,-14.771453153504579,2.1857765316275364
EAP,-181.53848143832278,-24.075082642409047,-1.6958001348839034,0.547003927115429,-14.721754135117765
EMU,-4.1470887532586636,-39.46654155733762,8.979760547488132,-10.595053249784634,3.040351920012874
ECS,-6.782649633067854,-71.94470671882056,5.592336072680794,-16.413744056031696,11.571110489045381
ECA,-156.15594470938427,20.880935694504075,9.915068680455457,6.139662365008343,-4.586947997110844
EUU,-5.810844568074339,-55.109606329996666,10.01132166390925,-9.977808343852015,5.07539232869722
FCS,-18.464399250094626,9.371835537122832,-44.73034771773843,7.566719518509238,23.746139513882945
HPC,-25.331835629460812,12.610307296945024,-42.43554867816054,-9.314929711922588,19.13787044028513
HIC,-9.133453390841495,-162.46149167916047,-4.932203311111671,-2.3718580232464586,1.1517672788807207
NOC,3.355879733044948,-22.39615093734342,16.437607378869885,1.9264687749691962,1.2857744687592376
OEC,-9.245225802333568,-141.29734172400407,-2.5615114168821407,-2.0458126392946028,-2.236361358668617
LCN,-2.1140184241787288,-5.435051222683335,7.6611382725444415,-10.390355138344134,-1.2780989724656147
LAC,-257.5609221981026,29.022216471695785,6.282107719660397,7.419816580249981,-24.038425915540035
LDC,-32.78625797626186,8.469997924097846,-38.11991545785878,-16.771082310077396,25.2367748726124
LMY,-1223.579554369135,23.835803601931374,-19.052614196378222,-22.86426484444783,31.860088415595644
LIC,-130.72119832166288,21.819993442152576,-43.15122602558626,-6.409466491653728,9.047944687401998
LMC,-408.3875853610359,23.52759413273902,2.3677940957742205,8.315583753889404,5.345365873873446
MEA,-4.976791603546357,-4.181898247026289,4.154734820338907,14.212891384889987,17.727440686625513
MNA,-28.147439879150333,11.915636790666134,3.110376514760528,15.884811706638075,18.04499036239656
MIC,-1014.0848076393573,23.826049446791124,5.067345377684731,21.9911223320478,-31.312561170174977
NAC,-4.99486942693244,-53.05833528769428,4.767469483125151,-4.134716764138164,-6.55267228762841
OED,-9.815545699484778,-146.73582629181328,-2.2520150691372542,-0.9649462419285619,0.27997323985856504
OSS,4.522879201413862,10.917149834441517,-12.584118430154641,6.092167805569543,-2.3981853051419675
PSS,5.649796638217506,8.037935712613153,1.7225680456043408,6.643764473367943,1.8296178126528195
SST,4.404091349855709,9.759400530398516,-8.345084821863242,3.820069375128837,-0.9610695260532798
SAS,-97.13187428081199,6.255747865254611,7.02308787093652,13.981210611040709,8.771923482223881
SSF,-37.720771114262035,9.889502418247554,-38.02445414702703,-11.51622595327369,26.391961579177075
SSA,-220.03276972495308,30.385513929066377,-36.65860028528691,0.5421528008878411,12.53604498707718
UMC,-551.8844948723678,5.35156007543311,4.990754808638229,21.767614902712914,-38.036426983543336
WLD,-142.42050909811925,-259.1933772594025,-34.107517516037205,-104.47078056993843,121.9725670674886
AFG,60.74511413461336,29.846666657818563,-33.05474029656797,21.93444207312653,28.225531654178653
ALB,42.83600729570412,21.24981969062386,-5.51964296500187,-7.354678266311971,-3.9716920512633243
DZA,77.92390875188757,-14.389147952940144,24.694587729126155,21.442312506383946,21.19319442706322
ASM,0.08193726766622504,0.31138551960094174,-0.8775480621532085,0.033338040335615826,-0.19175299509078103
ADO,0.763778924417036,5.145898821313061,-2.823856096430029,1.1180840486874695,0.9568309685497516
AGO,44.81734065473435,4.838768703893614,-19.08298329510486,8.219862626184891,3.6494607146437392
ATG,5.191931112749725,12.084908454375595,-6.297374846781777,-2.832097993856773,1.0351619802703627
ARG,7.008003894924492,13.811764282883924,6.431146320098487,7.791190187890233,5.5609304318598465
ARM,25.792612891221857,23.76512276813761,-0.09880843601915416,-16.85996170156472,-17.789823313452686
ABW,0.3322981104423254,1.5155320349241157,2.7650436433349257,0.7641912269845424,-1.014816357791287
AUS,-1.4290067176955543,-6.916957638386803,21.71192365806738,-18.494441286911613,-15.517718834088596
AUT,0.5558894933215691,7.458449178326546,12.133018859578744,-5.980583227319389,-4.377348021468301
AZE,53.92070146116479,-3.4323628413721856,-0.4916365717872639,-6.384488251673311,-12.528200662306118
BHS,2.2353488474023067,22.928074667520814,-17.697605908255944,-22.2484295394583,-11.314898356783454
BHR,0.8039122213009808,5.62529140988821,6.69874858111991,8.3839782270392,0.708844513272739
BGD,16.537098175759642,14.80063812155663,-11.852963850884326,-3.4448528163695844,-8.32875994318666
BRB,1.5037155871172951,14.468306363175625,-12.892185490322763,-14.592648075619053,-10.36409713874412
BLR,33.84885104767088,-18.468200200243754,15.012670812169954,2.03304685271674,-9.12319093324694
BEL,-0.9129792871132187,2.2224286074517474,40.52963282967874,-2.8464720849373784,11.708266143308403
BLZ,38.456249908697906,17.802788337069764,-0.313567116764931,-12.69128205580601,1.147295180047748
BEN,41.98096687358497,5.526105782086567,-17.019382247715214,-3.8024160375087015,-2.659594442324136
BMU,0.36773624174266734,0.37721003297315736,-6.28083080836764,4.610665918097072,-1.8504077091587752
BTN,36.83558498719346,2.9732577747557754,-3.147784988805132,2.5653017802623848,-4.043932380348534
BOL,45.563940736570075,9.917042867294434,-9.90010993511548,1.3161722332104868,-6.387389060662677
BIH,38.14241131115151,15.13412850992073,8.490789522063226,3.8732263129426086,3.674954804360686
