Country,HDI
NER,0.323
LBN,0.758
EST,0.838
SWE,0.901
CHL,0.82
EGY,0.671
CZE,0.861
SYR,0.646
KWT,0.792
PHL,0.669
IRL,0.909
SUR,0.704
LSO,0.469
MNE,0.792
BHR,0.812
MEX,0.745
SVN,0.876
VUT,0.591
HRV,0.808
NLD,0.911
JPN,0.884
SWZ,0.526
MMR,0.526
AGO,0.495
CMR,0.486
LVA,0.81
BIH,0.711
PER,0.721
DJI,0.451
ETH,0.411
CIV,0.441
NAM,0.612
COG,0.558
BDI,0.385
QAT,0.827
GEO,0.742
BRB,0.78
TTO,0.774
SLV,0.666
GUY,0.624
UZB,0.664
AUS,0.927
DNK,0.91
CHE,0.932
ERI,0.405
DOM,0.703
LIE,0.904
UGA,0.477
BLR,0.787
BGR,0.775
FRA,0.882
URY,0.78
CPV,0.632
GBR,0.902
SEN,0.455
BEL,0.884
ISL,0.894
TKM,0.665
SDN,0.463
GAB,0.664
ECU,0.71
TMP,0.607
STP,0.546
PRT,0.818
ZAF,0.638
MLI,0.404
POL,0.829
MLT,0.826
ITA,0.872
DEU,0.912
LBR,0.406
PAK,0.525
GNQ,0.58
NPL,0.529
RWA,0.464
HND,0.611
OMN,0.797
THA,0.72
USA,0.91
IRQ,0.649
JOR,0.737
DMA,0.722
CHN,0.7
TON,0.712
UKR,0.734
JAM,0.722
BRA,0.724
SSD,0.429
CUB,0.78
PRY,0.675
KHM,0.533
GRD,0.741
MDV,0.663
GTM,0.609
ATG,0.782
PLW,0.77
BLZ,0.7
YEM,0.493
HTI,0.47
GIN,0.385
LKA,0.746
HUN,0.821
GHA,0.554
MUS,0.748
AZE,0.741
COM,0.479
SRB,0.757
ISR,0.883
ZMB,0.543
ARG,0.816
KEN,0.53
CYP,0.847
BTN,0.572
NZL,0.901
MRT,0.487
BEN,0.454
NIC,0.62
KAZ,0.766
ZWE,0.452
ARE,0.824
GNB,0.41
SAU,0.804
TGO,0.457
COL,0.7
LUX,0.894
MDG,0.504
BWA,0.678
GRC,0.86
IND,0.58
TCD,0.37
DZA,0.724
SGP,0.911
MAR,0.612
CAF,0.361
WSM,0.693
ADO,0.819
ARM,0.729
LTU,0.826
PNG,0.494
FJI,0.709
AUT,0.88
MNG,0.701
TJK,0.608
AFG,0.454
BFA,0.377
MYS,0.774
IDN,0.662
CRI,0.752
NGA,0.5
MOZ,0.397
PAN,0.758
ESP,0.867
KIR,0.585
FIN,0.878
ROM,0.798
SLB,0.497
CAN,0.903
TUN,0.714
TUR,0.737
SYC,0.744
SLE,0.392
LBY,0.756
BGD,0.545
MWI,0.444
NOR,0.939
ALB,0.738
