Country,HDI
NER,0.331
LBN,0.763
EST,0.85
SWE,0.903
CHL,0.826
EGY,0.673
CZE,0.864
SYR,0.645
KWT,0.794
PHL,0.666
IRL,0.895
SUR,0.708
LSO,0.479
MNE,0.797
BHR,0.812
MEX,0.748
SVN,0.877
VUT,0.592
HRV,0.815
NLD,0.921
JPN,0.889
SWZ,0.534
MMR,0.533
AGO,0.508
CMR,0.496
LVA,0.812
BIH,0.728
PER,0.725
DJI,0.46
ETH,0.422
CIV,0.444
NAM,0.619
COG,0.557
BDI,0.393
QAT,0.837
GEO,0.749
BRB,0.785
TTO,0.772
SLV,0.67
GUY,0.63
UZB,0.673
AUS,0.93
DNK,0.922
CHE,0.932
ERI,0.41
DOM,0.706
LIE,0.909
UGA,0.477
BLR,0.793
BGR,0.778
FRA,0.885
URY,0.784
CPV,0.636
GBR,0.898
SEN,0.463
BEL,0.886
ISL,0.901
TKM,0.672
SDN,0.468
GAB,0.669
ECU,0.717
TMP,0.618
STP,0.553
PRT,0.824
ZAF,0.644
MLI,0.411
POL,0.834
MLT,0.821
ITA,0.877
DEU,0.916
LBR,0.416
PAK,0.529
GNQ,0.583
NPL,0.538
RWA,0.475
HND,0.614
OMN,0.797
THA,0.729
USA,0.913
IRQ,0.656
JOR,0.735
DMA,0.722
CHN,0.703
TON,0.717
UKR,0.739
JAM,0.725
BRA,0.73
SSD,0.419
CUB,0.778
PRY,0.679
KHM,0.54
GRD,0.744
MDV,0.675
GTM,0.616
ATG,0.778
PLW,0.775
BLZ,0.702
YEM,0.494
HTI,0.477
GIN,0.396
LKA,0.752
HUN,0.823
GHA,0.563
MUS,0.756
AZE,0.742
COM,0.484
SRB,0.767
ISR,0.889
ZMB,0.554
ARG,0.822
KEN,0.536
CYP,0.85
BTN,0.581
NZL,0.904
MRT,0.491
BEN,0.458
NIC,0.625
KAZ,0.774
ZWE,0.464
ARE,0.826
GNB,0.416
SAU,0.818
TGO,0.464
COL,0.707
LUX,0.892
MDG,0.506
BWA,0.687
GRC,0.858
IND,0.59
TCD,0.381
DZA,0.732
SGP,0.917
MAR,0.623
CAF,0.366
WSM,0.698
ADO,0.819
ARM,0.732
LTU,0.83
PNG,0.501
FJI,0.714
AUT,0.884
MNG,0.712
TJK,0.613
AFG,0.463
BFA,0.384
MYS,0.776
IDN,0.669
CRI,0.758
NGA,0.507
MOZ,0.4
PAN,0.765
ESP,0.871
KIR,0.581
FIN,0.884
ROM,0.797
SLB,0.505
CAN,0.907
TUN,0.717
TUR,0.75
SYC,0.755
SLE,0.401
LBY,0.706
BGD,0.557
MWI,0.454
NOR,0.941
ALB,0.752
