Country,Average,Stdev
BHR,0.2,0.489897948557
EUU,0.14,0.447660585712
MUS,0.22,0.46
ASM,0.26,0.593632883186
PRI,0.04,0.195959179423
OMN,0.32,0.646219776856
ZAF,0.22,0.46
MAR,0.92,0.716658914687
KSV,0.14,0.447660585712
PHL,1.04,0.773563184233
DEU,0.06,0.237486841741
ADO,0.16,0.504380808517
NOR,0.02,0.14
MEX,0.26,0.482078831728
MNP,0.24,0.512249938995
ARG,0.04,0.195959179423
BTN,0.9,0.877496438739
UKR,0.2,0.4472135955
CYM,0.16,0.366606055596
LIC,1.24,0.9286549413
AUT,0.04,0.195959179423
MAC,0.2,0.529150262213
HUN,0.24,0.585149553533
LCN,0.3,0.538516480713
ECS,0.1,0.412310562562
IMY,0.26,0.593632883186
CMR,1.22,0.701141925718
GHA,1.7,0.5
