Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
MDA,-0.36944348006974814,3.880138562739896,-7.4846129610256105,-0.6337519330874429,8.546866268793512,-1.1075016711291341,-3.407463422497334,5.35724147183857,1.6671029392193875,-6.314086114937123,-2.883780531514899,5.554277325010434,-3.1453809532196706,-3.3876223997773467,-4.097818126700562,1.073064868893615,2.0398699119855213,0.12439665824917401,0.22817568719067127,-0.6979380598356668,0.8396522287890714,-0.4268135618389831,-1.0871654071913563,0.4950601753300231,0.04053709762583599,1.6993813200205985,2.216760829181199
GNQ,1.6637067405748958,13.454164722660176,-1.4062504623997643,0.7169238318255777,12.807596982074125,-2.167869741888474,-0.9538476009877866,-3.7232669615063356,-5.554317662029514,-5.874046204811924,7.753072720181455,-0.052693040824301374,5.477884603664056,5.674563464580361,8.636925272160212,2.106262598021389,2.0003178986977876,1.8531598407757897,2.788249312910975,4.455865222708484,1.271695773311793,-2.330240092650646,0.05076667113985428,0.31048130034360644,-0.15965603936072156,-0.8056032338383223,1.8330062566410799
TMP,2.273943920850149,1.6783357379975923,1.2958453188347283,0.5298855681994145,-4.425356965739059,-0.6160882810002906,-4.905939307991097,-4.336198911462931,-3.4541714334228857,-15.370422909196453,-2.5261241984072162,1.1224518656870972,2.564351299115883,0.06602162477931645,-5.520290823769542,-0.39602581581495966,-5.505389186434358,-0.8176337731384332,0.41780391087435836,-2.2156852651623775,0.1234229202013919,1.5531711901121188,0.9786009111388428,0.023684405528504468,-0.5151234916209264,0.6298450670027352,-0.9972307836938246
TUN,-1.0559070180632117,-9.632924459353973,-9.637534199628801,-0.106448390653018,-12.095560003704792,-0.4916761727375186,-1.4387696974019082,-2.3915285405768936,-43.40132933194106,-1.333391147107022,-1.8024313225571433,-2.7362433473576555,-4.663499508759769,-2.038765140552725,0.8617316964574746,-0.7638220605825683,-1.7934576155642377,-1.1578683822873506,-1.0325270189684619,-0.5722195058656911,-0.3462864362298711,-0.7348947115383102,-0.7427598733144724,-1.2114478121390708,-0.39327618581525187,-0.2915618459549012,1.026008068139566
YEM,1.6243504198948693,3.2467983097405053,-7.714533973319664,0.12423536103168505,-3.701968674266731,-2.8405272235767667,-6.109675772625506,-5.218486985920369,-43.00082431053193,8.35025473485411,2.3800302542396032,-0.6708736780362162,-0.18684662232280447,3.539807198226351,-3.489144742749143,0.3103541382206006,-2.4943876897051407,0.42895964919986246,-0.7567158155812493,1.2248041157234573,-1.2473133737000055,0.707569993879877,-0.7567232245387934,1.6201955848004315,0.9383783213811666,-0.4260419014604703,-0.20861752230996375
BDI,-3.897739697301066,-5.087083885846375,-13.671047873865147,-0.5155755619185975,-71.82068966171583,-1.6387067918712463,2.0874428546105657,2.9112694499820426,-51.213186940755165,3.33117812702507,-0.6196956681849775,-2.141010765373786,-6.414378861558236,0.4602768962399326,-1.07386864994071,1.1722594222474323,0.11519607210142457,-0.19868718273878283,-0.6328045909233866,-1.3838213938644206,0.15308754143890924,-0.9669258748196695,-0.42987595742561957,1.7527776758162692,-1.8992500496129268,0.6190651596019683,-0.004320793858748063
CUW,-4.104665048867193,10.767578606038201,-7.902603580559818,-0.3276889793819729,7.73927732133511,-0.3976502344255409,-0.1597472558661721,4.934031819448578,-9.752003125800861,-7.752386886681762,-8.966395006342069,-2.7649688941689643,-0.0614608178922599,2.3239680776267946,-3.19116926577053,0.09742438303503406,-2.614312777648505,-2.8796423833750535,0.0023915557917504326,1.1225963682018245,0.26675898385161717,-0.015650172634865678,-0.11850062012976093,0.20073575559182688,-0.4787215378564338,0.5324267751269306,0.6060272967187302
CRI,-1.95476998150916,-9.607075609705674,-8.74522367207178,-0.062305998318374446,8.59901932674568,-3.995792719518934,-4.48434396889613,-3.4686817704358335,-40.5261128277484,0.21899499790993399,-1.0684170097299504,-2.3238292378915513,-3.5145606506561045,0.9008496169998559,-3.4645126019057333,-0.5876018838625755,-1.722901009700573,-0.4468072872970441,-1.1236669582779713,2.3167712949349717,-2.5347198407461757,-0.369172084170499,-0.7494599298771953,1.1921839605624798,0.47542989099137944,-0.4077677263002284,0.03577946538822093
WSM,-1.6429971804230732,-8.731390659420653,-4.2359428187409245,-1.3945373891875172,-6.51136222472059,-3.058014862839438,-2.0647154436421205,-6.054324326639832,-44.66550804440476,0.42007888315873176,1.8209719100577206,1.5099078747428152,1.0750623015578022,-0.22021515603688546,1.0574331242008266,-0.7569027210294608,-1.5816045066643531,2.1595580851637455,-1.177477290444633,1.109542660480272,-0.6186863009688879,0.20756183534527078,0.06110860548111491,0.07624076390010127,-0.2246561337806362,-0.7188777287169991,0.7831601763916791
NPL,-1.2792230464328571,-12.311117440755098,-16.8038289737477,-0.6360831348933308,-40.513860938607735,-1.1805053931090548,-5.4676163752773554,-5.935063676139423,-51.79897629186731,2.3752334578313947,1.2293798946748873,0.7768015841445592,-10.50222028078525,3.4571495157810914,-8.436403277672404,-0.5085370441735438,-1.8334382788798378,0.7298385170631063,-0.3689030825095041,1.7265307750361785,-1.872968193298259,-0.8610714726851636,-0.7527188440477678,-0.3203110044729362,-0.25281668333198304,0.2994792898449367,1.6208195215300614
