Country,x1,x2,x3
MDA,20.393009622447646,0.8984986108104996,12.103048433225759
GNQ,0.4383427783656938,18.46391077090477,8.63934269395119
TMP,12.7967897441646,0.1646491055534691,-7.923495610671145
TUN,-53.406408774930746,-16.046266696629093,5.32514982592441
YEM,-36.87932768056376,-2.0009303505343015,-3.3339008608879466
BDI,-62.34325366561109,-60.31853721173888,64.42318767244252
CUW,19.69061357962247,-11.175082480913234,-1.5229688748214976
CRI,-37.60560925317802,-7.778962128803828,-21.47764801452933
WSM,-39.77250325400383,-0.11605513825973801,4.306808746106967
NPL,-55.36578747918573,-23.557568569592252,3.9781098247165882
EAP,138.05612726793854,-5.741620924345384,-1.9407550810712504
ERI,16.823175660615256,5.564358285743736,-6.233453052428834
QAT,22.3153295718581,25.11932243356554,-15.493698988909443
LDC,12.63250243270829,-41.648542792008335,30.88682543893689
UZB,10.874351825016513,2.706360949412856,-10.140814102929038
CPV,-10.391292048062041,-10.7555531349614,6.702946179814679
MEA,-3.0766156514115743,0.22642673200775804,15.46248424958316
GRC,12.980822572630148,-4.629338639799553,-29.164528913111564
BEL,15.282626257118185,18.708241820646798,-43.32525030933583
WBG,-9.706497242001463,-14.794769939407042,7.1315338388637155
ECS,15.615951290049244,69.74064304749669,-5.554443521310308
ARB,7.43175862598564,0.6757879803246613,22.277512346191493
AGO,-7.9093083491929566,-10.355972376026122,7.525176263397993
OSS,-10.393339453848055,-5.2016682099187666,12.515415088914972
SLB,-53.36778440214919,-24.79739886025786,30.069054222667273
STP,-68.92417629968627,5.188467624295962,-0.2563248756949925
BTN,-7.053874337571917,4.106396509392857,11.131705241806388
COM,-47.41299939170204,-18.144029685522877,6.2385673130352775
BEN,-62.653359186097454,-35.39761828210715,24.548188001372733
PNG,-53.692574661136796,-0.1893176560383737,-5.585937159019094
UGA,-38.60551054668127,-15.351856263241983,4.680574685810976
LSO,-60.13514493042704,-2.9982749889262688,-13.301580328941828
MNG,2.4251299572878238,7.89063266729987,-21.08781603831756
KSV,-28.192571627802188,24.127775459255634,-2.4283048815344683
COG,-52.703208556026595,15.755447418274995,-12.075651961604107
TGO,-49.365532845017654,-9.99231297445863,6.846123969277463
CHE,9.569012549589024,9.325643990846622,-6.135469617265117
MNP,17.05646076199306,14.37552082493377,18.000749252063258
LBR,-52.936755562281256,-2.2843350668265585,12.97721780289472
PHL,-16.89401206518538,-3.701751514890975,-18.85402821782017
MNE,-86.726421334613,20.804121413322918,-10.676727364984725
KOR,-6.793581336528017,35.29463888872444,-2.840053025066921
PRI,21.629488012035967,-4.509869145136702,-12.928129804564383
FRO,-19.909634822021776,-6.456936465792159,21.86778560856301
DZA,-28.670385623692702,-7.154112948035806,12.796527490074473
SYR,-41.853105695455255,-11.191283459034905,1.7660452036923635
CUB,0.5524592515769047,-4.581103245450032,-32.17384315935113
MMR,-40.78972240764377,-4.915531910707256,-17.385941537787524
SVN,-27.039990729340882,-1.8775594933350155,-1.7744583517499868
PRY,-48.63886032515726,-13.36166132408132,-1.6267084893388315
SDN,-35.78907627584725,-27.102627306832275,-6.996613433720041
FRA,32.93113465596827,23.932012725271715,-15.045469941467951
BFA,-60.51455068799332,-64.29856727951609,59.87802911619739
CMR,-58.024954794757186,-48.3092146895583,9.757633196743974
GUM,11.280474431836174,11.660325387575362,-1.3969346083569039
TJK,18.83390941206654,13.820922875639894,-1.7493582954325628
ISR,-7.880637762573388,0.543022137183339,-15.884699817034331
FIN,13.37996037359563,11.560591291718922,-30.450231753188493
COL,-43.106581034054784,-2.7797317040954486,-7.338633981820562
MNA,89.87006251151935,-24.153599565492552,3.4721115444335817
SSA,151.64933104876536,-18.7497571916504,14.895089793390824
PRT,11.248150578313242,-6.8038254028138425,-12.360009722311732
TCD,-82.31479625322154,-8.365047349082355,-1.5127283961818352
NAC,22.45769977654747,48.781369533309764,-15.139648640049248
ARG,-24.847282765165797,-2.1133815750773293,-17.945001194256538
WLD,123.3558867486969,178.51888917231773,34.813399011643284
PRK,4.228287262851024,-8.519054754480736,-2.603861383113891
EAS,24.969604295149196,27.58091331311717,10.240656732028047
NIC,-30.85267175966411,-14.242528876243998,10.512369208060548
GRL,3.325269200392323,6.277104476226173,-6.183297863450084
LMC,373.02991706566644,-19.97846269623995,14.509987780025508
KWT,2.655011181016095,6.844693751464435,-1.6957640582009614
MHL,-6.853383501220822,13.030015679842899,-1.7044417743476297
TUV,1.7022241113717966,9.118021535197453,12.647295303551557
NZL,9.588086087543104,-1.340345622338874,-34.28052413342717
ATG,-8.078087893224007,-11.815757780158213,9.77561450661519
RUS,13.934621528362804,-9.201244825475538,7.348403788463188
IMY,13.038153882085952,0.06567428246385904,4.025968376599753
ZAF,-17.002897406776412,7.225942676209743,9.378528408526215
GHA,-52.809762456244044,-21.129501969686707,6.8187345073311745
PAN,-45.46099209246998,9.428044512595747,-31.95509630073264
CHN,-32.82944748852939,16.427675251272202,3.688650842167961
HKG,9.350443368056784,14.34111623224821,-27.81931615294037
CYP,-21.893799941324158,-19.45607564197366,8.295789752447355
NLD,34.51148473929599,8.993964562002313,-22.388965677888862
MAR,-21.167434938432415,-32.00063389083438,5.318140056130888
CHL,5.688492513971297,-3.8295497207079876,-17.53161204853746
MIC,942.6941567863221,-20.24371934651147,-0.30184329200746873
BRA,62.8719417134381,-10.73900028633718,3.7665419269135856
BIH,-19.12292600661586,-4.452354780101067,6.4344812736989985
TZA,-4.092376615251674,-8.254735734585156,-8.09592059343796
FCS,21.993057237425543,-16.624045505754545,17.256922494150498
