Country,x1,x2,x3,x4,x5
MDA,-6.228446680091927,-3.4266596185053126,-14.10016510754584,9.075249437752646,1.0088487934392634
GNQ,-20.495367298449263,-7.400708837574408,31.779673467462878,21.55393861295147,24.023524237265534
TMP,3.759539708336842,9.672397220819906,2.0903899263537933,-2.019215015454393,0.7067543006806332
TUN,-41.17164633990987,13.61517300970992,-3.9191049552998423,-8.72438933613174,-1.2849334147439522
YEM,-41.412979203209204,10.006384169543312,-2.148602933509082,-24.410176613103847,8.41218283539985
BDI,-40.06843280260135,34.33612558547892,30.446944435338484,20.80572848745008,-6.126065231658371
CUW,-6.989237168228132,9.208427341861885,-2.920899590863921,-0.9129947761937439,5.394785153802682
CRI,-60.60382989826415,16.92148366345544,-3.720703943406737,-18.134230218722248,4.887389084690327
WSM,-51.27563517660034,-0.843427458535943,-15.641313076470581,-5.15975573272308,1.298503341391522
NPL,-48.640290751193575,24.836238740987476,25.667797499856647,15.435532731043144,-3.4236589487969793
EAP,279.62683824955053,10.361696403840083,8.085446912826734,7.097472160264749,-18.444641650615097
ERI,2.057409979127858,0.9259871424874482,-8.804687389726809,48.704517793027144,-6.585853721499248
QAT,6.199860309778904,0.1924875423174589,-0.19093942052409332,2.062262598487559,-10.146302547893955
LDC,14.1261322311671,23.77122873464138,48.796029398771516,14.097964678380974,20.593387962294297
UZB,7.704345042155286,7.220299905075924,2.1812484177352345,-9.986385418553043,5.558200232710789
CPV,-49.609372315801835,9.524099573018344,-2.567143063089495,8.03241633383232,-0.97715799136474
MEA,25.936779711678025,-0.3073667340240686,7.51954103846499,-23.394187769408617,5.251108502932393
GRC,-14.530158176361182,0.7018229577959268,-24.842609957918697,-20.780059087040286,8.353400826118838
BEL,13.159676242909862,-20.941949187988783,-33.65117811937149,-28.900090681654525,1.766166494847691
WBG,-6.976528006585413,-17.52170801135005,5.8201308560059335,-26.411527320070242,1.5741591012263503
ECS,30.677157413417298,-84.29519182891914,-5.42674398657338,20.589320882696516,9.47486015215535
ARB,2.9427979455484365,-4.059656203269342,17.735192896592107,-9.929123455409194,3.0816236753842876
AGO,-61.327888559198186,16.810150002402604,17.35762654297801,-6.227677547339554,-5.649750422677041
OSS,0.30409169487640586,10.066016417858535,8.956688357164724,1.157736835793465,-0.18233915314844673
SLB,-44.165710970251574,16.609803638788012,19.51296947527635,-5.636349075769273,14.21623592708418
STP,-41.45955314160709,-5.3792748439491485,-22.260729487397736,-41.56148956722852,12.314828385889829
BTN,-41.19464183055797,3.422115337235673,6.305450689929798,-15.506263427661322,6.938897869001386
COM,-43.96878816624003,17.40748851112206,-15.019953004021957,-32.710850425625004,14.49114972389916
BEN,-52.18910237746875,34.09395297179291,44.230254292421435,-2.396903740449183,-2.0325938688543577
PNG,-45.139085183216274,-1.1534180821780564,41.181580377836724,-2.671962765540726,-10.270579919376118
UGA,-28.805605858954888,26.71814080442136,15.012577011154951,7.432952673789498,0.7931734300037699
LSO,-41.90027241049639,-6.064112847037539,5.0434494217297985,25.857192316643896,7.372900264777081
MNG,-15.553844430419144,0.8978278526832191,-11.001407556611897,-24.262522881731822,12.03976699779434
KSV,-4.4967503850514525,2.04359737925438,-1.2931606473330912,1.1648479491282953,-1.6918471528266346
COG,-69.28573686961053,-4.564471917009863,4.953659593961429,-13.890949652110905,-3.556563038030828
TGO,-53.568633647006415,36.299051960412555,31.732336199529694,-15.289360863660894,6.918943990275085
CHE,7.079555721995956,-13.003235016443453,4.970396440741821,34.52239802550395,-12.074191560869252
MNP,1.1454694643992953,-1.7056776076671807,2.6234767177778786,0.462657192353407,-2.9146135297838525
LBR,-55.64193270260017,-9.42663645144978,-7.141333143908982,-10.357492766444098,2.215527946963786
PHL,-23.822203069969152,20.63538967686202,-5.460725213456598,6.012744462447043,-1.5483733328061944
MNE,-73.9123110521288,-12.027187549046047,8.956653985389437,-2.7042550212929393,4.3130279423496845
KOR,19.095187456552296,-133.64530552320983,20.760579669838833,-45.107256711341066,-61.35951472288862
PRI,-1.5506518044629256,-8.186159729990486,-8.404001234189984,-18.882709119511667,2.3072101761039296
FRO,8.25414073172538,-3.011729327649218,-3.184738653714405,-2.1123213934198026,-0.9074955142220258
DZA,-16.335866075303098,0.46513936335383715,-12.608083464053408,-9.514426907456338,-14.427189526900499
SYR,-27.026729669551628,3.2880884940386257,-16.195139264374873,-17.631628571855178,7.044485956118196
CUB,2.1894685446107247,31.584829890996925,-32.70971567092153,3.3154522772619344,3.6985512288980145
MMR,-48.307495967609285,3.651626825948944,-2.513174791809818,9.072255463965428,-0.4986062859107623
SVN,-0.5308770850923609,10.063878487415272,-37.01471733208634,-18.39329686591975,3.13882091708638
PRY,-68.91343158491877,1.1395218250750652,-1.362173454178537,29.396583352941366,-10.252474057657757
SDN,-24.42440354870452,23.71924400435616,-18.061864292125204,-10.245867274504656,5.702583552413933
FRA,-4.176279021300217,-23.31433726123567,-22.709176465643814,-10.205828702757723,-5.664059021858905
BFA,-50.750023706779345,46.21610411892207,87.81705493657863,10.20739710755545,-11.186346296075781
CMR,-52.4979987587101,32.81052087982599,10.613945503171337,-18.231695096626733,7.052037584177148
GUM,-1.7701320294535121,3.643271205864408,-19.06557447009234,-1.5026077614766173,8.539814187661756
TJK,-10.83438975146055,24.808560471012242,-12.69562128790297,-11.35869197995693,1.4866162115949813
ISR,-23.729557205617585,-5.4516394969024935,-8.491469097976053,-20.798195806036585,3.9537020376849967
FIN,10.154764425909931,-1.5157590492734705,-48.26920755556558,11.541351406009612,0.8607736424058121
