Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
ARB,-19.40051647609367,0.55607269958252,1.0296753021242813,-2.698130870478782,-0.5148634443756219,-0.41681686435298587,0.45984940140265274,-0.17828919668868928,-4.6258652345560725,3.675993074542152,0.48999891687235464,-1.520123662605183,-15.695656142431949,-1.26178990912517,-2.825417202108241,-1.9566667459521074,-0.312675608510784,-0.396653180748951,0.11128743501038683,-0.6600244737037223,0.44226079246970335,-0.21855157101785821,4.547660429516872,4.809484832978228,-1.0387783544445122,1.040380610274598,-0.9452193611546205,-2.08621999702219,2.935147281591253,-0.01981009969371967,-7.402688514981567e-16,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,-2.2522606683494557e-16,1.249000902703301e-16,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
CSS,10.513659537402475,-4.210486626329054,-2.572007725591128,-1.2030909340853853,-3.1050284533947465,-0.3085727201921234,-3.7521194361715957,-0.7150006660233217,-2.1774626823609182,-1.2513975974156706,2.2874011211293124,-1.4940735697818242,5.9358940782312315,-1.604503136815094,-1.1556557855315404,-1.1517415599527725,-0.24707155263285605,-0.42792632487677934,-1.6189476840258832,-0.27760510002824074,-4.6197155275980135,0.04774255939465143,-5.755260895401818,-5.989367416254602,-0.2262952144523523,-0.26209298070026266,0.12639671595514818,3.9239628595217173e-16,-0.6059152975749492,-0.1688749715420263,-0.2563522680784921,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,-2.2522606683494557e-16,1.249000902703301e-16,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
CEB,15.45819778422249,-3.0318815519868383,-3.9737541146583357,4.885212228765881,-4.090315160358785,-0.27439133094291557,-0.633660377490215,-0.8818540241978394,-2.1919887331651537,-0.8647753237238305,2.7327353718701657,-5.115733544841408e-17,-12.676306197188508,-2.2243201741323895,1.1425806994501004,0.1299958729741291,-0.7606717739276981,-0.04589504929989384,0.08409386507979838,1.3889902192097274,-3.3740138124327244,0.11866054502005177,1.0737545804935928,-1.9687028176803685,0.04414342108626909,-0.20030544981223414,-0.007291974863775182,0.7718693961256855,-0.3502859211726348,-0.038986823214030804,-0.4233250413463486,-0.02355722407685249,-4.44963193333968,-0.3229306082238745,-1.6576666237146291,-0.3003875347194232,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
EAS,5.341649055742183,16.386928014476062,3.766850393729685,10.279291274839062,4.089760525251288,-0.5638551482642288,14.317244287723728,3.9313951305779993,-1.4530264512659432,3.416132081479435,8.70603785839116,-0.368094361629692,16.338275941359605,20.600234865007955,-4.967366620673605,3.8837273814151647,1.284558118389351,-0.2181804099830371,6.693137036616216,0.267405503071977,4.599214219089172,-0.5905650543129983,19.390592804723596,15.305568287880494,10.638297221566727,0.41173958365233876,0.6331278058465104,-1.1493029440257247,0.2547063000688152,0.09860652249605946,-0.7096738882347626,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,1.8298953466792665,1.625878021791681,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
EAP,1.9578278881339206,5.1036251717719985,2.2997046091791273,6.810674871795762,-0.43016736144716367,-0.5800486545705567,7.88007717392431,0.17396561962959992,-2.607153142003196,0.7595858193147952,7.658259674929558,-0.3013929793474427,17.74031448149987,-1.6007813361383243,-4.942621399109516,-0.11370734851320233,3.3306909585548965,0.0249471589492912,0.8195317591730438,0.13551854126397678,3.2686559132170303,-0.2286713015818928,17.627129166283886,188.5669938494302,1.7367958012281033,-0.04071817264484962,0.8160623398053334,-1.6838450066751003,0.21164489501596973,0.09860652249605946,-0.5614019814363106,-3.7624224723408085e-17,0.9260325818489065,-7.55404407269333e-17,-0.022435077525111095,-0.427341206201163,1.6304906542131614,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
EMU,29.04012639907384,32.33474622021399,-0.06276447194278778,7.542731850864813,5.058029246851601,1.378108393898196,11.006221383613443,4.266602599541818,1.4773030301300434,0.5570452848590849,1.9830134484541073,-5.115733544841408e-17,-2.031368265637306,32.94009321993033,7.3361390700487945,6.517297837761682,5.2854296703737385,-0.45859750861335014,15.93181901723278,1.0904088159096526,3.9848320702436837,-0.2488687315600438,-4.838033996830278,-4.066429684821555,5.647307333835098,1.6009953891748172,0.7513419446834111,2.479432305219907,0.12833848608385773,-4.236155994477845e-16,-0.6364883957765511,-0.5535947658060318,-0.5038058974061073,-0.49586085554589887,1.7272136741815394,0.9368372829139676,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
ECS,24.438291128651677,36.82432691345883,1.6391010918445854,14.997171011614133,7.465948479736179,-0.020889091871984396,17.964251596646108,5.057923923060271,0.45993132281030613,4.520164773515353,9.125419589082078,-5.115733544841408e-17,-2.921063120919687,51.00923599881682,1.752644921757529,6.991037452618118,9.624559353321844,-0.2908703850671832,26.87663183332087,0.2817572798528315,4.955643748892927,-0.2936841593937362,18.242998627957732,7.541607265690115,12.139681143032297,2.68734765011511,0.5174647235769111,0.7706946414376391,2.16570626938625,-0.12426659071278204,-0.43879252004528296,-0.421085380373737,0.781941529239792,-0.36613144656472796,4.5484738355602525,0.7962061668819709,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
ECA,5.25608417281825,-5.715124788846869,-2.822297642563487,2.357804748694352,-1.2812248284547103,-0.36263740958748447,-0.33168703066881855,-1.1070117151230745,-2.0983731641619574,0.9173410235100534,4.2302082293017715,-5.115733544841408e-17,-4.207688711018468,-7.137777075700733,-1.335730221059468,-0.8760230324433539,-0.7805471459433821,0.1134368684532079,-0.766983407268497,-1.444823430618846,-20.929179278519232,-0.5417621347456006,8.558622827697898,62.78988585985209,-0.3854623288221672,-0.22934893671354525,-0.602810525337463,-0.8826192900450605,0.735481060965031,-0.14149354333535688,1.296537944706966,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,-0.657549589165618,-0.6207594737666652,0.25580251871057397,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
EUU,27.326661282207628,37.682067551670336,0.43660930751240323,9.098986719007579,6.390426493345179,0.628629986344538,15.006435883795373,6.66206825700257,1.5121857032561647,1.7217219810978386,4.306664124317502,-5.115733544841408e-17,-1.804086186294016,45.311644933027736,5.217274640141845,7.605741552181701,8.367231556268415,-0.446289679592322,23.46296879806479,0.9708759883611351,-4.532954169231372,-0.2857193207210637,1.0511338275835411,-0.46281192863180876,9.032143761071744,1.8852745360681478,0.7681061966091136,2.007224718323143,0.5807647763913953,-4.236155994477845e-16,-0.6013826958871583,-0.4961740321187041,0.1528587351174048,-0.46927573844262416,4.021335392043039,0.8806438735064906,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
FCS,-48.64817486406203,-3.40908340975988,4.7240262566932705,-0.3414332557149804,0.037731682516662965,-6.47135345904503e-17,-0.6870092198988319,-0.4408744080631545,-2.6809216226765185,0.6529965460176823,-1.873698029128672,0.9802322350512246,-2.56156891990524,-2.8615975171050665,-1.4941924696888575,-2.4125338481377527,-0.7878581375442568,-0.2056109352950603,-0.3653104811569459,-0.9204432883758941,-0.46214674563762087,-0.3449955141921396,13.87407895835266,10.119198253400098,-0.22082084942334676,-0.21993840964308864,9.288564653840225e-16,-0.21701601744382737,5.7784730821777,-4.236155994477845e-16,-7.402688514981567e-16,-3.7624224723408085e-17,7.045946846216657e-16,-7.55404407269333e-17,-2.2522606683494557e-16,1.249000902703301e-16,3.6498581934552026e-17,4.3986871685845766e-16,1.898123235649461e-17,4.3968893566709707e-16,4.133809134242604e-16,-5.963439618660181e-15
