Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
ARB,-17.832104969326327,2.596334482292911,1.2435465506340297,-3.1935721372556296,-0.42027245441847816,-1.0611888433844479,-0.18791367408600446,-4.6435606184678955,4.4425796742081864,-0.02561829770846749,-1.549442688093126,-15.578391438056464,-1.3817489098101794,-3.052650626471617,-1.9006213363718423,-0.3125681656122895,-0.1639573175444132,0.08408402077596404,-1.673518778555739,-0.13845508594374112,0.45295523759590123,-0.11879942015791635,5.572157861373224,2.3224488484886545,4.436335109860303,1.0560085643417745,-0.8600094232093065,-0.1801734858292307,-0.018330678960035443,-2.6586894032257194e-16,2.3438041630975528e-16,-3.706400772698207e-16,-1.9186592350168877e-16,-2.820863271332679e-16,-7.401486830834377e-17,7.034042824082434e-17,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
CSS,13.334516979657517,-4.470848488655891,-2.5404679685034397,-0.6461163970339244,-0.28154031071785607,-5.93102793192538,-0.7160385380227726,-2.224046970646697,-0.8902918655796735,2.1786347298609354,-1.477466103549769,3.452692848714372,-0.28443303207044707,-0.6713293085720898,-1.161695839858723,0.04475465288715014,-0.17206878073208473,-1.6270163930397485,-0.5996687021421347,-4.10843404370744,-5.0224809805108315,0.1858997876748102,-4.935062093314634,-0.6375729355091879,-5.316866974714506,-0.26402438730872874,0.1569829226305036,-0.22524867770767018,-0.20632321150801036,-0.2243961852032336,2.3438041630975528e-16,-3.706400772698207e-16,-1.9186592350168877e-16,-2.820863271332679e-16,-7.401486830834377e-17,7.034042824082434e-17,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
CEB,18.17622437912759,-4.260807880142778,-4.069474029987897,5.062264312144696,-0.2752169189379679,-0.04445900498329807,-0.5636476164814409,-2.149930668522742,-0.830540720672666,3.2550197877302707,1.1486975054018084e-15,-9.639419499367339,-2.597430177170472,1.0115721767721584,-0.1990015678508505,-0.8635443025646731,-0.09934347710049489,0.15740125636668123,0.558520312173469,-3.985976303621789,-3.0255675939227165,0.04807333254945082,2.3984389247438136,-0.7410517596046308,-0.2924028536384324,-0.2263688764726241,0.14414841218462815,0.2209646825132751,-0.04294089938578705,-0.27719878072883786,0.9099565391992213,-4.127389664548987,-0.3785694400889019,-1.5674303354013737,-0.26879580963295857,7.034042824082434e-17,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
EAS,7.743639896123269,22.05058702133888,3.6039566575771236,10.796061034338603,-0.5591785394779908,17.643792269229046,3.779044933007716,-1.4895250761912335,3.6938066292843583,9.488372215833786,-0.32667800393905705,17.371662369104104,26.161553426273084,-5.00591278471636,3.8919023983034884,3.0755168574289318,-0.1600953242430437,8.117457170337866,1.5492403266199994,4.348223699002118,5.297139320105748,-0.5576360025528382,18.538332399031606,0.128707577716241,15.580604918493743,0.4440886396864807,6.97260770469321e-16,11.43889745341806,0.0461559845498907,-0.4529555247173719,2.3438041630975528e-16,-3.706400772698207e-16,-0.12350338587158047,2.739190790213707,1.624815444285743,7.034042824082434e-17,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
EAP,4.233264765994017,7.480572484328549,2.1988155697616145,6.175482967026126,-0.57585554842866,10.092149853761127,0.21099833378719082,-2.60486088303555,1.1573710353127686,8.68495212028796,-0.25858582152566223,18.839093131663095,1.1327349499219175,-4.977234771326274,-0.30690858401358156,4.1351675371897025,-0.1395531351425641,1.1601678980137984,1.0475685487560313,-0.6546962987115525,8.766439133851689,-0.2401207913935702,17.24732770257346,-0.28624406361862276,294.8239804298256,-0.10989570838279947,6.97260770469321e-16,1.7625628987474316,0.0461559845498907,-0.3274819804698742,2.3438041630975528e-16,1.0699976705977603,-0.12350338587158047,0.07466449113086573,-0.49487706477100346,5.697133159822188,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
EMU,30.626451022286194,30.3979209042568,-0.4945180077584338,7.357773844602526,1.3369094375266666,10.672890325846303,4.085914644506028,1.1158874239253134,0.1920190537355843,1.6710114116497352,1.1486975054018084e-15,-1.388220924048769,30.04266965876208,7.488111657387012,5.8972548401682365,3.464631896820446,-0.18238515328292035,15.219370066360934,0.8221514003162572,4.561656124195406,3.841681714969184,-0.3103367365570846,-5.460706530958736,1.3418309691367476,-4.0839819052331325,1.5815764625470272,0.8445497744082044,5.442857215764926,3.719704560906866e-16,-0.3826941914388706,-0.19286215357929493,-0.7974516166040946,-0.4671488100531044,1.8473306141130772,0.882978356256044,7.034042824082434e-17,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
ECS,29.430311720110677,35.21480675506206,1.5545383840111515,15.873949699497802,-0.015379652289188278,17.884471657570657,5.149768573438893,0.11370545377168084,4.329729917196868,8.917781177639448,1.1486975054018084e-15,-2.623292445640313,48.81660133257016,2.557299239175642,6.440295902849151,6.683495668561438,-0.140626654017766,26.028877708277737,1.166234557840424,6.985053862730955,4.752912109756749,-0.32809234492301204,18.755319055475226,2.6076418409009747,6.830838775568977,2.7329153537585795,0.5384987211155621,12.501831309570097,-0.12055140649439444,-0.2925360849126891,2.3438041630975528e-16,0.15907291536017606,-0.3620261854278104,4.4659596283296485,0.8156290687087787,7.034042824082434e-17,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
ECA,8.850767323447416,-6.4566543935032925,-2.8422956378567394,3.151622621280879,-0.360972675476314,0.3299075330183114,-1.0915241057515126,-2.1884237053795395,1.0188928389257754,4.442063265925288,1.1486975054018084e-15,-5.007460667686665,-3.7217261806973636,0.3465462613931525,-0.9266876614131535,-0.9766981203261508,0.04259878480974649,-0.7585454471143965,-2.3029201075300936,-0.7484936507276944,-9.794184032159315,-0.24398289270349996,8.43027366483041,-1.1469429653144103,61.28802569760682,-0.22649298733922446,-0.59507069466127,-0.19684509589202587,-0.13504168665806035,1.148100463891428,2.3438041630975528e-16,-3.706400772698207e-16,-1.9186592350168877e-16,-0.7953994960576741,-0.44891658567672804,0.22295524932639332,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
EUU,30.94400602694602,35.28385707560285,0.14899701378277774,9.094279190377286,0.6015236515875227,14.661165082455058,6.820416106756873,1.1032663577380541,1.432967423217849,4.1187039447948415,1.1486975054018084e-15,-0.059642658051295094,42.25474958856191,5.318805215737671,6.896483740616452,5.38857274324859,-0.17629796137879136,22.476954569106432,0.9045521908891286,5.852840011322434,-5.831669303846183,-0.32550063549412284,2.5515372287505826,1.6614424801859333,-1.0026575690065032,1.8516634300991768,0.8776923138723615,9.04050957297112,3.719704560906866e-16,-0.3621438500547812,-0.05125508407855165,-0.30077261453563525,-0.4595772842298605,3.9472561629319056,0.8932260453488208,7.034042824082434e-17,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
FCS,-43.60348046600371,-4.149898825260593,4.775702072633028,-0.8897044700061281,7.480647117795173e-17,-0.6285515158790603,-0.4398573793100148,-2.4024411491605955,0.586149418862246,-2.1936388185406237,0.9670205142105509,-2.563943521266157,-3.3000568617385713,-1.7064231283324487,-1.827133336030137,-1.025427369291446,-0.11532285704175246,-0.38943925012892067,-1.0902798821728086,-0.5534030384827924,-0.40255185283129813,-0.27362156979947216,13.74682441658128,4.656404602055816,9.226415690825851,-0.2223715089043795,6.97260770469321e-16,-0.21926901369670315,3.719704560906866e-16,-2.6586894032257194e-16,2.3438041630975528e-16,-3.706400772698207e-16,2.2582651418759006,-2.820863271332679e-16,-7.401486830834377e-17,7.034042824082434e-17,5.58736722255918e-16,-2.156802691150782e-17,4.427515917481046e-16,-1.2188831504395336e-15,1.3091743408419001e-15
