Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
MDA,-10.681915520136364,-8.195873042158922,-0.4100073429409117,0.2737507986962568,0.6349364706354388,-8.219631624020781,-3.101711358414404,1.83813582792947,-3.4182972587130735,-4.822605299085573
GNQ,5.976055483085637,-0.13511120212582983,-1.8129483220670244,2.5532392761624556,-3.6157236500801107,0.0766174965103072,3.5419292429156863,-4.30854438509749,-3.651360142414137,2.0969176468045294
TMP,3.2775763990556412,-1.675971322270648,-4.258410024007411,9.12965768881473,-9.334885447519584,1.0293603032287117,3.1843028801979636,-6.259213357297748,4.219464434563569,5.7266390318477915
TUN,21.439355330192228,0.3716606463176272,6.072922973753085,-3.649381609100662,4.798935738533463,-2.3176238673139697,-3.8653875195301235,-1.3973518694235243,0.31145888499953295,1.1441811961599604
YEM,21.996677517657897,2.241427174171023,10.873221725178112,-9.732639892695952,1.0837262827376195,4.2892844799499565,-2.3571904615406933,3.666394734218321,-0.6735802071933952,-0.2752996465088927
BDI,18.295397903231457,1.9185383879651423,-0.7692921690819664,-2.3326057383996304,13.492267908530945,-1.6048344003093693,-2.9678078921411974,7.611032147272492,-0.935841610738041,-8.666177916203948
CUW,-8.047832917170986,-6.885015180802054,5.440650432318714,-0.7678180012820721,-1.8857914895340546,2.61610493997122,-9.701499372049511,-2.1017747777100553,4.163287689167589,0.7461566060225179
CRI,14.759052425391264,-3.11539604897348,-1.5174133851167184,-0.700118390192274,1.1237835780187082,2.587935740313779,-1.3773744496756184,-0.41083619101676805,1.3958480764846943,2.3068213043317205
WSM,-5.672072304175173,-5.121840664910141,-1.4443186136402097,5.950174591534162,-9.771330063372996,3.718726882285696,-1.6341585857643997,2.65520201788949,1.599599482208193,1.476707116590055
NPL,21.490563127706807,-3.278635358012435,-1.382111051050375,-0.450412538499863,-7.539478207893905,-1.3071330048042538,5.658317217953337,0.07037696188732939,-2.8728936271588883,-0.11173261708191766
EAP,-3.8080907299121654,8.743528750203918,-4.647867224658278,-7.260984136712799,0.7558834267249733,-3.162746623321423,-5.477011668374375,-1.870036541327665,-4.5486903663704235,3.601272528172033
ERI,1.2260793561905041,2.865184033475112,-0.45417212407468205,-2.73742607231445,3.3901343137340945,-3.8184061420184996,-5.01662092126355,-6.364363227066914,1.914051724995794,2.3571431385968658
QAT,-6.488681386138187,0.16965899227992587,-1.4400874556975596,-6.15223415771542,-1.809031636480108,0.013690990227396326,-5.966191485607006,-1.6617063720361462,6.380503060197666,-3.778132775656693
LDC,-5.159139900021158,8.63266303136386,-0.8816315861368533,-0.5453818921962941,-8.743883968847479,-3.9510362675572224,0.8714286507256923,-4.153745918625693,-4.613843159043948,-2.473037978860379
UZB,1.1634160627905863,4.6915109553229,9.362919914919376,-8.931992601220152,4.668179743415252,2.0763068286409907,-0.5791248468724066,4.115085879931344,-4.587228747797616,1.8027691890634852
CPV,9.076033449008207,-6.427062596091256,-4.376068739535522,-0.30893816466076723,-4.107453485449829,4.4839929900026245,-2.0337825776852765,-0.2480168166559085,-2.782251799407237,-4.9237423059065755
MEA,2.749586009356915,4.4384967975199405,-0.6135415411315854,-7.565547692489484,4.594220689503521,2.016478562449516,-1.4365857468336642,-2.6577764675637563,-1.3850686302878275,-5.465117965434497
GRC,8.826336456475227,6.377035455163895,8.759711069685258,-7.807036311691179,6.79725195707265,-5.389576424522183,-0.581482185523163,-3.70543874312012,4.062948672756203,-0.6061260297772348
BEL,-7.625862814049754,-4.028103419157852,-0.6983590934415982,-5.585092404444155,0.48130068506959717,1.024334148523655,0.42313065549637185,-2.6836929965061356,5.807482545477034,0.7196969065879041
