Country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
MDA,-8.744851940502679,-0.44201817520306835,8.636385228658304,2.4495488132015284,-3.7107616295002863,19.94952167455607,-15.619685759750402,4.812934968815977,-0.38742235163345756,2.530151046412404,-0.15287187585127593,0.8347153105868993,10.41870909805833,-4.525563990260102,-0.8596163689295049,-1.8861733332016073,-0.9369588430402207,-0.14968511524204658,-0.5104853560551585,-2.1412280091297644,-1.8687246298341476,1.5831251316232775,-0.917354042536538,3.7314276238033073,-0.3624877281932939,0.7568276043882924,2.519735198362456,-1.5681116453671369,-0.19117594835850227,-0.07346178087774141,0.9659823714341259,0.23870015755741814,-0.0015501401345605053,1.6865742590269783
GNQ,3.018386406753595,1.6719075863423714,11.284714349037007,-0.5462613064749787,-6.508506030012338,40.64981475525414,-46.60811304614037,9.417419440259883,3.9362025157528207,-1.9990550327566017,2.94362978328442,-1.2090233844361937,-6.969697047461987,-2.5594113379268153,-0.7171670952471277,2.5045212122939695,6.459812777032014,0.35505774196785134,3.898711966416905,0.18291250095286427,-1.2007530676396045,-0.3801203130508659,-1.4577541503866904,-0.5626451619112668,0.9470572353792345,-1.1716772468823449,-0.7640027115037289,-0.06039361831756403,2.4911794298475956,0.8872915095951638,-0.16590829932056472,-1.8541546088607126,0.06554249802011977,-1.4992061834139676
TMP,-2.3729278284820836,-0.7563915343426426,-1.6139427554419874,-1.1550119551909708,8.657423203642006,-2.143309981837694,2.9865435351210805,-12.00142118485988,-2.3680646757225645,7.952617131988693,-3.5037958647061926,0.20376703719763367,6.855129025916541,-4.439819052370299,-0.3703053088137622,0.5457774809367991,-1.897637077265786,-1.6994490824008457,1.2398926739017604,-1.8594395094395488,1.7294319859880762,-0.48695866028508883,1.3398442076805173,1.4754766402387647,1.6963374594924805,-0.7814152569814458,0.2264991258221165,-0.7481689422322426,-0.841448060172314,0.6899902337014455,0.6625723864074667,0.8885772934724949,0.05216185412655492,-1.288238854129344
TUN,-0.5771124077832708,0.07728795043610305,-4.993629522678086,-1.7793382330298115,-5.994649268857132,-14.189286911469678,-8.563881605898349,-35.61838652200933,-1.1279712212303508,-3.9741367420698683,-0.6074005426144007,-1.1745988306344701,-5.8078742220050374,-2.7490417106867606,-1.9018337470794076,-0.8123506337182878,-0.22886702411548188,-1.1604649438052765,-0.11823732679659726,0.17064906027313276,-2.2556046220275525,0.5509564018790263,-1.2685222858159872,-1.7962912266093822,0.7937004370223872,-0.5874315151228128,-1.1360806152918446,-1.0688581731840392,0.4519107886671701,1.0581142283250349,-0.16575525150048875,-0.0647362356990522,0.08846081095398937,-0.16427633632007205
YEM,2.8770541512627696,-0.9453185534231004,-1.2072819737401859,-3.922496346610479,-5.058915855739632,7.379952522766039,7.089605168463033,-32.87369269544425,9.067879520278911,3.997774379642894,-0.5882239153035458,-2.9182829928607363,-6.45686870722118,-8.017814414512,-2.919818235375298,3.961344227271791,11.368355046478507,2.1425436292261155,1.2128642998740156,3.6756004304134775,0.9393870288398647,-0.5464690225274041,-1.4279966505693433,1.0041130739639952,1.0065160792689019,5.122040232917376,2.6348115988128944,-0.8597944754345203,-1.0978819101844293,-0.4085195755841977,0.6702205654235522,-0.25050631573271454,0.0217267875374137,-0.3366105805809709
BDI,4.668788225246934,-0.7127635564032228,-83.56090494498814,-3.5729588014356084,4.910432457673674,-5.677669790641203,-16.63447738043592,-37.39442752292328,4.218541382871675,1.1702485673960439,-0.10306048462431772,-0.5180358460143475,-5.734080598170138,2.7972859169847033,5.86349517373733,0.5459372191362339,-7.5813563672667,-1.2307057527035539,-0.47073603636820294,0.1351558140366996,2.753121222480197,-2.7528790072924565,-1.471702827217237,-1.717372631764982,-1.1868917326116883,0.9019866627962964,0.9085396685625784,-0.3832309020410152,3.6660455934448795,-0.7974805914390276,-0.16569281961893442,1.4039041096970846,0.025555606545748632,-0.6953147404404377
CUW,3.1451280039337224,-1.4096208059931414,8.655664190893756,-3.516013316747305,4.286804226261218,2.732645207596055,-12.3421427012731,-2.063310149429726,2.5652452929836107,-2.412298063699485,-4.427986794934786,-4.874598567268456,-6.469213564296036,-4.159628805324852,-3.741908942438183,-1.250234385185009,4.301961981001417,3.8315927890255153,-0.47645924962433384,1.9109812677231957,2.71275653966347,1.548024546753914,1.4244937895307594,-2.2202989162859774,-1.13171338730736,-3.013521898428948,-0.9358844134281008,0.6050854673504407,1.0030960834287066,-1.2235113101720723,0.8820684837341941,-0.25960782776693386,0.045625224210388754,-1.864002109327332
CRI,-3.2519127632327627,-0.21646054383792138,1.374008117030366,-3.955173892009623,3.9529745820167,-7.329610416430759,-17.74750775012748,-46.49918764437366,-1.348498282302941,-3.103980997625651,-4.63284215576804,-4.678036058266478,-5.136527840618067,-0.1427438741135803,3.8283191768363096,-0.12681522977392568,-2.1812206314861666,-1.1372042992162918,0.07156245055039981,-2.228654203011605,-2.0359310473647696,-0.8691711038748537,-0.9187798027809204,-1.858289340898608,0.6610595848246116,-0.5679215657681349,-1.590202072087363,2.5291952517047913,-1.2576804267759731,-0.09634662446384881,-0.16591019877031615,-0.6186012334858854,0.06717176836222287,-0.14931393433829176
WSM,-0.3582707131334686,0.45835512222822855,-16.567029722691075,-6.558504392854788,-1.208494215710154,-0.9379540352174592,-14.315337310923098,-37.45912910952643,-4.517691347071012,3.5093131427324185,5.145246151362924,-1.212048650020816,-10.055433245911223,1.8348015874192019,9.705799819095903,-0.7980400075277134,1.9948930227505173,-0.5498295301939251,-3.3001363023249835,0.39580832886429995,-1.215415195287322,0.38247005072726953,-1.3250354326620346,-0.6281024603789418,0.7493520889990388,3.66353711064884,1.6073549392691298,0.6712803571614185,-0.29818583884907635,-0.1383541650669464,-0.165922008154629,-0.8545660032244762,0.042856745395735314,-0.805766506954619
NPL,-0.1902947989133228,-0.7839532071366714,-33.01526758006398,-6.275981446335757,4.38899122993294,-4.743580892338574,-20.600884796628183,-35.56423337229088,2.961537114188829,5.479974028935748,-2.9417227116146614,2.9411377001591434,-5.021382024361809,-5.115999162581079,-17.8942493537606,-0.5814500092866297,-5.3090201849106915,-0.9113854066721633,0.3921371499219317,-1.7262541366645727,-1.671136744745954,-1.6979155757258622,-1.4685674857134734,-0.46530169853005726,-1.117886739757345,2.980319560931828,0.33731432287570806,-0.09654009540989783,1.5718453386196745,0.9253828871825385,-0.5275458241764772,-1.6469017723301564,-0.0904461499132889,-0.6961195337463271
