Country,x1,x2,x3,x4,x5,x6,x7
MDA,20.00236528530391,0.20116631684499064,20.889576505395784,-6.486027818077823,1.7424936071743082,-16.604712096438085,7.4446204412417405
GNQ,18.924614632852492,-0.5086770432139043,-38.20518492565435,-37.78727252198735,-7.247708654223171,-13.370477477486286,6.3988199171580105
TMP,19.686546508681825,-9.318781699039107,8.510958888782417,19.874611023026784,-9.154894086386133,-15.514315819802777,15.827208597446683
TUN,19.504131365714127,5.371760053760857,23.91136548358079,6.007476224725795,-0.17245974692940347,-0.8653692645546461,5.8850280734167555
YEM,31.94376620312766,-11.41734874305268,10.633755476265593,16.141016236851506,-3.9493015153161153,4.481735404725159,6.343806168498828
BDI,23.049514003020082,57.82385975273232,-58.49899120415991,-13.33896633396709,5.711152138563614,-2.745726827784727,-9.166355895364848
CUW,0.8229272323455118,-9.252155079584071,-2.6661716468800236,-4.816251631642742,-20.13136659144344,10.568556388426213,-2.7778190024694984
CRI,35.79872131367423,12.564511278812638,22.16602263020701,4.056385777111946,6.258115440230684,-15.485041899460654,1.4152335394750086
WSM,30.879143037152964,5.278784346958482,7.7708367507878275,11.88822658786352,2.325391662890786,2.6208026250440306,3.717241307052586
NPL,35.0731867600163,19.6198165352167,-18.80199024484966,-9.785422114047506,-2.8342307374798437,12.690615617981594,14.244843978900201
EAP,-159.85845243769498,-13.442009450602004,1.3022766580077871,1.1078992042915077,-7.732376238638978,8.311226823928944,-0.5800322785401729
ERI,43.287023922255905,43.14294020226198,-24.35843823891126,-24.08991435095051,4.09451460977313,6.345895716513369,-8.136560248847978
QAT,2.720184330768176,-7.5220198409624555,29.177330944651388,25.629225952016633,1.5217357076571598,4.401039539781039,-6.3499745094519975
LDC,-27.489005407616983,27.811911442472752,-48.2083555195042,-7.321747071275545,24.797707980338366,2.1305242541545906,3.094812616657705
UZB,33.58512362421386,-16.704592680607988,17.13362957149969,-1.729795892018386,2.4770730438001687,3.755971745946618,-15.793999341064504
CPV,30.594084107201788,-2.296224529642897,4.627121740199957,-13.632615617186469,-4.189361202679492,-3.5604809518753093,1.8829817162570217
MEA,3.4690106217376906,-5.721905222215164,-5.6793596969936315,30.434501069869516,6.072046294685257,-11.618660435494267,-0.3773306785410657
GRC,-3.2853202924438856,2.6043463376891784,19.414879585134234,-0.09604129488683673,2.5504663062285067,-12.61356741727154,-8.90842896103015
BEL,-6.9420547305603835,-13.47324817570542,35.856153422929296,12.739489857867103,2.2175746413744934,-13.985817946237411,-6.167319396389612
WBG,-6.242016120644639,29.3594145233071,24.054372120062034,29.580127523408244,-0.38452677833416965,-1.843970359513437,19.007705960859003
ECS,-38.017981884240164,-84.66169588186214,-2.1330648014567486,7.45192914149353,19.91967486511853,1.6239327062432596,-1.1113548721421997
ARB,8.117196777001277,2.2508636896076104,-21.530966582485448,17.526543448711667,2.5980939176053015,3.0952548478489788,1.4499509469645648
AGO,25.522425141690103,8.616544767538873,-12.8373455497621,-7.213078601544661,-5.897937752759825,-3.61157743192684,-9.91845677180082
OSS,22.376138654307475,21.543228342792805,-19.270076041983145,-11.399572875463463,3.6265441463196026,-1.562781079012511,-9.951113188251027
SLB,38.54957751496856,40.56902620187138,-20.744417380836307,2.2735027744952188,7.775208571613267,-12.32064679193016,17.91633417149479
STP,17.9919201580076,-3.1826217570832505,24.97286148044078,19.687113133240725,3.427269006052468,5.5201319127409825,4.364653540756648
BTN,35.79567808041122,15.45618557881783,-21.45322419247053,20.397158984396636,3.735674312523463,-8.592359467300943,2.3969313358134126
COM,51.20560306957858,10.411031057398061,-6.859758797815475,17.604466152156277,12.366174985726929,-2.923885448203778,-14.578826584210372
