Country,x1,x2,x3,x4,x5,x6,x7,x8
MDA,-20.519732156857145,2.1430314641216626,-32.93268795329018,-49.5679639714653,-22.4510943650048,-21.663548124650713,2.212314663313362,-5.471981300769403
GNQ,-4.12366663015538,-11.645840523488749,18.76673927800454,15.380310695907767,24.264783953497847,10.728123007630884,-4.433243555016743,5.389923514780044
TMP,-5.663779816535181,9.631511852184033,-6.774076822388265,-30.89254182060277,-20.319485853107373,34.110461264963455,-14.598547213044604,-11.682194085261052
TUN,-26.97263153710366,3.9711497221241494,-32.20658868795824,-9.306371179003202,-3.3670132840292784,-13.63114709329438,-27.154990094696,-9.10608743607991
YEM,-46.45149245164871,17.379862189439663,-11.936562446711502,-32.59207083362118,-24.515731438657053,5.2357142495889,0.741566714413457,-7.002238190910262
BDI,-15.65036502652188,22.144662568629183,21.667093232876745,38.873097228177656,7.845438225041601,12.006088970664049,-18.45733774169676,2.3880570191581523
CUW,-12.733637857836369,-9.046988122332763,-1.1949379603866572,19.031568538783386,13.741877511492191,-1.8150124598522845,-0.3269666384811618,-2.451138477791503
CRI,-44.47219572187518,0.8409471144253766,-21.069081747451044,4.122971800859618,7.635902400031059,-0.5386586081430798,-6.343718605120017,4.5866788454737915
WSM,-34.211747045191,6.060602728487183,-15.316565391268856,-28.7191366153287,-4.843106868609933,-22.659432348663934,8.026564162757335,1.2411466866233254
NPL,-34.604177725944616,11.190381423867391,-21.527505978243617,29.49858231021784,11.146685221595488,-6.388901932971439,-15.395593748662446,1.9444721091907682
EAP,184.35982661035288,-10.15907810301375,-7.047320596625609,14.022671115169583,19.69976254446493,9.840110743113293,-5.3060519983327525,-9.281510727621063
ERI,-46.479856663582616,48.509087896420795,27.352619554620663,25.45137134672213,-4.819968503102786,25.551864361786283,-4.913973975888393,-2.96131936066429
QAT,-9.89245953957511,-17.560307544180084,-2.594962134751385,3.1579386088304906,10.811736481560605,8.810846625161245,11.156205860882878,2.863805200872312
LDC,49.39677247548765,21.287556728991742,38.88027760286701,7.369505896708564,-26.586127421708568,-3.2275255149970565,4.839134463743685,24.75896668531716
UZB,-37.75120603357751,-21.526396169040837,11.710511704411841,-13.847522609885559,-11.900984832816814,29.15444216513329,5.205482872165508,-14.708931564444365
CPV,-38.18015144943345,2.1021990926554572,-14.072385121418034,-7.525016690817523,12.941395644257582,-31.72459629402165,9.99256384606003,0.8451835403432764
MEA,13.72756489881366,-9.783314148218286,2.333394698037773,-3.241416789952402,-11.690488281955592,12.54442783626182,6.3880898163932205,-3.8891042787000645
GRC,-7.200763144547371,7.570030808134464,-36.008132108217396,-1.1891498465204153,-0.08995146345471938,-0.028638243611919023,-0.24288343523862688,2.555193080667239
BEL,9.410338618284053,-2.3218315525118474,-44.00260858485565,-1.2623091434280695,-4.685576952497702,6.550265143141021,1.6244145916204782,8.461993559001243
WBG,-14.10699015656101,27.284569552854585,-27.557141171116072,-17.38583314676912,-12.110488044042327,-9.300405004760913,-7.159363236354173,-5.085904171207201
ECS,4.0416146492286416,-85.11190403839106,-7.341346025284318,9.664120285078631,-18.918776556193038,-23.98133180546362,-9.91356790913338,-23.263720205050397
ARB,12.543237830396551,0.4898311711901062,16.655200228810813,-27.36909984439302,-30.763941741305104,16.408491885887788,3.753876721162528,-4.365411225844003
AGO,-44.924224601103475,-1.2440328165344212,29.31787108637223,4.829196612635268,-6.503469278422503,38.384156738623936,-1.153189325309767,-5.612250800460398
OSS,-6.004638444321819,19.371193551471958,14.091236853558149,-15.81423109507121,-8.925209401639119,-0.840515528592404,2.259300117801668,-3.0311005337872112
SLB,-49.34237187265852,5.347773657375231,22.786435931476046,4.03619163244863,-10.811681178554787,12.820886253240145,-25.795575094227218,3.2716250617192513
STP,-28.44176973923711,8.278245194355332,11.970621195594536,-9.38736773336951,-5.135486512508572,4.444162941652298,-20.378232863745975,-1.7951270247644895
BTN,-47.561188587211284,11.169132652860434,24.43915018446997,-1.601730381801476,0.39189386158876616,-18.606126562115335,20.86743238686055,-1.3807996939990201
COM,-56.23517116742793,20.38107160558628,-1.3556823863931071,1.3576517092602733,-25.587601638565474,21.137397540646695,-29.324058536960813,7.438850586895822
BEN,-42.74802584170918,37.323646526830565,39.43666552142046,6.076345148293427,1.4512830810237585,-18.031499920064924,0.557855801974954,-1.5855540171824165
PNG,-43.50635282674563,1.415702690130109,34.00672817282903,10.996284025392743,8.396014868478794,28.87591280836552,24.01691193532274,-9.21887690389899
UGA,-34.5040611757389,26.76023115654921,48.8382724573131,3.2575322615998923,11.498559356437934,-23.49265999089193,14.799789980435143,-3.696509565268226
LSO,-44.08322070566715,6.899991189311397,7.520461765626733,2.6937743525459457,-0.14730374842417016,-17.877809818544193,-12.014095806265242,0.5952522098981325
MNG,-41.82184104536186,-18.992546163851554,-24.113957697460805,-16.258921864041845,2.2489478215360705,15.51893349358522,22.07021396163836,-7.069118062629615
KSV,-7.807112199748206,12.190285693140988,8.527626868208705,7.563435039447167,2.789987683712764,2.896686173661811,-7.750041235355184,5.25309947990738
COG,-29.073835149001074,5.479518993855234,30.94124407851206,-2.2139864227514128,-9.075754755345939,30.480486959216115,4.362259710551795,-6.45162555190392
TGO,-49.258054070545874,32.41710290629405,22.417242774941492,53.65893792860513,12.010445099000904,24.63787394447505,-25.61853520550435,6.701653056770776
CHE,-14.56752959444364,1.142749864089727,-5.128194802632898,29.793063560142564,13.575410066465123,-4.53906637124766,-0.7192169697451485,-5.591026722674988
