Country,x1,x2,x3,x4
MDA,-63.86393490540722,-3.790857276524343,25.63129055909554,1.461373454092802
GNQ,15.747573955661677,13.918658901999015,-6.044100105016498,-25.916955395933226
TMP,-19.683981767595075,2.2944941459912744,5.277849751765137,-4.398698825179957
TUN,-41.880729352170384,-7.337307585776084,-0.43337235956083175,10.370615292802565
YEM,-44.15198912791999,-9.457987982807232,0.24519445872726242,22.04380972272623
BDI,-31.695971442807046,-23.44951088479027,-33.61200095465531,-48.969703562520266
CUW,23.913649439707324,-18.62629522998159,-2.876146824648052,3.8445428242572417
CRI,-57.02052266374452,-2.562008073013939,7.114800958135026,26.605939516844195
WSM,-39.61177087130606,16.884332186600638,22.581196664459895,3.027171531341402
NPL,-43.249748317641426,-7.035130422009864,-13.699624057036667,-30.811918993258285
EAP,294.89099908380274,-5.499745592125771,-0.3192276291968353,-16.12282072634649
ERI,-15.075607338548613,-5.921247350531162,-3.806399272982761,-5.784973525420407
QAT,0.41423967586667976,1.8464431980012366,-4.573269081737808,5.250727319578181
LDC,9.057681596365521,-16.089967140450916,-48.15888316097316,-27.17242517689542
UZB,-59.502842790724934,7.285919927927151,13.914410423671118,17.186590509133584
CPV,-43.95662461790511,-14.66617276256181,7.688642285356349,-7.9735552942202315
MEA,29.288145453015275,-6.534003122502632,-10.409709216502906,16.91540519238457
GRC,-6.712906784741314,-2.0866205530518886,24.72088000835731,13.89254677195447
BEL,1.3433016420950847,-1.1049134284870499,17.34313426700851,23.416674041240075
WBG,8.490199942286011,-14.925252213533609,-2.0304901622480047,9.6195310660136
ECS,13.036008427121544,74.03873370537386,17.589783351421882,-12.447851379146577
ARB,0.8017338258002695,2.794656767241727,-25.485795678319867,23.496340204685637
AGO,-43.06680596110906,-17.53834597011824,-12.776900318047916,-3.4030588457443836
OSS,16.00091844377124,-5.878393178953595,-13.88203555569986,-16.842788953098886
SLB,-44.645008379364384,-9.112515647136386,-21.23550077643903,0.7170288032280179
STP,-38.37255716255916,1.458112899691882,11.058746739899158,-9.245507904372136
BTN,-34.865306599755456,-4.021282327630344,-8.619776091373431,12.798261898107029
COM,-45.02215625740481,-5.411752932388424,-5.960882605686657,10.746173076192662
BEN,-52.45459129798252,-40.15106879381628,-69.62062745546783,-9.604389888210436
PNG,-41.233300371265884,-4.391209501955414,-35.10197515113892,1.6780499879775963
UGA,-20.908847814931278,-22.46863828823065,-21.111305107904563,-15.174350222872938
LSO,-42.06116410158556,20.06228902648696,6.268682341580668,-22.251771802447756
MNG,-54.7597578926623,-8.636926629379793,8.43651160551472,2.2388668070314526
KSV,10.244691908467644,-5.75048502249721,-5.502011408386618,5.097999777071914
COG,-49.4038852437645,-12.015111598922182,4.3927026762435775,-7.223330951805142
TGO,-50.714185023582445,-33.46527820464264,-21.387830225643263,-10.733425037552998
CHE,1.1592590838666748,-0.807165965435585,14.176943351705306,-33.1151509850521
MNP,-13.623389627557392,-0.3640859759003338,-2.9650202305736797,-0.3370653816645986
LBR,-56.48107728991791,5.205790933363014,8.847712126884671,7.754926457752546
PHL,-19.95862533530241,-12.548003701367756,13.249184891223775,1.789734954220605
MNE,-66.78614778991188,6.194619698340158,4.42714383935716,17.449595047266985
KOR,15.977386311175866,118.4900222982377,-25.01361325629919,41.00663623211852
PRI,-3.4433747321044974,-5.521712219409043,-4.171646292880768,22.82040625176512
FRO,-0.8993564920384036,3.8316813676213894,-25.99917214581711,8.361821552928054
DZA,-17.95706706268084,3.740556538106814,1.5264189011368723,17.675781148296092
SYR,-44.66995653776879,4.442446244584877,4.499798637469936,6.112902121051357
CUB,-24.574958567426062,-31.290317517159227,26.501443997891933,14.894313467058394
MMR,-57.67327878687579,-3.11667605229123,-3.53888977526843,1.6225175857246945
SVN,-9.163478647987326,-2.954255525987133,20.76544087540461,11.023660800527804
PRY,-43.683733589768046,-2.416180401158562,7.392194348230139,-6.530871853333859
SDN,-37.74006095822238,-15.877074125392433,-2.976092940374219,13.080163253736
FRA,-11.706833933345669,23.006798396703054,27.684075864724964,20.038859363566598
BFA,-49.50653740356871,-40.00444932319826,-49.94392793895875,-14.429547496981328
CMR,-39.53640514081367,-33.426180917339586,2.770145473447985,-0.22335780010695042
GUM,-10.40701645314441,-0.8343496186353587,2.183917850860968,7.053018860301284
TJK,-57.03974382229146,-37.18541981025124,27.028041608903944,-19.048589657884186
ISR,11.094722580036239,-8.555040403545155,14.167938709267782,13.970647811009133
FIN,25.739398028293373,-7.170516354420245,56.517717331345644,-0.14958103769126938
COL,-33.95962824695556,13.287428015620872,11.015893424593893,10.440051679065755
MNA,71.91214591820253,-11.771695426260166,-17.398765612901848,24.826843335512397
SSA,159.87875880469355,-31.574866644235215,-21.796065067996913,-18.082034662883867
PRT,-1.5467736467461768,-6.698577246526027,9.908016908330325,10.346502808961581
TCD,-49.346073808851806,-27.689902446075557,-5.923103367321921,-10.804624487481455
NAC,10.931407898657595,62.019031901067066,23.92488001016488,-8.684655720075712
ARG,-6.181931438530875,-8.070485090622052,0.4824217236491108,6.935231504718861
WLD,121.16130170880868,234.8305834390258,-8.302565125010151,-88.282351708287
PRK,3.725716502224823,-10.53739339560634,-3.005397600914889,-17.582822426292793
EAS,41.89931821773808,44.58135863492908,1.8544685552687956,-24.801526597052195
NIC,-16.765491702765527,-30.38976835487926,0.4749366414899903,18.4207439337041
GRL,-3.8512949544847275,2.9661562855470724,-3.738367656751581,7.796639810417498
LMC,425.63279211676047,-32.62309818758855,-4.151814555834724,8.308496202466747
