Country,Average,Stdev
CPV,1.32653061224,0.792509707712
PRT,0.673469387755,0.866325929665
FSM,0.510204081633,0.759227560724
LBY,0.428571428571,0.755928946018
GEO,1.04081632653,0.879684165806
PAK,1.34693877551,0.796702910038
CAF,1.69387755102,0.542258377779
GRC,0.428571428571,0.728431359085
NER,1.63265306122,0.595694674258
BEN,1.73469387755,0.485525602178
LAO,1.59183673469,0.636263561964
GRD,1.57142857143,0.67005939426
ARB,0.408163265306,0.726140688762
FRA,0.142857142857,0.349927106112
MDA,1.10204081633,0.862954061709
DNK,0.244897959184,0.475120274564
PER,1.59183673469,0.636263561964
SVK,0.510204081633,0.731853921512
LAC,0.918367346939,0.751508271001
FIN,0.34693877551,0.656242252686
SLV,1.69387755102,0.542258377779
BGD,1.65306122449,0.555162061581
EST,0.428571428571,0.728431359085
ATG,0.714285714286,0.832993127835
IRL,0.326530612245,0.619010240331
JOR,1.38775510204,0.803470191226
SMR,0.387755102041,0.664441656984
SSD,0.489795918367,0.78564802265
KWT,0.387755102041,0.694477531721
LDC,0.612244897959,0.803470191226
MWI,1.69387755102,0.542258377779
SSA,0.734693877551,0.77658357512
COM,1.5306122449,0.673160102142
WBG,0.632653061224,0.849822971986
ISR,0.469387755102,0.758678787569
CHI,0.387755102041,0.664441656984
CIV,1.5306122449,0.702823483989
HIC,0.489795918367,0.499895865874
DOM,1.69387755102,0.542258377779
THA,1.34693877551,0.821919614923
ROM,1.20408163265,0.832492981811
NPL,1.71428571429,0.494871659305
DZA,1.34693877551,0.821919614923
VNM,0.979591836735,0.820398009887
SGP,0.367346938776,0.629021837038
LBR,1.36734693878,0.825459119027
LKA,1.63265306122,0.595694674258
ARE,0.469387755102,0.785117716803
VEN,0.755102040816,0.869684724598
BWA,1.65306122449,0.590780196985
MLT,0.469387755102,0.702823483989
AGO,1.10204081633,0.886287785739
USA,0.387755102041,0.527463182993
MIC,1.12244897959,0.593593451929
MDG,1.73469387755,0.485525602178
MNA,0.367346938776,0.660669961479
TMP,0.510204081633,0.78564802265
NZL,0.244897959184,0.516290230232
IRN,0.979591836735,0.820398009887
BHS,0.714285714286,0.832993127835
VIR,0.408163265306,0.697469693495
WSM,1.42857142857,0.755928946018
GUM,0.30612244898,0.612924792558
MRT,1.73469387755,0.485525602178
LBN,1.32653061224,0.817855710592
GIN,1.51020408163,0.70341583427
LIE,0.122448979592,0.327803640902
AZE,1.12244897959,0.895171926509
MNE,1.63265306122,0.595694674258
NAC,0.30612244898,0.50321746963
POL,0.224489795918,0.505694354831
GAB,1.5306122449,0.702823483989
SWZ,1.61224489796,0.632982139562
BGR,1.26530612245,0.77658357512
CZE,0.387755102041,0.694477531721
FRO,0.510204081633,0.759227560724
MCO,0.244897959184,0.516290230232
MLI,1.59183673469,0.636263561964
MDV,1.26530612245,0.749843798811
ERI,0.897959183673,0.886287785739
CRI,1.73469387755,0.485525602178
NIC,1.63265306122,0.629021837038
SYR,1.63265306122,0.629021837038
HKG,0.30612244898,0.612924792558
KGZ,0.959183673469,0.902585485204
KEN,1.69387755102,0.542258377779
OED,0.489795918367,0.499895865874
QAT,0.285714285714,0.606091526731
BRA,0.510204081633,0.759227560724
BEL,0.142857142857,0.349927106112
CYP,0.591836734694,0.806057863597
ALB,1.12244897959,0.848351415952
SAU,0.469387755102,0.785117716803
HND,1.69387755102,0.542258377779
HTI,1.57142857143,0.67005939426
FCS,0.775510204082,0.863436563319
GNB,1.48979591837,0.731853921512
DJI,1.67346938776,0.549127512125
BDI,1.69387755102,0.542258377779
TZA,1.42857142857,0.808122035642
PRK,0.673469387755,0.817855710592
CSS,0.489795918367,0.731853921512
MMR,1.69387755102,0.542258377779
GHA,1.75510204082,0.43002668379
HPC,0.734693877551,0.851781092029
OEC,0.469387755102,0.499062010638
SLE,1.69387755102,0.542258377779
GRL,0.530612244898,0.758678787569
MKD,0.918367346939,0.899812558573
AFG,1.34693877551,0.870163494095
UZB,0.836734693878,0.841450127677
NGA,1.67346938776,0.549127512125
PNG,1.61224489796,0.632982139562
URY,0.877551020408,0.872075943642
BRB,0.775510204082,0.839467910253
EMU,0.265306122449,0.485525602178
BLZ,1.61224489796,0.632982139562
EAP,0.959183673469,0.754826204445
COG,1.5306122449,0.702823483989
ITA,0.183673469388,0.436753766511
UGA,1.69387755102,0.542258377779
SVN,0.448979591837,0.730144645714
PRY,1.61224489796,0.632982139562
DMA,1.18367346939,0.799833385399
KOR,0.489795918367,0.499895865874
GBR,0.34693877551,0.624369736358
CHN,0.530612244898,0.642127866227
PLW,0.326530612245,0.619010240331
ZMB,1.71428571429,0.494871659305
TON,1.12244897959,0.848351415952
ECA,0.408163265306,0.603336550983
PSS,0.65306122449,0.821919614923
CHE,0.265306122449,0.525881580683
BFA,1.75510204082,0.43002668379
ZAR,1.73469387755,0.485525602178
STP,1.20408163265,0.832492981811
IRQ,0.69387755102,0.885347427081
CUB,0.428571428571,0.728431359085
MOZ,1.51020408163,0.673778531397
CAN,0.265306122449,0.563354030279
BMU,0.469387755102,0.731284606823
ISL,0.428571428571,0.728431359085
SWE,0.163265306122,0.369607556659
NLD,0.183673469388,0.436753766511
JPN,0.469387755102,0.499062010638
YEM,1.48979591837,0.70341583427
GUY,1.59183673469,0.667568458522
SSF,0.408163265306,0.726140688762
JAM,1.4693877551,0.731284606823
CHL,0.408163265306,0.726140688762
TUR,0.979591836735,0.914504347037
LTU,0.387755102041,0.664441656984
ETH,1.63265306122,0.595694674258
NOC,0.244897959184,0.554411334988
CEB,0.469387755102,0.758678787569
SRB,1.10204081633,0.814283156868
BOL,1.69387755102,0.542258377779
ECU,1.73469387755,0.485525602178
GTM,1.73469387755,0.485525602178
LSO,1.71428571429,0.494871659305
VCT,1.57142857143,0.67005939426
KNA,0.69387755102,0.837978170108
MAF,0.367346938776,0.660669961479
TUV,0.244897959184,0.516290230232
ABW,0.408163265306,0.697469693495
TJK,1.0,0.857142857143
AUS,0.244897959184,0.516290230232
WLD,1.0,0.606091526731
EGY,1.36734693878,0.825459119027
TGO,1.69387755102,0.542258377779
PAN,1.55102040816,0.671921536047
GNQ,0.734693877551,0.827474895213
TTO,0.612244897959,0.828480944089
NCL,0.183673469388,0.436753766511
MEA,0.204081632653,0.494029323956
HRV,0.469387755102,0.731284606823
PYF,0.285714285714,0.606091526731
ZWE,1.73469387755,0.485525602178
TCA,0.571428571429,0.808122035642
SOM,1.69387755102,0.542258377779
ESP,0.224489795918,0.505694354831
LMC,1.10204081633,0.614282324216
NAM,0.673469387755,0.842439487369
EAS,0.244897959184,0.43002668379
SLB,1.44897959184,0.70163728317
LCA,1.30612244898,0.813259544701
COL,0.918367346939,0.853246733076
FJI,1.73469387755,0.485525602178
SEN,1.75510204082,0.43002668379
KAZ,0.755102040816,0.821412726428
SUR,0.530612244898,0.785117716803
KIR,0.571428571429,0.808122035642
LVA,0.34693877551,0.656242252686
BLR,0.897959183673,0.862954061709
CUW,0.34693877551,0.656242252686
VUT,1.42857142857,0.755928946018
UMC,1.08163265306,0.633639783521
OSS,0.877551020408,0.895171926509
TKM,1.02040816327,0.868726394032
SST,0.734693877551,0.851781092029
LMY,1.12244897959,0.593593451929
ARM,1.12244897959,0.872075943642
KHM,1.4693877551,0.702823483989
LUX,0.224489795918,0.505694354831
IND,0.285714285714,0.571428571429
BIH,0.979591836735,0.89190911769
SYC,0.448979591837,0.70163728317
RUS,0.244897959184,0.554411334988
SAS,0.69387755102,0.761418698211
MHL,0.326530612245,0.585113109667
MYS,1.0,0.925820099773
RWA,1.73469387755,0.485525602178
MNG,0.897959183673,0.886287785739
GMB,1.69387755102,0.542258377779
SDN,1.69387755102,0.542258377779
BRN,0.428571428571,0.755928946018
TCD,1.67346938776,0.549127512125
IDN,0.673469387755,0.549127512125
TUN,1.57142857143,0.638876565
BHR,0.326530612245,0.651145148308
MUS,1.61224489796,0.632982139562
ASM,0.428571428571,0.638876565
PRI,0.204081632653,0.450831061926
EUU,0.244897959184,0.43002668379
OMN,0.775510204082,0.886757591118
ZAF,1.18367346939,0.849332736599
MAR,1.69387755102,0.542258377779
KSV,1.04081632653,0.924919934173
PHL,1.30612244898,0.837978170108
DEU,0.285714285714,0.571428571429
ADO,0.612244897959,0.777655464623
NOR,0.183673469388,0.436753766511
MEX,0.387755102041,0.694477531721
MNP,0.285714285714,0.534522483825
ARG,0.551020408163,0.784056029073
BTN,1.48979591837,0.731853921512
CYM,0.469387755102,0.731284606823
UKR,0.591836734694,0.780328746706
LIC,0.714285714286,0.782460796436
AUT,0.30612244898,0.612924792558
MAC,0.30612244898,0.612924792558
HUN,0.224489795918,0.505694354831
LCN,0.30612244898,0.460881215944
ECS,0.265306122449,0.441496074547
IMY,0.530612244898,0.785117716803
CMR,1.69387755102,0.542258377779
SXM,0.469387755102,0.731284606823
