"","x"
"1",8926.81680179785
"2",-3397.1260695815
"3",-10546.3038328763
"4",15487.6205860408
"5",33259.2397263915
"6",4016.21031255263
"7",18426.5654970263
"8",6427.78146140311
"9",25633.325689043
"10",-1977.28353375086
"11",21056.8638291169
"12",24784.2938928462
"13",14569.940248812
"14",-5990.08373711856
"15",552.088243407996
"16",11548.0634806768
"17",-206.909926090595
"18",37311.8020476625
"19",32477.6248054011
"20",13055.8403613993
"21",11331.6131257651
"22",-1231.23154723822
"23",8157.9813372156
"24",763.397272587282
"25",3626.95862027617
"26",29443.9186970232
"27",-7615.16284150803
"28",8303.53641016283
"29",-5613.06385212025
"30",3997.38665632408
"31",8222.81772286608
"32",2706.7889371353
"33",1751.88708721005
"34",15519.6318856095
"35",-7443.47406963194
"36",8617.29932059008
"37",35748.7835348551
"38",15249.7109423256
"39",28441.8597888932
"40",-7529.97001689689
"41",26489.8252152152
"42",58036.7785511305
"43",3711.8074831256
"44",33313.8196771756
"45",-2086.42125359907
"46",-1805.16912756641
"47",-1111.99950418193
"48",8876.26881140287
"49",41773.502905465
"50",10869.9199420725
"51",18814.7903286672
"52",32268.4932599517
"53",-11246.2239656693
"54",-1753.86941692103
"55",7303.48875832492
"56",-8598.09370092999
"57",18746.6771680315
"58",41199.1946541545
"59",4838.12644138063
"60",-8437.45762262343
"61",11082.7119945985
"62",29588.1712356871
"63",3646.55321463451
"64",43264.7533581584
"65",19244.9592933702
"66",-37404.2681349221
"67",12282.1990041766
"68",3516.16987143472
"69",-23727.9255545478
"70",976.099637882807
"71",12447.6183095191
"72",5361.04458287855
"73",27739.3724674681
"74",21688.3893919581
"75",40510.6368304028
"76",39730.0402503274
"77",4995.76694202456
"78",1778.28040976825
"79",5696.97201322832
"80",4656.28598846971
"81",11967.4955967944
"82",-67405.2751816494
"83",19724.7519989422
"84",34045.9183082907
"85",40351.8236056415
"86",15554.4559133494
"87",17122.8543531538
"88",29857.1548896507
"89",11910.5148527403
"90",8962.84958230025
"91",-10514.3780139445
"92",-7001.10008984978
"93",18727.6896900693
"94",-10563.3346476971
"95",3003.58481255894
"96",2867.73963378527
"97",3725.7153867835
"98",32431.6579123267
"99",14227.3385789141
"100",20677.5307705066
"101",-2034.24313073934
"102",15583.1284736484
"103",-63097.1809213467
"104",25498.4456289209
"105",17570.0426587049
"106",35179.6554664792
"107",-16827.4100151685
"108",19399.5852558423
"109",7370.5469566527
"110",-5643.9974398471
"111",15159.6498907976
"112",8548.01529101947
"113",10755.7093262732
"114",-10520.9835695582
"115",5678.59444907861
"116",40749.520393719
"117",34083.3277458252
"118",-6935.90855250949
"119",-949.420971822417
"120",21110.7387452104
"121",61130.1031042016
"122",85280.0758160755
"123",15014.1537158715
"124",1994.71106847829
"125",24445.9050211998
"126",30269.3446429639
"127",7491.24009020123
"128",7752.91896466436
"129",29164.0960859624
"130",-1040.16156246432
"131",8225.28390351844
"132",3227.25804506035
"133",6778.58350006081
"134",12844.380233264
"135",10619.0418389903
"136",27515.1729577964
"137",31569.0121948558
"138",7405.06935117781
"139",35832.2294985847
"140",3493.14027797919
"141",31408.6907297896
"142",82699.3511650966
"143",26007.6245383681
"144",-3442.70477580536
"145",80867.8353199762
"146",6843.83133680125
"147",14062.8554118808
"148",33533.1326505987
"149",8058.09564086494
"150",-10490.5668848916
"151",9462.38433961674
"152",41954.6871214893
"153",16885.0240523353
"154",28722.5781278736
"155",15811.6222009528
"156",-15768.7882163445
"157",12483.4443437308
"158",-7315.08687975171
"159",54038.1153963111
"160",-22612.5292749955
"161",9028.68813355616
"162",11202.9302688804
"163",27651.0605167161
"164",-1103.47073358881
"165",15086.7197537678
"166",8880.17522554246
"167",21492.529443305
"168",2630.41444149473
"169",18230.0969007899
"170",18286.1333253642
"171",9823.85285442497
"172",17795.87647924
"173",16698.5558992008
"174",19250.2487112098
"175",43547.3522582879
"176",14410.0411161041
"177",9637.20925226103
"178",43379.4246184292
"179",5029.36173712124
"180",19636.2537799279
"181",-4307.58272344077
"182",48273.0859682964
"183",31390.4590087015
"184",34356.2819969188
"185",20959.9059347469
"186",21907.2907652537
"187",11417.4309526879
"188",43267.7182704277
"189",14643.5929295929
"190",31803.0801606974
"191",-8559.34150817601
"192",28988.7236483791
"193",17517.1310222364
"194",7705.31340622051
"195",8161.2768921066
"196",16152.0014267089
"197",8079.7749747627
"198",11309.2912973362
"199",4547.32884977982
"200",8395.5769160547
"201",20505.1243441037
"202",-7934.51596148853
"203",17666.4461539633
"204",-8020.88948290788
"205",25990.9925064364
"206",15620.6580408546
"207",27902.4272379334
"208",-71.7407730385758
"209",29663.9328561637
"210",30587.661114173
"211",-12433.5978526445
"212",-8977.95262613351
"213",18698.3966121969
"214",9053.44906943376
"215",14616.8650412905
"216",-4370.30396809299
"217",29165.7795232819
"218",11023.4387511385
"219",-29474.4286498621
"220",45204.2349772872
"221",8591.46579887379
"222",-7525.01193825372
"223",29724.8298029004
"224",-23557.2590576981
"225",12001.9544389195
"226",-4843.75239301688
"227",2110.97160970268
"228",55144.1907268952
"229",-2706.65563830742
"230",18429.6297735377
"231",17024.4485395532
"232",11076.0130001903
"233",5110.67162748209
"234",-2379.27817051482
"235",-4289.68335050063
"236",-11218.6155737814
"237",49288.9064855592
"238",10565.1683817636
"239",10715.6704121232
"240",24248.7346228653
"241",40234.6690719007
"242",1453.27842357584
"243",-1986.90344955688
"244",33674.0333072705
"245",13987.7286631135
"246",-10087.8657244432
"247",-7863.33476465065
